id,scene,question,answer,evidence,qa_type
1,50、INT. BEDROOM - DAY,What does Eve say about her reason for trying to meet Margo?,"She had to get in, to meet Margo, to say something, be somebody, make her like me.","EVE
I had to get in, to meet Margo! I had to say something, be somebody,
make her like me!",dialogue/beliefs
2,13、INT. BACKSTAGE - CURRAN THEATER - DAY,"In [13、INT. BACKSTAGE - CURRAN THEATER - DAY], How does Eve react to Margo's performance?",Eve is moved to tears and admires it repeatedly.,EVE: I could watch you play that last scene a thousand times and cry every time.,character states
3,50、INT. BEDROOM - DAY,What does Addison accuse Eve of regarding Karen?,Using his name and column to blackmail Karen into getting the part of 'Cora'.,"ADDISON
You used my name and my column to
blackmail Karen into getting you
the part of ""Cora"" - and you lied
to me about it!",dialogue/beliefs
4,61、INT. MARGO'S DRESSING ROOM - NIGHT,Why does Bill explain the definition of Theater to Eve?,To justify his decision to leave the Theater for Hollywood.,BILL: The Theater's for everybody... so don't approve or dis,causal/relational queries
5,21、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,"In [21、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT], What is Margo's emotional state as described in the passage?",Foreboding about the party's outcome,"Even before the party started, I could smell disaster in the air...",character states
6,31、INT. RICHARDS' STUDIO APARTMENT - DAY,What actions does Lloyd perform when he enters the room?,"Lloyd slams the door, flings his hat away, strides in, peeling off muffler and overcoat.","Lloyd slams the door, flings his hat away, strides in, peeling off muffler and overcoat.",detailed description
7,51、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,What does Eve say about her role in the Theater?,She considers herself an apprentice with much to learn.,I am an apprentice in the Theater and have much to learn from you all.,dialogue/beliefs
8,55、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,What does Addison deWitt state about the old actor's speech?,It is not important to hear what the old actor says.,It is not important what you hear what he says.,dialogue/beliefs
9,48、INT. CORRIDOR - TAFT HOTEL - DAY,What does Eve say about needing a nap?,Plenty of time for a nice long nap - we rehearsed most of last night...,EVE: 'Plenty of time for a nice long nap - we rehearsed most of last night...',dialogue/beliefs
10,48、INT. CORRIDOR - TAFT HOTEL - DAY,What does Addison say about calling Eve a killer?,"He corrects himself, saying he meant champion and mixes boxing terms.",ADDISON: 'Did I say killer? I meant champion. I get my boxing terms mixed.',dialogue/beliefs
11,63、EXT. PASSAGE AND GATE - LAGUARDIA - NIGHT,When does Margo refer to Bill as six years old?,"During their conversation when she says, 'As of this moment you're six years old.'",MARGO: 'As of this moment you're six years old...',temporal references
12,59、EXT. MARGO'S DRESSING ROOM - CURRAN THEATER - NIGHT,Why do Karen and Eve pause when approaching the door?,Because they hear Margo's uninhibited guffaw.,An uninhibited guffaw from Margo makes them pause.,causal/relational queries
13,49、INT. EVE'S SUITE - TAFT HOTEL - DAY,What does Eve reveal about Lloyd's intentions?,Lloyd is leaving Karen to marry Eve.,EVE: 'Lloyd Richards. He's going to leave Karen. We're going to be married.',dialogue/beliefs
14,16、INT. MARGO'S BEDROOM - NIGHT,How does the screen transition when Bill's voice is heard?,The screen wipes down diagonally left to right.,"The SCREEN WIPES DOWN DIAGONALLY LEFT TO RIGHT, so that Margo remains in the lower right-hand diagonal of the screen and Bill is disclosed in the upper left.",detailed description
15,61、INT. MARGO'S DRESSING ROOM - NIGHT,Why does Bill believe they will make it despite Eve's doubt?,"He lied about the time, claiming they would make it easily.",BILL: I told you a lie. We'll make it easily. Margo's got no more conception of time than a halibut.,causal/relational queries
16,14、INT. MARGO'S DRESSING ROOM - NIGHT,What causes Birdie to comment on the wardrobe women's union?,She contrasts her own lack of union membership with their benefits.,Birdie mentions not having a union and describes wardrobe women's advantages.,causal/relational queries
17,30、INT. THEATER - CURRAN THEATER - DAY,What does Margo do when she enters the stage?,"She marches down the aisle, smiles a sickly, hopeful smile, and ignores Max.","Margo marches down the aisle with a steady pace. She passes Max smiles a sickly, hopeful smile. She ignores him as if he were a used paper cup.",detailed description
18,30、INT. THEATER - CURRAN THEATER - DAY,What does Max do when Margo returns to the stage?,He slumps in his seat and submerges further.,Max slumps in his seat. ... Max submerges further in his seat.,detailed description
19,13、INT. BACKSTAGE - CURRAN THEATER - DAY,"In [13、INT. BACKSTAGE - CURRAN THEATER - DAY], What is Eve's emotional state during the curtain calls?","Eve is emotional, with tears in her eyes and a hypnotic look.","EVE, that same hypnotic look... there are tears in her eyes.",character states
20,22、INT. MARGO'S BEDROOM - NIGHT,"In [22、INT. MARGO'S BEDROOM - NIGHT], What is Margo's emotional state regarding the party guests?","Annoyed, as she mentions the guests were a mistake.",MARGO: 'The only thing I ordered by mistake is the guests.',character states
21,54、INT. EVE'S HOTEL APARTMENT - NIGHT,What did the girl say was her purpose for being in the house?,To conduct a report on Eve's lifestyle.,GIRL: 'It was for my report.',dialogue/beliefs
22,12、INT. MARGO'S LIVING ROOM - DAY,When does Margo close her eyes blissfully?,After Birdie glares at her.,"Birdie glares first at her, then at Margo. Margo leans her head back, closes her eyes blissfully...",temporal references
23,1、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,What does Addison deWitt state about the old actor's speech?,It is not important to hear what he says.,ADDISON'S VOICE ...It is not important what you hear what he says.,dialogue/beliefs
24,19、INT. MARGO'S BEDROOM - NIGHT,"In [19、INT. MARGO'S BEDROOM - NIGHT], What is Eve's emotional state when she is with Miss Channing?",Eve is happy and warm.,"Eve melts into warmth. She beams, sits on the bed.",character states
25,19、INT. MARGO'S BEDROOM - NIGHT,"In [19、INT. MARGO'S BEDROOM - NIGHT], How does Eve behave when she asks Karen for another favor?",Eve is hesitant and picks at the coverlet.,(hesitantly) ... picks at the coverlet,character states
26,22、INT. MARGO'S BEDROOM - NIGHT,"In [22、INT. MARGO'S BEDROOM - NIGHT], What is Birdie's role in the scene?",She assists Margo with her attire and manages party logistics.,"Birdie helps Margo with her dress, addresses the caterer, and handles the bartender's message.",character states
27,51、INT. DINING HALL - SARAH SIDDONS SOCIETY - NIGHT,Who does Eve credit with the larger share of the award?,Her friends in the Theater and the Theater itself.,The larger share belongs to my friends in the Theater - and to the Theater itself.,dialogue/beliefs
28,15、INT. BACKSTAGE - CURRAN THEATER - NIGHT,"In [15、INT. BACKSTAGE - CURRAN THEATER - NIGHT], What item does Eve hold up against her body?",Margo's dress,She has Margo's dress held up against her body.,objects/props
29,6、INT. MARGO'S DRESSING ROOM - CURRAN THEATER - NIGHT,"In [6、INT. MARGO'S DRESSING ROOM - CURRAN THEATER - NIGHT], What is Birdie's role and loyalty?","Margo's maid, fiercely loyal",She is fiercely loyal to Margo. Birdie - Margo's maid,character states
30,32、EXT. COUNTRYSIDE - NIGHT,What visual elements define the opening scene's setting?,Open country with no houses in sight and plenty of snow,Open country. Preferably no houses in sight. Plenty of snow.,detailed description
31,"38、INT. LOBBY - ""21"" - DAY",What does Eve mention about her lunch plans?,She mentions having lunch with a movie talent scout.,EVE: 'We're having lunch with a movie talent scout.',dialogue/beliefs
32,5、EXT. MARGO'S DRESSING ROOM - CURRAN THEATER - NIGHT,"In [5、EXT. MARGO'S DRESSING ROOM - CURRAN THEATER - NIGHT], What is Karen's emotional state as she approaches the door?",Whispering and smiling shakily,KAREN (whispers) ... (smiles) ... Eve smiles shakily,character states
33,"38、INT. LOBBY - ""21"" - DAY",What does Addison say about Eve's intentions regarding Hollywood?,Eve has no intention of going to Hollywood.,ADDISON: 'Eve has no intention of going to Hollywood.',dialogue/beliefs
34,32、EXT. COUNTRYSIDE - NIGHT,What action involves Lloyd's car in the scene?,Drives along the open country,Lloyd's car drives along.,detailed description
35,67、INT. BACKSTAGE - CURRAN THEATER - DAY,When does Margo say the applause will be just until the aisles clear?,After the current performance,MARGO: 'From now on it's not applause - just something to do till the aisles get less crowded...',temporal references
36,14、INT. MARGO'S DRESSING ROOM - NIGHT,Why does Margo realize something when Birdie mentions the union?,Birdie explains the wardrobe women's union benefits and her own lack of membership.,"Birdie states she's slave labor while wardrobe women have a union, leading Margo to catch on.",causal/relational queries
37,9、EXT. PASSAGE AND GATE - LAGUARDIA - NIGHT | 10、INT. BOARDING GATE - LAGUARDIA - NIGHT,What does Bill ask Margo to do before he boards the plane?,Bill asks Margo to knit him a muffler and to keep an eye on Eve so she does not get lonely.,"He embraces Margo and asks her to knit him a muffler. As he goes, he calls out to Margo, telling her to keep an eye on Eve and not let her get lonely.",character states
38,22、INT. MARGO'S BEDROOM - NIGHT | 26、INT. MARGO'S LIVING ROOM - NIGHT | 27、INT. PANTRY - NIGHT,What does Margo state about the guests' preferences regarding the gin?,Margo states that the guests won't care about the type of gin as long as the drink burns.,"Margo quips that the only mistake was inviting the guests, adding they won’t care as long as the drink burns.",character states
39,41、INT. CUB ROOM - STORK CLUB - NIGHT | 43、INT. CUB ROOM - NIGHT,What does Margo state about why she forgives Eve?,"Margo states that she forgives Eve not because Eve deserves it, but because Eve's actions led to the reunion of Margo, Bill, Lloyd, and Karen, and she is grateful for that, especially for Bill's return.","She forgives Eve, not because Eve deserves it, but because Eve’s actions brought the four of them—Margo, Bill, Lloyd, and Karen—back together. She says the group’s reunion is Eve’s doing, and for that, she is grateful. She especially credits Eve for bringing Bill back.",character states
40,2、EXT. NEW YORK THEATER STREET - NIGHT,What does Karen express when she looks around the theater area after arriving?,"Karen expresses a sense of wistful anticipation as she searches the sidewalk, appearing to expect someone's arrival.","She hesitates, searching the sidewalk as if expecting someone. Her expression softens with a faint, wistful smile.",character states
41,6、INT. MARGO'S DRESSING ROOM - CURRAN THEATER - NIGHT | 12、INT. MARGO'S LIVING ROOM - DAY,What does Birdie do immediately after Eve hangs up the phone?,"Birdie glares at Eve, then at Margo, and leaves the room by slamming the double doors behind her.","After the call, Eve returns to Margo, handing her a stack of letters to sign. Birdie picks up the tea tray and exits, slamming the double doors behind her. After Eve finishes the phone call, Birdie glares at her, then turns her gaze toward Margo. Margo leans her head back and closes her eyes, resting quietly by the fire. Without a word, Birdie strides to the double doors, pulls them open, and slams them shut behind her as she leaves the room.",character states
42,41、INT. CUB ROOM - STORK CLUB - NIGHT | 43、INT. CUB ROOM - NIGHT,When does Addison leave the Cub Room?,Addison leaves the Cub Room after Margo speaks about forgiving Eve.,"After Margo speaks about forgiving Eve, Addison and Eve rise from their table. Together, they walk out of the Cub Room, leaving the others behind.",temporal references
43,45、INT. RICHARDS' BEDROOM - NIGHT | 46、INT. ROOMING HOUSE - NIGHT,What does Karen state about her feelings regarding Lloyd's decision to leave?,Karen states that she does not want Lloyd to go.,"She says, 'Lloyd, I don’t want you to go!' when he is preparing to leave after the phone call.",character states
44,6、INT. MARGO'S DRESSING ROOM - CURRAN THEATER - NIGHT | 25、INT. MARGO'S LIVING ROOM - NIGHT | 26、INT. MARGO'S LIVING ROOM - NIGHT | 27、INT. PANTRY - NIGHT,What does Margo state about Max after giving him bicarbonate of soda?,Margo states that she loves Max and truly means it.,"She finishes her drink, stands, and assures Max she has bicarb in the pantry. She says they’ll put his name on the box—Max Fabian—always just for him. Touched, Max thanks her. Margo tells him she loves him, truly means it, and takes his arm, leading the way toward the pantry.",character states
