scene,question,answer,evidence,qa_type
1、INT. DELIVERY ROOM - NIGHT,What causes Kate to reel after the nurse's statement?,The nurse informing her that her baby is dead.,Nurse: 'Your baby is dead. There's nothing else we can do.',causal/relational queries
56、INT. CAFETERIA - DAY,"In [56、INT. CAFETERIA - DAY], What does Esther do while the others mock her?",Ignores them and prays over her lunch,Esther ignores them- and prays over her lunch,character states
55、INT. CLASSROOM - DAY,"In [55、INT. CLASSROOM - DAY], What is Esther's emotional state upon entering the classroom?",She appears wary and uncertain.,"her usually unflappable smile seems wary, uncertain in the face of these staring third graders",character states
1、INT. DELIVERY ROOM - NIGHT,Why does Kate try to sit up?,She changed her mind about the procedure.,"Kate: 'Wait, I've changed my mind. I don't want to do this anymore.'",causal/relational queries
5、INT. LIVING ROOM -.DAY,"In [5、INT. LIVING ROOM -.DAY], What is Rate's emotional state after completing her task?",Feels lonely and the house seems too big,the house suddenly seems quiet and lonely and too big,character states
8、EXT. FOREST - DAY,"In [8、EXT. FOREST - DAY], What does Kate pull from her coat pocket?",A JOURNAL filled with handwritten entries,She pulls a JOURNAL filled with handwritten entries from her coat pocket,objects/props
13、INT. MAX'S BEDROOM - HIGHT (TIMECUT),"In [13、INT. MAX'S BEDROOM - HIGHT (TIMECUT)], What action does Kate take to comfort Max?",Gives Max a gentle kiss on the forehead.,Kate gives Max a gentle kiss on the forehead.,character states
20、INT. HOME FOR GIRLS - PLAYROOM - DAY,What does Sister Abigail say about Kate's emotions?,"That's what really worries you, isn't it?","SISTER ABIGAIL: That's what really worries you, isn't it? Something bad happened, the last time you felt this way.",dialogue/beliefs
4、INT. DOCTOR BROWNING'S OFFICE - DAY,Why did Dr. Browning advise Kate to keep writing in her journal?,To help her process her grief.,Keep writing in your journal. You're doing fine.,causal/relational queries
31、INT: HOME FOR GIRLS - CHAPEL DAY,What does John believe about Esther's chances for a normal life?,We're probably the best chance she has at a normal life.,JOHN ... We're probably the best chance she has at a. normal life.,dialogue/beliefs
22、INT.JoHN'S CAR - NIGHT,What does John wish Kate could've heard?,The things she was saying before you came in.,I wish you co'uld've heard the things. she was saying before you c&me in.,dialogue/beliefs
29、EXT. HOTEL ROOM BALCONY - DAY,What motivates John to suggest adopting Esther?,Their past losses and desire to help her.,JOHN: We can't replace Yolanda... Esther is alive and needs a family.,causal/relational queries
30、INT. HOME FOR GIRLS - SISTER ABIGAIL'S OFFICE - DAY -,What does Sister Abigail suspect about Esther's past?,She suspects Esther has been sexually abused.,I strongly suspect that she's been sexually abused as well.,dialogue/beliefs
44、INT. ESTHER'S BEDROOM - DAY,"In [44、INT. ESTHER'S BEDROOM - DAY], What is Kate's emotional state when Esther questions her choice of wallpaper?",Taken aback and stammers,Kate is taken aback. She stammers for a beat.,character states
30、INT. HOME FOR GIRLS - SISTER ABIGAIL'S OFFICE - DAY -,What does Sister Abigail believe explains Esther's behavior?,She believes severe trauma caused her lack of a 'spark'.,It might also explain some of her idiosyncratic behaviors.,dialogue/beliefs
