scene,question,answer,evidence,qa_type
64、EXT. ALLEY,Why does Sammael leap over the wall?,He was hit by the green goo explosion.,"It hits him square in the chest: an explosion of green goo!! With a shriek, the thing leaps over a wall.",causal/relational queries
"54、INT. ""MAGIK EXHIBITION"" HALL - NIGHT",What does Hellboy say about the smell in the room?,It stinks in here -- Finely aged roadkill.,HELLBOY (whispers into radio) Blue: It stinks in here -- Finely aged roadkill.,dialogue/beliefs
51、EXT. COURTYARD / LOADING DOCK MACHEN LIBRARY - NIGHT,What does Clay instruct regarding the doors?,Seal the doors. Red and Blue are coming in.,Seal the doors. Red and Blue are coming in.,dialogue/beliefs
59、INT. MACHEN LIBRARY - MAGIK EXHIBIT HALL - NIGHT,How does Hellboy end up crashing into the brass doors?,"Sammael swings an arm, causing Hellboy to crash into the brass doors.","BAMMM!! From out of nowhere, Sammael appears and swings an arm!! Hellboy CRASHES into the brass doors!",detailed description
62、EXT. AN ALLEY - BEHIND MACHEN LIBRARY - NIGHT,When does the tongue attack occur?,Before Hellboy can reach the weapon,Before Hellboy can reach the weapon -- WSHHHP!!! A 7-foot tongue lashes out,temporal references
53、INT. MAIN CORRIDOR / MACHEN LIBRARY (SET) - NIGHT,What does Abe do with his hand before touching the door?,Removes a leather glove and spreads his webbed fingers.,Abe removes a leather glove from his hand. FWAP!! he spreads his webbed fingers on the door.,detailed description
55、INT. MAIN CORRIDOR / MACHEN LIBRARY (SET) - NIGHT,What did Abe find in one of the books?,"A small, medieval engraving of Sammael","Abe has found a small, medieval engraving of Sammael in one of the books.",detailed description
12、EXT. THE HILLTOP - ALLIED SOLDIERS - NIGHT,"In [12、EXT. THE HILLTOP - ALLIED SOLDIERS - NIGHT], What is the behavioral state of Broom and Whitman?",Diving into a ditch to avoid a German foot patrol.,Broom and Whitman dive into a ditch barely in time to avoid a German foot patrol.,character states
20、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [20、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What remains after the cosmic portal implodes?","Burnt rails and an empty, smoking metal glove","a few burnt rails and the metal glove, empty and smoking",objects/props
13、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [13、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What object is inserted into the machine by one of the Nazi scientists?",A 20-inch solid gold cylinder,One of them inserts a 20 inch SOLID GOLD CYLINDER into the machine.,objects/props
55、INT. MAIN CORRIDOR / MACHEN LIBRARY (SET) - NIGHT,What description is given of Sammael in the text?,"The desolate one, son of Nergal","There's not much here: the entity's name is Sammael, the desolate one, son of Nergal --",detailed description
3、INT. SUBMARINE STATEROOM - NIGHT,Why is Broom carrying the wooden box?,To transport books and amulets for his mission.,"Broom grabs a worn-down wooden box full of books and amulets... This is an important mission, Sgt. Whitman.",causal/relational queries
16、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,What is Grigory doing as his body rises?,"Screaming with his body rising, veins swollen in his neck, face distorted by ecstasy and pain","Grigory screams as his body rises. Veins swell in his neck, his face distorted by ecstasy and pain.",detailed description
19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT,"In [19、EXT. ABBEY RUINS - ALTAR AREA - NIGHT], What object does the Nazi scientist reach for before the explosion?",A gold cylinder,The NAZI SCIENTIST reaches for a second GOLD CYLINDER.,objects/props
4、INT/EXT. SCOTLAND - TUNNEL - NIGHT,"In [4、INT/EXT. SCOTLAND - TUNNEL - NIGHT], What is Whitman's emotional state when responding to Broom?",Impatient,Whitman's dialogue is accompanied by '(impatient)',character states
37、EXT. B.P.R.D. BUILDING COMPLEX - DAY,"In [37、EXT. B.P.R.D. BUILDING COMPLEX - DAY], Where is the high-tech complex situated?",On a wooded hill in New Jersey at the edge of a bluff,"On a wooded, new jersey hill, a low-slung, high-tech complex rests at the edge of a bluff",scene localization
