scene,question,answer,evidence,qa_type
67、EXT. MUSEUM - DAY (NEXT MORNING),"In [67、EXT. MUSEUM - DAY (NEXT MORNING)], What did Vigo the Carpathian's last words predict?","Death is but a door, time is but a window. I'll be back.","SPENGLER (reads) ""Death is but a door, time is but a window. I'll be back.""",dialogue/beliefs
68、INT. MUSEUM - SECURITY DESK - DAY (CONTINUOUS ACTION),What does Stantz claim about the building?,"Mister, you have an Ecto-paritic, subfusionary flux.","STANTZ: Mister, you have an Ecto-paritic, subfusionary flux in this building.",dialogue/beliefs
12、EXT. WEST 77TH STREET - DAY (LATER),"In [12、EXT. WEST 77TH STREET - DAY (LATER)], What is Winston's emotional state as indicated in the passage?",Tired and frustrated,"WINSTON: That's it, Ray. I've had it. No more parties. I'm tired of taking abuse from over-privileged nine-year-olds.",character states
65、INT. DANA'S APARTMENT - NIGHT,What does Dana say to the baby while preparing his bath?,Look at you. I think we got more food on your shirt than we got in your mouth.,DANA (talking sweetly to the baby) Look at you. I think we got more food on your shirt than we got in your mouth.,dialogue/beliefs
10、INT. BROWNSTONE - DAY (CONTINUOUS ACTION),"In [10、INT. BROWNSTONE - DAY (CONTINUOUS ACTION)], What is the woman's emotional state?",She is worried and stressed.,"She says, 'I hope you can handle them. It's been like a nightmare.'",character states
12、EXT. WEST 77TH STREET - DAY (LATER),"In [12、EXT. WEST 77TH STREET - DAY (LATER)], What is Stantz's behavioral state during the conversation?",Persistent in convincing Winston to continue,"STANTZ: Come on, Winston. We can't quit now. The holidays are coming up. It's our best season.",character states
24、EXT. EAST 77TH STREET - DAY (LATER),What does Venkman do when he walks into the middle of the street?,"He ignores honking cars and acts like a traffic cop, bringing traffic to a standstill.","Venkman walks right out into the middle of the street, completely oblivious to the CARS HONKING and whizzing past him and starts motioning like a traffic cop, bringing traffic to a standstill.",detailed description
72、EXT. STREET - DAY (CONTINUOUS ACTION),"In [72、EXT. STREET - DAY (CONTINUOUS ACTION)], What is Stantz's behavioral state?","Driving extremely fast, honking vindictively, weaving dangerously","Stantz drives extremely fast, HONKING vindictively, weaving dangerously through traffic.",character states
19、INT. UNIVERSITY - DAY (A LITTLE LATER),What theory is Spengler testing?,Human emotional states have a measurable effect on the psychomagnetheric energy field.,SPENGLER: I'm trying to determine whether human emotional states have a measurable effect on the psychomagnetheric energy field.,dialogue/beliefs
20、EXT. RAY'S OCCULT BOOK STORE - DAY (LATER),What is displayed in the shop's window?,Occult artifacts and old books full of arcane metaphysical lore,The window is crowded with occult artifacts and old books full of arcane metaphysical lore.,detailed description
20、EXT. RAY'S OCCULT BOOK STORE - DAY (LATER),What does Stantz do when the telephone rings?,Answers the phone and identifies the shop as Ray's Occult,"STANTZ (v.o., answering the phone) Ray's Occult.",detailed description
29、INT. HOLE - NIGHT (CONTINUOUS ACTION),How does Stantz descend into the airshaft?,rappels off the sides of the airshaft in total darkness,Stantz rappels off the sides of the airshaft as he continues his descent in total darkness.,detailed description
29、INT. HOLE - NIGHT (CONTINUOUS ACTION),What action does Stantz take upon reaching the tunnel bottom?,pulls a powerful flashlight from his utility belt and shines it into the tunnel below,He pulls a powerful flashlight from his utility belt and shines it into the tunnel below.,detailed description
30、INT. VAN HORNE STATION - STANTZ'S POV - NIGHT,"In [30、INT. VAN HORNE STATION - STANTZ'S POV - NIGHT], What is Stantz's emotional state as he speaks about Van Horne Station?",Reverent,reverently,character states
