id,scene,question,answer,evidence,qa_type
1,62、INT. ROBERTA'S APARTMENT - NIGHT,Why does Nick throw the violin against the floor?,He is angry at Roberta for causing his father to leave.,Nick THROWS the violin against the floor. Roberta's speechless. NICK: It's all your fault! You made Daddy leave...,causal/relational queries
2,62、INT. ROBERTA'S APARTMENT - NIGHT,Why is Roberta stunned after Nick's outburst?,She realizes his anger stems from fear of abandonment due to his father's departure.,Roberta is stunned. The anger drains out of her as she suddenly sees what this is all about.,causal/relational queries
3,61、EXT. CENTRAL PARK - A LITTLE LATER,What causes Roberta's disheartenment?,Brian's admission that he might seek others if needs aren't met.,Roberta looks very disheartened after Brian's theoretical response,causal/relational queries
4,"33、INT. BRIAN'S HOTEL ROOM, TEXAS - NIGHT",What is Roberta's physical state during her conversation with Brian?,Extremely agitated with puffy eyes from crying,Roberta in Brian's living room. She's extremely agitated and her eyes are puffy from crying.,detailed description
5,21、INT. BRIAN'S BATHROOM - DAY,"In [21、INT. BRIAN'S BATHROOM - DAY], What emotional state does Roberta display at the end of the scene?",Hurt and frightened,"HOLD ON ROBERTA, looking hurt and frightened.",character states
6,15、INT. MUSIC ROOM - DAY,"In [15、INT. MUSIC ROOM - DAY], What is Roberta's emotional state when she first asks the kids to stop opening the cases?",Gentle and trying to maintain control,"ROBERTA (gently) Please do not open the cases, O.K.?",character states
7,61、EXT. CENTRAL PARK - A LITTLE LATER,Why is Brian hesitant about commitment?,He believes marriage is a fantasy due to high divorce rates.,Brian's line about the 80's and one out of two marriages ending in divorce,causal/relational queries
8,46、INT. JANET WILLIAMS' OFFICE - DAY,What is Roberta's rationale for disciplining the children?,She believes they need to take their instrument lessons seriously.,"ROBERTA: 'If they're gonna learn an instrument, they need to take it seriously.'",causal/relational queries
9,40、INT. ROBERTA'S NEW APARTMENT - LIVING ROOM - NIGHT,What specific elements are visible outside Roberta's window?,"Three prostitutes, two men smoking a joint, a parked car with three men making a drug deal, and a burned-out building.","On the street below, three prostitutes stand at the corner. Two men sit on a stoop, smoking a joint, and in a parked car, three men seem to be making a drug deal. One of the buildings on the street is burned out, missing a front door.",detailed description
10,63、INT. BROWNSTONE - DAY,Why does Roberta fire Brian?,Because he couldn't commit to her.,I need to be with a man who can make a commitment to me.,causal/relational queries
11,37、INT. MUSIC ROOM - DAY,How does Roberta react to Guadalupe's hug?,"She awkwardly accepts the hug, is startled, and strokes her hair.","Roberta awkwardly accepts the hug, startled and touched by it, and strokes the girl's hair.",detailed description
12,34、INT. BRIAN'S LIVING ROOM - NIGHT,What is Roberta's state as she lies awake on the futon?,Heartbroken,"Roberta lies awake on the futon, heartbroken.",detailed description
13,58、INT. JANET'S OFFICE - DAY,What causes Janet to believe Roberta's son needs help?,He was choking a kid and is emotionally troubled.,He was choking the kid. He's tied up in knots and he needs help.,causal/relational queries
14,58、INT. JANET'S OFFICE - DAY,Why is Roberta upset?,Because Janet revealed Nick was choking someone and is in trouble.,"Nick's in trouble, Roberta. You need to deal with it. Roberta takes this in, upset.",causal/relational queries
15,56、EXT. SCHOOL YARD - DAY,Why do the teachers run over to the crowd?,To break up the fight between Nick and the other boy.,TWO TEACHERS run over to break it up.,causal/relational queries
16,56、EXT. SCHOOL YARD - DAY,What causes the commotion in the crowd?,A fight is happening between Nick and another boy.,Lots of screaming and commotion as the kids crowd around a fight in progress.,causal/relational queries
17,63、INT. BROWNSTONE - DAY,What causes Roberta to fire the painters?,They used white instead of Eggshell as instructed.,ROBERTA: What color is this? PAINTER: White. ROBERTA: I told you Eggshell.,causal/relational queries
18,18、INT. BRIAN'S APARTMENT - OFFICE - CONTINUOUS,"In [18、INT. BRIAN'S APARTMENT - OFFICE - CONTINUOUS], What is Roberta's emotional state as described in the passage?",She is stressed and overwhelmed.,"I'm hanging on by a thread there. Out of fifty kids, maybe six are listening to me.",character states
19,18、INT. BRIAN'S APARTMENT - OFFICE - CONTINUOUS,"In [18、INT. BRIAN'S APARTMENT - OFFICE - CONTINUOUS], What is Roberta's emotional state when Brian kisses her?",She is scared and aroused.,"Roberta's scared -- so she keeps talking, as if it's not really happening. Roberta's aroused, in spite of herself.",character states
20,41、INT. MUSIC ROOM - DAY,How does Roberta react when Lucy reveals her grandma's death?,"She stands there, sobered, and apologizes.","Roberta stands there, sobered. ROBERTA: I'm really sorry, Lucy.",detailed description
21,12、INT. CPE 1 - HALLWAY - DAY,"In [12、INT. CPE 1 - HALLWAY - DAY], What is Roberta's emotional state?",Dejected,dejectedly watching,character states
22,3、EXT. GUASPARI HOUSE - DOORWAY - DAY,What does Roberta yell at the movers?,"Watch it, you idiots! Be careful with those!","ROBERTA: Watch it, you idiots! Be careful with those!",dialogue/beliefs
23,21、INT. BRIAN'S BATHROOM - DAY,"In [21、INT. BRIAN'S BATHROOM - DAY], How does Roberta appear emotionally when Brian comforts her?",Vulnerable,Brian softens as he sees how vulnerable she is.,character states
24,15、INT. MUSIC ROOM - DAY,"In [15、INT. MUSIC ROOM - DAY], What is Roberta's emotional state after she kicks a student out?",Amazed and feeling in control,"Roberta's amazed that something worked. She puffs up a little bit, enjoying the feeling of control.",character states
25,60、EXT. CENTRAL PARK - DAY,What causes Nick to laugh hysterically during the interaction?,Brian's playful threat to throw him into the water.,Brian stalks towards Nick menacingly... Nick laughs hysterically.,causal/relational queries
26,5、INT. GUASPARI HALLWAY - CONTINUOUS,What does Assunta tell Roberta about her qualities?,"She is beautiful, talented, and has her whole life ahead of her.","ASSUNTA
You're a beautiful, talented woman and you have your whole life ahead of you.",dialogue/beliefs
27,22、INT. MUSIC ROOM - DAY,"In [22、INT. MUSIC ROOM - DAY], What is the object that Lucy incorrectly names as 'the jeri curl'?",the scroll of the violin,Roberta points to the scroll of the violin.,objects/props
28,19、INT. BRIAN'S BEDROOM - DAY,"In [19、INT. BRIAN'S BEDROOM - DAY], How does Roberta react to Brian's news about Texas?",She is rattled,"Roberta sits up, rattled by this news",character states
