scene,question,answer,evidence,qa_type
7、EXT. FULL VIEW - DAY,What visual elements show the beach's condition?,"Smashed palm trees, burning huts, shattered sampans, and bodies in the surf.",Smashed and smoking palm trees... gutted and burning huts... shattered sampans and bodies washing around in the surf.,detailed description
65、EXT. HAU FAT - AN ADVANCE STAGING AREA,How are the troops described during their drill on the parade grounds?,"Clean and pale, in contrast to Lance and the others.","A platoon drills in the hot, lazy sun; they are clean and pale, in contrast to Lance and the others.",detailed description
5、EXT. HAU FAT - AN ADVANCE STAGING AREA,Why does the Chief send Lance to the docking area?,To obtain three extra drums of fuel and scrounge more 50 caliber.,CHIEF: 'Lance -- I want you to go with the Captain an' get three extra drums of fuel and maybe scrounge some more 50 caliber.',causal/relational queries
4、EXT. HELICOPTER - DUSK,What does the Colonel say about the Green Berets?,Their 'erratic' methods of operation.,"COLONEL
Command's concern over their -- shall we say 'erratic' methods of operation.",dialogue/beliefs
60、EXT. THE RIVER - P.B.R. - DAY,"In [60、EXT. THE RIVER - P.B.R. - DAY], What is housed inside the hollow log in the swamp?",The rear of an M-60 machine gun painted in a paisley design.,"The log is hollow and houses the rear of a M-60 machine gun, hand painted in a paisley design.",objects/props
61、EXT. MARINA DEL REY,What does Charlie do with the newspaper during his speech?,He draws circles representing countries and their economic power.,"He takes a newspaper, draws a circle. This is West Germany... (he draws another, bigger circle) This is Japan...",detailed description
"49、INT. THE HEADQUARTERS - MED, VIEW - KURTZ AND WILLARD -","In [49、INT. THE HEADQUARTERS - MED, VIEW - KURTZ AND WILLARD -], What is Kurtz's emotional state when he asks for water?",He is frightened and desperate.,"truly frightened, holds up his hand ... No -- I don't want to sleep.",character states
2、EXT. A STREET IN SAIGON - DAY,What does Willard believe about the man he sees?,He thinks the man is following him.,"I wasn't sure, but I thought this guy was following me.",dialogue/beliefs
52、EXT. OF THE TEMPLE AT NU MUNG BA - NIGHT,"In [52、EXT. OF THE TEMPLE AT NU MUNG BA - NIGHT], What is Willard's status among the men?","A revered leader, as men bow, salute, or kneel to him.","All the men: Montagnards, fierce Americans, even the savage men of the P.B.R. crew either bow, salute or kneel before Willard.",character states
Int. Who's your commanding,What is the appearance of the pedestal in the parade grounds?,"A large, well-built pedestal surrounded by a deep moat filled with punji stakes and concertina wire.","A large, well-built pedestal has been erected -- this is surrounded by a deep moat filled with punji stakes and garnished with concertina wire.",detailed description
Int. Who's your commanding,How are the troops described in the parade grounds?,"Seething American fighting men mobbing the area, desperate to see an American girl despite security measures.","The entire area around the pedestal and right up to the wire is mobbed with seething American fighting men. Some of these boys have just gotten here -- others have been in the jungle for months. All have one thing in common, to see and if possible grab an American girl.",detailed description
43、EXT. THE RIVER - FOG - DAY,"In [43、EXT. THE RIVER - FOG - DAY], What is Willard's physical condition when the fog comes?",He becomes blind.,"then the fog came suddenly, and I was blind too.",character states
15、EXT. HELICOPTERS - MONTAGE,What request does the Co-pilot make regarding the tree line?,"Hell of a hot L.Z. Need immediate air strike on the tree line, Eagle Thrust.","CO-PILOT
(continuing)
Hell of a hot L.Z. Need immediate air strike on the tree line, Eagle Thrust.",dialogue/beliefs
15、EXT. HELICOPTERS - MONTAGE,What does the Co-pilot report about their situation?,"We're down, Eagle Thrust -- we're hit. We got a hot L.Z. here.","CO-PILOT
We're down, Eagle Thrust -- we're hit. We got a hot L.Z. here.",dialogue/beliefs
47、INT. KURTZ HEADQUARTERS - NIGHT,"In [47、INT. KURTZ HEADQUARTERS - NIGHT], What is Kurtz's behavioral state?","Sits alone, slumped back in a wicker chair.","Kurtz sits alone, slumped back in a wicker chair.",character states
70、INT. COMMAND COPTER,What music does Kilgore plan to play and what is its effect?,Wagner's 'Ride of the Valkyries' scares the slopes,KILGORE: 'Classical stuff -- scares the hell out of the slopes' and LOUDSPEAKERS BLARE out Wagner's 'Ride of the Valkyries',detailed description
4、EXT. HELICOPTER - DUSK,What does the Colonel say about elite units?,"I have never favored elite units, Captain.","COLONEL
I have never favored elite units, Captain,",dialogue/beliefs
27、EXT. THE P.B.R. APPROACHING DO LUNG BRIDGE - FULL SHOT -,"In [27、EXT. THE P.B.R. APPROACHING DO LUNG BRIDGE - FULL SHOT -], Where is the boat approaching according to Willard's voiceover?",Do Lung Bridge,"WILLARD (V.O.) Two days and nights later, we approach the Do Lung Bridge.",scene localization
58、INT. KURTZ'S HOME - DAY,"In [58、INT. KURTZ'S HOME - DAY], What visual items are displayed in the room?",Pictures of Kurtz in various stages of his career,"There are pictures of Kurtz, not too many... but he is there in the various stages of his career.",objects/props
43、EXT. THE RIVER - FOG - DAY,"In [43、EXT. THE RIVER - FOG - DAY], What emotional state is Lance in when he is seen?",He is almost in tears.,"A glimpse of him, almost in tears.",character states
55、EXT. RIVER - MED. VIEW,"In [55、EXT. RIVER - MED. VIEW], What object does Willard use to fire at the rescue helicopter?",M-16,He raises his M-16 and FIRES the entire clip at the approaching rescue helicopter.,objects/props
34、INT. DINING ROOM GROUP - TRACKING SHOT,Why does the Chef's face light up?,Because he sees the wonderful European-style food.,The Chef's face lights up as he regards the wonderful European-style food.,causal/relational queries
45、EXT. THE RIVER - P.B.R. DAY,"In [45、EXT. THE RIVER - P.B.R. DAY], How does Willard appear to the natives based on his attire?",Looks like a tribal chieftain with vegetation and sun protection.,Mus on his face... looks something like a tribal chieftain himself.,character states
51、INT. HEADQUARTERS - NIGHT,When does Willard shoot himself with the morphine?,After Kurtz speaks about warpaint,Then it becomes your jungle. Willard shoots himself,temporal references
46、EXT. KURTZ'S OUTPOST - FULL VIEW - TWILIGHT,"In [46、EXT. KURTZ'S OUTPOST - FULL VIEW - TWILIGHT], What is Chef's emotional state?",Confused and frightened,"Chef looks at him, confused and frightened.",character states
17、INT. COMMAND COPTER - VIEW ON WILLARD AND KILGORE,"In [17、INT. COMMAND COPTER - VIEW ON WILLARD AND KILGORE], What is Kilgore's emotional state when he refers to the enemy as 'savages'?",Angry,Fucking savages.,character states
50、EXT. THE HEADQUARTERS - MED. VIEW - LANCE AND CHEF - NIGHT,"In [50、EXT. THE HEADQUARTERS - MED. VIEW - LANCE AND CHEF - NIGHT], What is Chef's emotional state?",Terrified,Chef is terrified,character states
40、INT. ROXANNE'S ROOM - CLOSE SHOT - WILLARD - MORNING,"In [40、INT. ROXANNE'S ROOM - CLOSE SHOT - WILLARD - MORNING], How does Willard react to Roxanne's revelation?",Stunned,He stops -- seemingly stunned.,character states
