scene,question,answer,evidence,qa_type
36、INT. SOUTHWEST BANK - LOAN DESK,Why does Carl nervously walk into his office?,Because Norman approached him looking grave and requested a private conversation.,"Norman comes over, looking grave. NORMAN: Carl, could I see you for a moment? Carl nervously walks into his office.",causal/relational queries
45、INT. HOLIDAY INN HALLWAY,Why does Sanji present the Maniyesto to Carl?,To ensure Carl commits to living fully and avoids avoiding life's challenges.,Sanji explains the contract's terms after Carl's vague response about his journey.,causal/relational queries
49、INT. DUNKIN DONUTS,What does Carl do when the cashier starts to speak?,Cuts her off mid-sentence with a sarcastic remark,CARL (cutting her off) To have a wonderful day? I would.,detailed description
46、INT. RUDY'S,What is a 'Yesponsor' according to Carl?,"A person who holds Carl to his commitment, similar to an AA sponsor.",Like in AA. I need you to hold me to it.,terminology/abbreviation/concept
25、INT. CARL'S APARTMENT - MORNING,"In [25、INT. CARL'S APARTMENT - MORNING], What is Carl's emotional state when he agrees to join the brunch?",reluctant and conflicted,Carl says 'Yes' in slow motion and 'clearly not wanting to',character states
35、INT. SOUTHWEST BANK - LOAN DESK,"Why can't the customer obtain a $5,000 loan?","The bank has a minimum loan floor of $10,000.",We have a minimum loan floor of ten thousand dollars.,causal/relational queries
45、INT. HOLIDAY INN HALLWAY,What is the purpose of the Maniyesto's requirement to always answer communications?,To prevent Carl from avoiding contact and facing life's responsibilities.,Sanji states they must answer all communications to avoid avoiding contact.,causal/relational queries
42、INT. CARL'S APARTMENT - MORNING,Why was Carl in bad shape?,"He was punched in the face by Domingo, her fiancé.",The guy who punched you in the face.,causal/relational queries
22、INT. CARL'S APARTMENT,What are Peter and Lucy celebrating?,Their engagement.,PETER (V.O.) ...Lucy and I are celebrating our engagement.,dialogue/beliefs
22、INT. CARL'S APARTMENT,What does Peter say to Carl on the answering machine?,He asks Carl to come by Rudy's tonight because he and Lucy are celebrating their engagement.,"PETER (V.O.) Carl, it's Peter. I know you don't do things anymore, but it'd mean a lot if you'd come by Rudy's tonight. Lucy and I are celebrating our engagement.",dialogue/beliefs
6、INT. DUNKIN DONUTS,"In [6、INT. DUNKIN DONUTS], What is Carl's behavioral response to the cashier's offers?",Declines both the coffee flavoring and doughnut special,CARL No thanks. No.,character states
21、EXT. SOUTHWEST BANK,"In [21、EXT. SOUTHWEST BANK], What is Alex's behavioral state as described in the passage?",Oddly hyper,An oddly hyper guy named ALEX approaches Carl.,character states
34、INT. SOUTHWEST BANK LOUNGE,What causes Carl to offer assistance to the customer?,The customer's request to speak to a loan specialist.,BANK CUSTOMER: 'I need to speak to a loan specialist.' CARL: 'I'd be happy to help you.',causal/relational queries
44、INT. HOLIDAY INN LOBBY,What caused the receptionist to state room 125?,Carl's inquiry about Sanji Gupta's presence,Carl walks up to the counter. CARL Hi... is there a Sanji Gupta staying here? RECEPTIONIST Room 125.,causal/relational queries
42、INT. CARL'S APARTMENT - MORNING,Why did the Hot Girl leave after kissing Carl?,She had to go because her fiancé called.,My fiance called. He was like really sorry about last night. I have to go.,causal/relational queries
7、INT. SOUTHWEST BANK - LATER,"In [7、INT. SOUTHWEST BANK - LATER], What does Carl delete from his computer?",The email from the deposed King of Nigeria,"Dear Trusted Foreigner, Allow me to introduce myself. I am the deposed King of Nigeria and I wish to propose a confidential transaction.",objects/props
21、EXT. SOUTHWEST BANK,"In [21、EXT. SOUTHWEST BANK], What emotional state is Norman in according to the passage?",Heartbroken,Norman's been heartbroken since you quit.,character states
27、INT. STACKERS - LATER,What does Peter say about his sunglasses?,"Oakleys, polarized lenses, indestructible. Two fifty but worth every penny.","PETER: 'Oakleys, polarized lenses, indestructible. Two fifty but worth every penny.'",dialogue/beliefs
40、INT. SENOR FROG'S - NIGHT,Why does Carl sign up for the karaoke contest?,Because the DJ announced it and Rooney urged him.,SENOR FROG'S DJ... Sign up and sweep us off our feet! ROONEY: You gotta do karoake.,causal/relational queries
34、INT. SOUTHWEST BANK LOUNGE,What causes Carl to mention his jurisdictional limitations?,The customer's request for a loan specialist.,BANK CUSTOMER: 'I need to speak to a loan specialist.' CARL: 'While loans aren't normally in my jurisdiction.',causal/relational queries
