scene,question,answer,evidence,qa_type
47、INT. AUSITN'S STALL,"In [47、INT. AUSITN'S STALL], What object is flushed down the toilet?",Patty's head,Austin drops Patty's head into the toilet and FLUSHES.,objects/props
39、INT. CASINO,When does Vanessa explain the glasses are prescription?,After Austin panics and says he can't see.,"AUSTIN (panicking) Uh, hit me. ... VANESSA (quietly) What's wrong? AUSTIN (quietly, to Vanessa) I can't see a bloody thing. VANESSA Oh, I forgot to tell you...",temporal references
45、INT. AUSTIN'S STALL,What action does Austin perform with Patty O'Brien's head after breaking free of the charm bracelet/garotte?,grabs her head and pulls it between his legs so that it hovers above the toilet bowl,"Austin breaks free of the charm bracelet/garotte, grabs Patty O'Brien's head, and pulls it between his legs so that it hovers above the toilet bowl.",detailed description
10、EXT. CARNABY STREET - DAY,"In [10、EXT. CARNABY STREET - DAY], What action does Austin take when the Jaguar XKE pulls alongside him?",He jumps over the door into the moving convertible.,He jumps over the door into the moving convertible.,character states
49、INT. AUSTIN'S STALL,"In [49、INT. AUSTIN'S STALL], What does Austin retrieve from Patty O'Brien's wallet?",His Dr. Evil ID card and Alotta's Virtucon business card with her address,Austin reaches into Patty O'Brien's wallet. We see his Dr. Evil ID card and Alotta's Virtucon business card with her address.,detailed description
40、INT. CASINO,What distinctive feature does the cat have?,An X-ray eyepatch.,That cat Number Two has an X-ray eyepatch.,detailed description
25、INT. EXAMINATION AREA,"In [25、INT. EXAMINATION AREA], What temporary side-effect does Austin experience after unfreezing?",Shouting and difficulty controlling the volume of his voice.,The shouting is a temporary side-effect of the unfreezing process. (shouting) THE VOLUME OF MY VOICE!,character states
43、INT. BATHROOM STALL,How does Austin prevent the garrote wire from tightening?,Austin gets his thumbs between the wire and certain death,Austin gets his thumbs between the wire and certain death,detailed description
16、INT. ELECTRIC PSYCHEDELIC PUSSYCAT SWINGER'S CLUB,What action does Austin perform on the mod girl before revealing her identity?,"PUNCHES a PRETTY MOD GIRL in the face, knocking her out","He PUNCHES a PRETTY MOD GIRL in the face, knocking her out cold",detailed description
65、INT. ALOTTA'S JAPANESE STYLE PENTHOUSE,"In [65、INT. ALOTTA'S JAPANESE STYLE PENTHOUSE], What is inside the briefcase Austin opens?",A document detailing Virtucon's holdings.,He opens it. FULL SCREEN - DOCUMENT,objects/props
43、INT. BATHROOM STALL,What action occurs with the panel behind Austin?,"A panel SLIDES OPEN, revealing Patty O'Brien","Behind him, a panel SLIDES OPEN, revealing Patty O'Brien",detailed description
64、INT. HOTEL ROOM,"In [64、INT. HOTEL ROOM], What object does Austin mime being trapped in?",A nutshell,Austin mimes being trapped in a nutshell.,objects/props
14、INT. ELECTRIC PSYCHEDELIC PUSSYCAT SWINGER'S CLUB,What does Austin say in response to Mick's question about his satisfaction?,"Well, you can't always get what you want.","AUSTIN
Well, you can't always get what you want.",dialogue/beliefs
3、EXT. CARNABY STREET - DAY,What does Austin say when the Supermodel declares her love for him?,"So many women, so little time.","So many women, so little time.",dialogue/beliefs
5、EXT. PHONE BOOTH,What is the purpose of Austin's beard?,To disguise himself.,disguised only by a beard,causal/relational queries
73、EXT. CAR - STREETS OF LAS VEGAS - NIGHT,"In [73、EXT. CAR - STREETS OF LAS VEGAS - NIGHT], What is Austin's emotional state while driving?",Austin is sad.,Austin drives alone and sad against the rear-projection of Las Vegas.,character states
61、EXT. BUSHES,When does Dr. Evil escape?,While Austin is telling the story about the bulls,"Unfortunately, while you told that stupid story, Dr. Evil has escaped.",temporal references
