scene,question,answer,evidence,qa_type
14、INT. TWINKY'S APARTMENT - NIGHT,"In [14、INT. TWINKY'S APARTMENT - NIGHT], What is Bobby's emotional state during the scene?",Morose,Bobby sits morosely on the couch,character states
19、INT. BOBBY'S CAR - FREEWAY - DAY,"In [19、INT. BOBBY'S CAR - FREEWAY - DAY], What is BOBBY's emotional state as shown in the passage?",Frustrated,I can't take this shit anymore.,character states
14、INT. TWINKY'S APARTMENT - NIGHT,"In [14、INT. TWINKY'S APARTMENT - NIGHT], How does Elton react to Betty's behavior?",Nearly beside himself,"Elton, nearly beside himself, looks over to Bobby",character states
10、INT. BOWLING ALLEY - NIGHT,"In [10、INT. BOWLING ALLEY - NIGHT], What is Rayette's emotional state when she speaks to Bobby?",Reluctant,RAYETTE (reluctant),character states
3、INT. MORTUARY CHAPEL - DAY,"In [3、INT. MORTUARY CHAPEL - DAY], What does the casket lining contain?",The pale profile of his mother's face,pale profile of his mother's face resting within the satin folds of the casket lining,objects/props
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,"In [11、EXT. BOWLING ALLEY PARKING LOT - NIGHT], What is Rayette's emotional state when Bobby calls her pathetic?",Close to tears.,RAYETTE (close to tears),character states
50、EXT. BOBBY'S CAR - HIGHWAY - DAY,Why does Palm ask Bobby for a lift?,"Her car was damaged, so she needed transportation.",Can you give us a lift?,causal/relational queries
42、INT. RAYETTE'S LIVING ROOM - DAY,"In [42、INT. RAYETTE'S LIVING ROOM - DAY], What causes Rayette to weep silently after Bobby leaves?",Bobby's decision to leave permanently.,"She is still faced away from him, her shoulders trembling as she weeps soundlessly.",causal/relational queries
42、INT. RAYETTE'S LIVING ROOM - DAY,Why does Bobby have to leave Rayette's house?,Bobby's father is sick.,I have to go home. My father's sick.,causal/relational queries
35、INT. ELTON AND STONEY'S MOBILE HOME - NIGHT,What caused Elton to nearly break his neck?,Hanging 90 feet up on a tour.,"I once hung suspendered 90 feet up on a tour, like a damn circus artist... Near broke my damn neck...",causal/relational queries
35、INT. ELTON AND STONEY'S MOBILE HOME - NIGHT,Why does Elton refuse to work again?,He hated being a derrickman.,I swore to God I'd never hire on to this type a work again... I once hung suspendered 90 feet up... Near broke my damn neck...,causal/relational queries
50、EXT. BOBBY'S CAR - HIGHWAY - DAY,Why is Palm upset?,Her car's steering malfunctioned after she bought it new from a used-car lot.,"Look at my car! Piece of shit! I just bought it brand new from a used-car lot, and the steering goes to the pot on me!",causal/relational queries
45、INT. RAYETTE'S LIVING ROOM - DAY,What action does Bobby's hand perform on the record player?,Slashes at the arm and pulls it across the grooves,"BOBBY'S HAND slashes at the arm of the record player, pulling it across the grooves",detailed description
39、INT. STUDIO A RECORDING BOOTH - DAY,Why does the second engineer interrupt Tita's performance?,"Because she was singing, which he deemed inappropriate for the recording.","I'd like to remind you again, this isn't an opera or a musical comedy. Oh... I'm sorry. Was I singing again?",causal/relational queries
36、EXT. SIGNAL HILL RIG - DAY,What does Bobby accuse Elton of doing during their conversation?,Comparing his life to Bobby's.,"BOBBY (CONT'D) I'm sitting here, listening to some asshole cracker compare his life to mine!",dialogue/beliefs
