id,scene,question,answer,evidence,qa_type
1,2、EXT. HONOLULU - DAY,"In [2、EXT. HONOLULU - DAY], What is Matt's emotional state regarding his friends' perceptions of Hawaii?",Frustrated with friends' assumptions about life in Hawaii,Matt's rhetorical questions about his friends' beliefs about Hawaii,character states
2,63、INT. MATT AND LIZ'S BEDROOM - NIGHT,What is Matt doing while sitting in the area off the bedroom?,Nursing a whiskey and pressing a phone to his ear,This is where Matt now sits nursing a whiskey and pressing a PHONE to his ear.,detailed description
3,4、INT. NEUROLOGIST'S OFFICE - DAY,What does Matt say about Elizabeth's accusations?,It was exactly what Elizabeth used to accuse me of.,MATT (V.O.) It was exactly what Elizabeth used to accuse me of.,dialogue/beliefs
4,27、INT. FAMILY CONSULTATION ROOM - DAY,What is the purpose of considering the shortest possible survival time for Matt's wife?,To plan for organ donations.,You should work off the shortest possible scenario. I know I need to get the ball rolling on organ donations right away.,causal/relational queries
5,57、INT. MATT'S CAR - DAY,How does Matt react when Sid insults his wife?,Slams on the brakes and points a menacing finger,"SLAMMING ON THE BRAKES, Matt turns around, points a menacing finger.",detailed description
6,29、INT. HOSPITAL ROOM - CONTINUOUS,Why does Matt smile despite expecting a grim moment?,Because the room is filled with warmth and life.,"Matt smiles -- he'd been expecting a grim moment alone with Elizabeth, but instead he finds a room full of warmth and life.",causal/relational queries
7,29、INT. HOSPITAL ROOM - CONTINUOUS,Why is Kai applying makeup to Elizabeth?,Because she's been looking pale and cooped up.,Kai: 'she's been looking a little pale lately all cooped up in here',causal/relational queries
8,10、INT. HOSPITAL GIFT SHOP - DAY,"In [10、INT. HOSPITAL GIFT SHOP - DAY], What is Matt's emotional state when he looks at the postcard?",He is barely containing his rage.,"Barely containing his rage, Matt stares at postcard",character states
9,35、INT. AIRPLANE - DAY,What belief does Matt express about families?,A family seems exactly like an archipelago.,"A family seems exactly like an archipelago -- all part of the same geographic expression but still islands -- separate and alone, always drifting slowly apart.",dialogue/beliefs
10,13、INT. HOSPITAL ROOM - CONTINUOUS,What causes Scottie to bolt out the door?,Matt's confrontation and taking her phone.,Scottie fights him as he snatches her phone away. ... Scottie bolts out the door.,causal/relational queries
11,9、INT. HOSPITAL HALLWAY - DAY,"In [9、INT. HOSPITAL HALLWAY - DAY], What emotional state does Matt express about his responsibilities?",He feels burdened and wants to hide.,I just want to hide.,character states
12,54、EXT. KING SWIMMING POOL - DAY,How is Sid described physically and in terms of expression when he rises from his chair?,Lanky and odd with a permanent smirk,"Lanky and odd, a permanent smirk on his face",detailed description
