scene,question,answer,evidence,qa_type
4、INT. CHILTON'S OFFICE - BALTIMORE STATE HOSPITAL FOR THE,"In [4、INT. CHILTON'S OFFICE - BALTIMORE STATE HOSPITAL FOR THE], Why does Clarice try to hide her distaste for Dr. Chilton?",Because he rudely left her standing and made inappropriate remarks.,He has rudely left her standing... I can't ever remember one so attractive...,causal/relational queries
6、INT. DIFFERENT CORRIDOR - LOWER FLOOR - DAY,Why did Chilton smile after showing the photo?,"Because Clarice was stopped in her tracks, which pleased him.","Looking at it, she is stopped in her tracks. This pleases Chilton.",causal/relational queries
43、INT. BALTIMORE STATE HOSP. FOR THE CRIMINALLY INSANE - DAY,What action does Chilton take with his pen when confronting Clarice?,Points his gold pen at her accusingly,He points his gold pen at her accusingly.,detailed description
43、INT. BALTIMORE STATE HOSP. FOR THE CRIMINALLY INSANE - DAY,How does Clarice respond to Chilton's physical contact?,Stares at him with pity and distaste until he lets go,"She stares at him, with pity and distaste, till he lets go.",detailed description
45、INT. MR. GUMB'S CELLAR - DAY,What visual details describe the female mannequins in the cellar?,"Some nude, some wearing colorful leather jackets, in various stages of completion","We pass a row of female mannequins, some nude, some wearing colorful leather jackets, designer knockoffs, in various stages of completion",detailed description
59、INT. ATTIC CRAWL-SPACE,"In [59、INT. ATTIC CRAWL-SPACE], What is Clarice's behavioral state?",Poking her head through a ceiling hatch and looking around.,"Clarice, lit from underneath, pokes her head through, looking around.",character states
5、INT. ASYLUM CORRIDOR - UPPER FLOOR - DAY,"In [5、INT. ASYLUM CORRIDOR - UPPER FLOOR - DAY], What is Clarice's emotional state when the gate shuts?",Clarice is startled or afraid.,Clarice flinches as a heavy steel gate CLANGS shut behind her,character states
40、INT. LABORATORY - DAY,What visual detail is observed on the moth's back?,a ghostly human skull between the wing bases,nature's perfect reproduction of a ghostly human skull,detailed description
25、INT. HALLWAY - CLASSROOM BUILDING - DAY,"In [25、INT. HALLWAY - CLASSROOM BUILDING - DAY], Why is Clarice going to West Virginia?",A body was found that's a Buffalo Bill-type situation.,Some fishermen in West Virginia found an unidentified girl's body. It's a Buffalo Bill-type situation.,causal/relational queries
9、INT. FBI ACADEMY FIRING RANGE - DAY,What caused the target to stop moving?,Clarice's shots hit the target's chest.,"Her shots, tightly grouped, are all finding the center chest. The target stops",causal/relational queries
33、INT. MR. GUMB'S CELLAR - DAY (DIM LIGHT),What does Catherine promise Mr. Gumb if he lets her go?,"I won't press charges, I promise.","CATHERINE Mister, if you let me go, I won't press charges, I promise.",dialogue/beliefs
6、INT. DIFFERENT CORRIDOR - LOWER FLOOR - DAY,What caused the strict precautions described by Chilton?,"The man attacked a nurse, causing her injuries.","When the nurse bent over him, he did this to her... The doctors managed to re-set her jaw, more or less, and save one of her eyes. His pulse never got over eighty-five, even when he ate her tongue.",causal/relational queries
35、INT. RECREATION ROOM - FBI ACADEMY - DAWN,What does Clarice believe about the senator's repetition of the name?,Someone is coaching her to make her a person.,CLARICE... Somebody's coaching her... They're trying to make him see Catherine as a person,dialogue/beliefs
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,"In [11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT], Why didn't Clarice go to the storage facility despite finding its location?","It was a field job outside her assignment scope, and she had a test to prepare for.",It's outside the scope of my assignment. And I've got a test tomorrow on...,causal/relational queries
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,Why was Miggs murdered according to the passage?,"Lecter whispered to him all afternoon, leading him to swallow his own tongue.","The orderly heard Lecter whispering to him, all afternoon, and Miggs crying. They found him at bed check. He'd swallowed his own tongue...",causal/relational queries
24、INT. FBI ACADEMY CLASSROOM - QUANTICO - DAY,Why do the cuts on the blouses match?,Buffalo Bill always uses the same pair of scissors.,"And, as you see - Bill always uses the same pair...",causal/relational queries
63、INT. COURTHOUSE - GROUND FLOOR - DAY,"In [63、INT. COURTHOUSE - GROUND FLOOR - DAY], What is SGT. TATE's emotional state when interacting with Clarice?",Doubtful,"looks up at her from his command desk, a bit doubtfully",character states
64、INT. ELEVATOR - MOVING,"In [64、INT. ELEVATOR - MOVING], What is Clarice's behavioral state when responding?",Hesitant,(beat),character states
