scene,question,answer,evidence,qa_type
"47、INT. APARTMENT, TOKYO - CONTINUOUS","In [47、INT. APARTMENT, TOKYO - CONTINUOUS], What object is spun on the table by Cobb?",PEWTER SPINNING TOP,"Pulls out a PEWTER SPINNING TOP, SPINS it on the table...",objects/props
2、INT. SAME - MOMENTS LATER,How is the cone described when the Elderly Japanese Man spins it onto the table?,It CIRCLES gracefully across the polished ebony,"ELDERLY JAPANESE MAN
I know what this is.
He SPINS it onto a table- it CIRCLES gracefully across the polished ebony...",detailed description
3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER),"In [3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER)], What is Saito's behavioral state when he leaves the table?",Gives a flicker of a smile,Saito gives this a flicker of a smile. Rises,character states
27、INT. FILTHY BATHROOM - CONTINUOUS,Why does Cobb fall backwards?,"Nash pushes him, causing him to fall.",Nash puts his hand on Cobb's forehead and PUSHES HIM BACKWARDS- as Cobb starts to FALL BACKWARDS in the chair,causal/relational queries
"30、INT. GRAND STAIRCASE, JAPANESE CASTLE - NIGHT",Why is Cobb submerged in water?,Because water exploded through the windows and flooded the hall,"WATER EXPLODES IN THROUGH ALL THE WINDOWS, FLOODING THE ENTIRE HALL",causal/relational queries
"23、INT. DINING ROOM, JAPANESE CASTLE - NIGHT","In [23、INT. DINING ROOM, JAPANESE CASTLE - NIGHT], What is Saito's physical condition after the ceiling cracks?",He is crushed by a ton of stone.,CRUSHING HIM,character states
26、INT. DILAPIDATED HOTEL ROOM-CONTINUOUS,What action does Saito take to signal silence?,Points a gun to Arthur's head and gestures silence,"Saito with a gun to his head and a finger to his lips, gesturing silence",dialogue/beliefs
29、INT. FILTHY BATHROOM - DAY,What action does Cobb perform when he hits the water?,Cobb hits the water in slow motion with his head thrashing as he goes under.,"Cobb in SLOW MOTION, hits the WATER- head THRASHING as he goes under- and we- CUT TO:",detailed description
31、INT. FILTHY BATHROOM - DAY,"In [31、INT. FILTHY BATHROOM - DAY], What is Cobb's state when he first appears in the scene?",Awake and gulping air.,"Cobb's AWAKE, GULPING AIR, getting his bearings.",character states
2、INT. SAME - MOMENTS LATER,What camera direction is specified for the spinning top scene?,MOVE IN on the GRACEFULLY SPINNING TOP,MOVE IN on the GRACEFULLY SPINNING TOP...,detailed description
38、INT. DILAPIDATED HOTEL ROOM-DAY,Why does Saito believe he is still dreaming?,Because he is not lying on his carpet in his apartment,"Which means I'm not lying on my carpet, in my apartment... You've lived up to your reputation, Mr. Cobb... I'm still dreaming.",causal/relational queries
50、INT. HELICOPTER ON PAD - CONTINUOUS,Why does Saito's bodyguard offer Cobb a gun?,Because Nash sold them out.,He sold you out. Thought to come to me and bargain for his life...,causal/relational queries
50、INT. HELICOPTER ON PAD - CONTINUOUS,Why does Saito offer Cobb the information?,To exchange it for Inception.,"In exchange, I'll give you the information you were paid to steal.",causal/relational queries
34、INT. DILAPIDATED HOTEL ROOM - DAY,What did Saito call the encounter?,An audition,SAITO: An audition.,dialogue/beliefs
48、INT. CORRIDOR - CONTINUOUS,What does Arthur do after Cobb mentions Buenos Aires?,"Arthur looks at Cobb, nods, and shows sympathy.",Arthur looks at Cobb. Nods. Sympathetic.,detailed description
"16、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS","In [16、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS], What is Saito's emotional state?",Panic,Saito and the Guards PANIC,character states
25、INT. FILTHY BATHROOM - CONTINUOUS,What does Nash say about Cobb?,He won't wake!,NASH: He won't wake!,dialogue/beliefs
53、INT. PRIVATE JET - LATER,How is Arthur behaving while eating?,"Picks at a salad, angry","Arthur picks at a salad, angry.",detailed description
35、INT. BULLET TRAIN COMPARTMENT - DAY,When does Todashi hit play on the MP3 player?,When the first countdown reaches 30,"Todashi waits for the first countdown to hit '30,' then HITS PLAY on the MP3 player",temporal references
"13、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS","In [13、INT. DINING ROOM, JAPANESE CASTLE - CONTINUOUS], Where is the safe located?",Behind a painting in the room,"Cobb moves to a PAINTING. With practiced hands he removes it from the wall, revealing a SAFE.",scene localization
43、INT. BULLET TRAIN COMPARTMENT - DAY,What does Cobb do to Saito's wrist?,Rips the tape off and rolls up his tubes.,"Cobb RIPS the tape off Saito's wrist, ROLLS up his tubes.",detailed description
66、INT. WORKSHOP - CONTINUOUS,"In [66、INT. WORKSHOP - CONTINUOUS], What is Ariadne's emotional state?",Puzzled,"Ariadne looks at Arthur, puzzled.",character states
20、INT. DILAPIDATED HOTEL ROOM - DAY,What does Arthur say about his ability to complete the task?,I'm not going to make it!,I'm not going to make it! Wake Cobb!,dialogue/beliefs
