id,scene,question,answer,evidence,qa_type
1,"11、INT. INTERPOL CENTRAL BRIEFING ROOM, PARIS - EVENING",What is 'The false Lawsuit' according to Ackerman?,A money laundering scheme using two companies where one files a lawsuit against the other.,Pearce sets up two companies: one is a Casino in Arizona for example and the other is a shell company in the Cayman Islands. The Cayman Islands company files a lawsuit against the casino.,terminology/abbreviation/concept
2,42、EXT. BALCONY - DAY,Why did Frank land in the lap of the Burly Welshman?,He misjudged the distance between the balconies.,He misjudged the distance,causal/relational queries
3,"24、EXT. BALCONY, DANIELI HOTEL - DAY",How does Cara behave after Frank goes inside to answer the door?,"She remains immobile, holding her breath while waiting and listening.","Cara remains alone on the balcony, immobile, as if holding her breath. She's waiting... listening.",detailed description
4,42、EXT. BALCONY - DAY,Why did Frank slip on the balcony?,He stepped on spilled coffee.,slips on the spilled coffee,causal/relational queries
5,"46、EXT. RIVA DEGLI SCHIAVONI, VENICE - DAY",Why does Frank double back towards the lagoon?,He sees the men still in pursuit,"He doubles back towards the lagoon. Looking back, he sees the men still in pursuit.",causal/relational queries
6,39、INT. DOGE'S SUITE - MORNING,Why is Cara stunned?,She sees Frank in the shower.,She sees him. Cara is so stunned she simply stands there.,causal/relational queries
7,19、EXT. VENICE TRAIN STATION - MORNING,"In [19、EXT. VENICE TRAIN STATION - MORNING], What is Frank's emotional state when he approaches Cara?",He is anxious about missing her.,I was afraid I'd missed you.,character states
8,"3、INT. BRASSERIE, GARE DE L'EST - DAY","In [3、INT. BRASSERIE, GARE DE L'EST - DAY], What is the Younger Waiter's behavioral state when Cara sets fire to the letter?",Alarmed,"The YOUNG WAITER hurries over, alarmed.",character states
9,"22、INT. STAIRCASE HALL, DANIELI - DAY",Why is Frank dazed with delight and amazement?,Because he is awed by the hotel's grandeur.,"The passage describes the 'ravishing, open central hall' and 'great, ornate staircase' that beckon.",causal/relational queries
10,73、EXT. PIAZZA SAN MARCO - EVENING,What does the Englishman say about the girl?,You're a brave and loyal girl. I'm in awe of you.,"THE ENGLISHMAN
You're a brave and loyal girl.
I'm in awe of you.",dialogue/beliefs
11,13、EXT. MAIN GATE OF THE VILLA - MOMENTS LATER,"In [13、EXT. MAIN GATE OF THE VILLA - MOMENTS LATER], What is Ackerman's emotional state?",Patient and composed,Ackerman betrays no impatience and nods,character states
12,"75、INT. BEDROOM, ""SAFE HOUSE"" - CONTINUOUS",What does the Englishman state about his concerns?,"My only concern is for those who cross you, my love.","My only concern is for those who cross you, my love.",dialogue/beliefs
13,39、INT. DOGE'S SUITE - MORNING,Why does Frank investigate Cara's bedroom?,He hears the shower and notices the door is ajar.,He hears the sound of water running in the shower. He glances over at the door ajar...,causal/relational queries
14,4、INT. GARE DE L'EST STATION - MOMENTS LATER,"In [4、INT. GARE DE L'EST STATION - MOMENTS LATER], What is Cara's emotional state when she watches Frank Taylor?",Thinly veiled contempt,Cara watches him with thinly veiled contempt.,character states
15,34、EXT. BALCONY - NIGHT,When is the video camera revealed?,After Cara and Frank's kiss,REVEAL the lens of a PALM-SIZED VIDEO CAMERA peering out from behind a vendor's cart in the street below.,temporal references
16,"75、INT. BEDROOM, ""SAFE HOUSE"" - CONTINUOUS",What does Cara say about the other person's behavior?,That's because you leave everything up to me.,That's because you leave everything up to me.,dialogue/beliefs
17,"24、EXT. BALCONY, DANIELI HOTEL - DAY",What does Frank do when Cara asks if he's all right with the sofa?,His face falls and he tries to cover his reaction.,His face falls. He tries to cover up his reaction.,detailed description
18,"45、EXT. RIO DEL VIN CANAL, VENICE - DAY","In [45、EXT. RIO DEL VIN CANAL, VENICE - DAY], Where does Frank end up after running up hidden stairs?",The roof of a shop on Riva Degli Schiavoni,Running up hidden stairs he finds the roof of a shop on the Riva Degli Schiavoni...,scene localization
19,41、INT. CARA'S BEDROOM - MOMENTS LATER,When is the meeting scheduled according to the decoded message?,Tomorrow 11 Caffe Pesaro,Frank decodes the message to reveal 'Tomorrow 11 Caffe Pesaro',temporal references
20,30、INT. DEMIDOV'S HOTEL ROOM - DAY,"In [30、INT. DEMIDOV'S HOTEL ROOM - DAY], What is Demidov's relationship with Alexander Pearce?","He trusted Alexander Pearce, who betrayed him.",I put my trust in Alexander Pearce. He betrayed that trust.,character states
21,"72、INT. BEDROOM, ""SAFE HOUSE"" - CONTINUOUS",What does Cara question about the recipe?,She questions the necessity of another recipe.,"CARA Do we really need another ""recipe""?",dialogue/beliefs
22,18、INT. TRAIN AISLE - MOMENTS LATER,"In [18、INT. TRAIN AISLE - MOMENTS LATER], What is Frank's physical condition as he moves through the aisle?",He is struggling to move down the aisle.,Frank struggles down the aisle,character states
23,"69、INT. DINING AREA, PEARCE'S ""SAFE HOUSE"" - LATER",What does Cara admit to being?,a criminal,"Okay, I'm a criminal.",dialogue/beliefs
24,"28、EXT. PRIVATE LANDING STRIP, VENICE - DAY",What details describe the man exiting the plane?,Hand-tailored Italian suit and shoes costing more than some cars,The man who steps off the plane is dressed in a hand-tailored Italian suit and shoes that cost more than some cars.,detailed description
