scene,question,answer,evidence,qa_type
39、EXT. PARK - BEHIND SOME BUSHES,What caused Longfellow to prefer Mandrake Falls over the current setting?,His critique of the society girls' superficiality and the lack of genuine nobility.,They all seem to have the St. Vitus Dance. They created grand palaces but forgot noblemen.,causal/relational queries
19、EXT. CORRIDOR,"In [19、EXT. CORRIDOR], What is the role of the two bodyguards in relation to Longfellow?",They are assigned to follow and guard him as per Mr. Cobb's orders.,Mr. Cobb said stick to your tail no matter what.,character states
"12、INT. EDITOR'S OFFICE, DAILY MAIL",What is Babe doing with the string in the close shot?,Flicking it to create a knot like a cowboy with a rope,"She has a string in her hand which she keeps flicking, trying to get a knot into it - in the manner of cowboys with a rope",detailed description
1、EXT. A STATION,"In [1、EXT. A STATION], What is written on the welcome sign?",Welcome to Mandrake Falls - Where the scenery enthralls - Where no hardship e'er befalls - Welcome to Mandrake Falls.,"COBB'S VOICE
Welcome to Mandrake Falls - Where the scenery enthralls - Where no hardship e'er befalls - Welcome to Mandrake Falls.",objects/props
31、EXT. TOP OF BUS,Why does Longfellow want to punch the newspaper writer?,Because the newspaper called him 'Cinderella Man'.,That's what I like about you. You think about a man's feelings. I'd like to go down to that newspaper and punch the fellow in the nose that's writing that stuff. ... 'Cinderella Man!',causal/relational queries
41、INT. LIVING ROOM OF MABEL DAWSON'S STUDIO,What is the relationship between the phone caller and the typewriter's content?,The caller is the 'Cinderella Man' mentioned in the typewriter's content.,"The typewriter's content mentions 'Longfellow Deeds, 'The Cinderella Man,'' and the phone caller is referred to as the 'Cinderella Man.'",causal/relational queries
9、INT. CEDAR'S PRIVATE OFFICES - ANTEROOM,"In [9、INT. CEDAR'S PRIVATE OFFICES - ANTEROOM], What is Cedar's behavioral state when he enters the office?",He breezes in and strides across the room.,Cedar breezes in and speaks to a secretary. He strides across the room to still another door marked 'PRIVATE' and he disappears.,character states
32、INT. THE TAXI,Why does the taxi driver's statement trigger a scramble?,"The driver announces 'He's getting off,' prompting a rush to get off the taxi.","DRIVER: Hey, wise guys. He's getting off. This sets off a mad scramble.",causal/relational queries
36、INT. CEDAR'S PRIVATE OFFICE,"In [36、INT. CEDAR'S PRIVATE OFFICE], What is Cedar's emotional state when he confronts Budington?",Agitated and frustrated.,Cedar paces the floor and snaps at Budington about the Power of Attorney.,character states
36、INT. CEDAR'S PRIVATE OFFICE,"In [36、INT. CEDAR'S PRIVATE OFFICE], What is Cedar's behavioral state when he greets the Semples?",Polite and accommodating.,Cedar smoothly cuts off Mrs. Semple and offers cigars to appear courteous.,character states
40、EXT. PARK - BEHIND SOME BUSHES,When does the siren become louder?,When Longfellow reaches the climax of their song,"At this moment, the shrieking of the siren is nearer and louder.",temporal references
6、INT. TRAIN DRAWING ROOM,What is the purpose of Cedar's statement about the fortune?,To reassure Longfellow about the responsibility of the fortune.,"CEDAR: I wouldn't worry if I were you. Of course, a large fortune like this entails a great responsibility - but you'll have a good deal of help. So don't worry. Leave everything to me.",causal/relational queries
60、INT. LONGFELLOW'S BEDROOM,What does LONGFELLOW ask over the phone?,Is it you who's been writing those articles about me?,LONGFELLOW (at phone; strained) Is it you who's been writing those articles about me?,dialogue/beliefs
27、INT. LONGFELLOW'S BEDROOM,"In [27、INT. LONGFELLOW'S BEDROOM], What item did Walter offer Longfellow on a tray?",A Prairie Oyster,"Walter offers him a drink on a tray. WALTER (humoring him) Yes, sir. LONGFELLOW What's that? WALTER A Prairie Oyster, sir.",objects/props
5、EXT. STATION,"In [5、EXT. STATION], What is Longfellow's emotional state as the train departs?",Smiles wanly and waves,Longfellow smiles wanly and waves,character states
6、INT. TRAIN DRAWING ROOM,Why does Cobb nearly spit out his drink?,Because Longfellow's comment about the tuba player was unexpected.,LONGFELLOW: I was wondering where they're going to get another tuba player for the band. Cobb has just finished taking a drink and can't help but nearly spit it out.,causal/relational queries
34、INT. THE TAXI,What effect does Longfellow's speech have on Babe?,She is fascinated and cannot laugh.,"She watches his face, fascinated. Her impulse is to laugh, but she finds that she can't.",causal/relational queries
44、INT. LONGFELLOW'S BEDROOM,What caused Longfellow to thank Babe for going out with him?,She made up for all the fakes he had met.,You've made up for all the fakes that I've met.,causal/relational queries
45、INT. APT. LIVING ROOM,What does 'Cinderella Man' refer to in the passage?,A nickname for a man described as wholesome and fresh.,BABE: 'Here's a guy that's wholesome and fresh...',terminology/abbreviation/concept
13、EXT. RESIDENCE,"In [13、EXT. RESIDENCE], Where is the long shot taken?","a large, imposing-looking residence","Of a large, imposing-looking residence.",scene localization
28、EXT. TOP OF FIFTH AVENUE BUS - NIGHT,"In [28、EXT. TOP OF FIFTH AVENUE BUS - NIGHT], What is Longfellow's emotional state as he looks around?",Absorbed,"Longfellow looks around, absorbed.",character states
37、EXT. ROOF OF TALL BUILDING - NIGHT,When does the scene end?,After the awkward pause and Babe's question 'Shall we go?',An awkward pause. BABE Shall we go? ? 395 ? DISSOLVE TO:,temporal references
