id,scene,question,answer,evidence,qa_type
1,53、EXT. PAUL'S HOUSE - SUNSET,Why does Paul prevent Margaret from opening the door?,To prevent her from exiting due to her distress,Paul grabs the door handle to keep Margaret from opening it,causal/relational queries
2,59、INT. BARNELL HOME / STUDY - EVENING,What causes Paul to mention the cruise as a memory of happiness?,To comfort Margaret by reminding her of a happier time.,Paul mentions the cruise: 'I saw you. You were happy.',causal/relational queries
3,59、INT. BARNELL HOME / STUDY - EVENING,Why does Margaret start crying after receiving the HMO letter?,The letter's content about her health issues caused her breakdown.,"Margaret starts to CRY, holding the letter up to her face the SOBS building to a full blown breakdown.",causal/relational queries
4,50、EXT. BOTTOM OF RIDGE - DAY,What caused the police to track Paul through his brother's ID?,An anonymous phone tip from a Jamaican guy,Anonymous phone tip from some Jamaican guy. Said he saw what looked like a body. We tracked you through his ID.,causal/relational queries
5,54、INT. BRANCH'S OFFICE - DAY,Why does Cam hustle Ted toward the door?,To prevent him from getting into trouble,"Cam, seeing his partner is about to get himself into a heap of trouble, hustles him toward the door.",causal/relational queries
6,54、INT. BRANCH'S OFFICE - DAY,Why does Branch say they have no case if the police say the guy was eaten by wolves?,The police's statement invalidates their case,"if the police say this guy was... Eaten by wolves, then we've got no case.",causal/relational queries
7,7、INT. INSIDE A TRASH DUMPSTER - NIGHT,Why did the second man pull the first man away?,To prevent discovery by approaching sirens.,"SIRENS closer. A second man looks in, then pulls the first man away.",causal/relational queries
8,7、INT. INSIDE A TRASH DUMPSTER - NIGHT,What caused the lid to drop after the men left?,The action of the second man pulling the first away.,"A second man looks in, then pulls the first man away. The lid drops.",causal/relational queries
9,28、EXT. TOP OF THE HILL - CONTINUOUS,"In [28、EXT. TOP OF THE HILL - CONTINUOUS], What emotional state does the nephew display when his toy is taken?",Desperate to retrieve his toy.,"NEPHEW
Leggo... it's mine. Uncle Gary!",character states
10,6、EXT. TRASH DUMPSTER - NIGHT,What happens immediately after the street lamp buzzes to life?,The man checks to ensure he's alone,"Night time now, as a street lamp BUZZES to life. A middle aged MAN... checks to make sure he's alone",temporal references
11,6、EXT. TRASH DUMPSTER - NIGHT,When does the man check to ensure he's alone?,After the lid reopens and before balancing the mini-bar fridge,"He gently lowers the lid, opens it again a moment later",temporal references
12,1、EXT. ROAD - WINTER DAY,What describes the police car's visibility?,Intermittently visible through blowing snow,"A police car, nothing more than a speck on the landscape, is intermittently visible through the blowing snow.",detailed description
13,9、EXT. CITY STREET - DAY,When does Howard realize Ted is taping him?,After he pulls off his mitt to shake hands and sees the camera,"HOWARD (cont'd) More than I could normally afford, I'll tell ya. (seeing the camera) Hey! What do you think you're you doing?",temporal references
14,63、INT. JIMBO'S CAR / GRAVEYARD PARKING LOT - CONTINUOUS,Why does Gary mention checking funeral announcements?,He implies Ted's disappearance is related to a funeral event.,Gary's statement about checking funeral announcements follows Ted's disappearance and reappearance.,causal/relational queries
15,52、INT. CITY MORGUE (BODY TRAY),Why does Ted mention the brother's attempt to cash the policy?,To suggest the brother's possible involvement in the death.,"Ted asks if it would surprise Boyle that the brother tried to cash the policy, implying suspicion.",causal/relational queries
16,47、EXT. BOTTOM OF THE RIDGE - SUNSET,Why does Paul apologize while handling the corpse?,He is sorry about the disrespectful treatment of the dead man.,PAUL Sorry about this part.,causal/relational queries
17,51、INT. INFLATABLE GOLF DOME - LATE AFTERNOON,What causes Ted to receive the phone call about his mother?,The activation of his mother's life insurance policy.,TED...Million dollar life policy just checked.,causal/relational queries
18,10、INT. INSURANCE OFFICE / COMMON AREA - DAY,"In [10、INT. INSURANCE OFFICE / COMMON AREA - DAY], What is Ted's emotional state when speaking to Howard?",Bitter,to himself - bitter,character states
19,53、EXT. PAUL'S HOUSE - SUNSET,What caused Paul's stress during the interview?,The recent traumatic event reported by the police,The police told us what happened... you just have to ask yourself,causal/relational queries
20,24、INT. GARAGE - CONTINUOUS,How does the fridge door open when Margaret tries to pull it?,It opens just a crack before the chain stops it.,She tugs on the door. It opens just a crack before the chain stops it.,detailed description
21,16、EXT. INSIDE THE DUMPSTER,What does Paul claim about the electric company?,He suggests it could be a problem on their end.,Could it possibly be a problem on your end?,dialogue/beliefs
22,23、EXT. INSIDE A TRASH DUMPSTER - NIGHT,"In [23、EXT. INSIDE A TRASH DUMPSTER - NIGHT], What is Jimbo's emotional state when he checks the trash?",Nervous and a little out of sorts,"Jimbo, a bear of man, keeps watch. He's nervous, a little out of sorts.",character states
23,23、EXT. INSIDE A TRASH DUMPSTER - NIGHT,"In [23、EXT. INSIDE A TRASH DUMPSTER - NIGHT], What is Gary's emotional state at the end of the scene?",Embarrassed,"Gary, embarrassed, digs in the trash with his feet.",character states
24,10、INT. INSURANCE OFFICE / COMMON AREA - DAY,"In [10、INT. INSURANCE OFFICE / COMMON AREA - DAY], What is Howard's emotional state during the scene?",Stunned,a stunned Howard stares at the camera,character states
25,35、INT. PAUL'S KITCHEN - NIGHT,"In [35、INT. PAUL'S KITCHEN - NIGHT], What is Margaret's emotional state after Paul's statement about Raymond?",Relieved,"Margaret smiles, relieved",character states
26,12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER,"In [12、INT. INSURANCE OFFICE / BRANCH'S OFFICE - MOMENTS LATER], What is Paul Barnell's age and description?",Paul Barnell is in his 40s and described as a mild-mannered everyman in a cheap suit.,"PAUL BARNELL (40s), a mild-mannered everyman wrapped in a cheap suit",character states
27,1、EXT. ROAD - WINTER DAY,How does the police car appear in the scene?,A speck on the landscape visible through blowing snow,"A police car, nothing more than a speck on the landscape, is intermittently visible through the blowing snow.",detailed description
28,51、INT. INFLATABLE GOLF DOME - LATE AFTERNOON,What causes Ted to confess Tiffany is the most important in his life?,Her comment about being a notch on his briefcase.,TIFFANY...another notch on your briefcase. TED...the most important thing in my life.,causal/relational queries
29,"56、INT. ""BARNELL GREAT ESCAPES TRAVEL"" - DAY",Why did the police track Paul down?,Because they found Raymond's wallet.,"The police say they found Raymond's wallet, that's how they tracked you down?",causal/relational queries
30,33、EXT. WOODED AREA - LATER,"In [33、EXT. WOODED AREA - LATER], What is Paul's behavioral state in the car?",Adjusting a pillow taped to his stomach and pulling on a blue ski mask.,"Paul adjusts a pillow he has taped to his stomach, then pulls on a blue ski mask.",character states
31,35、INT. PAUL'S KITCHEN - NIGHT,"In [35、INT. PAUL'S KITCHEN - NIGHT], What is Margaret's emotional state when she asks if Raymond is there?",Nervous,MARGARET (nervous),character states
32,23、EXT. INSIDE A TRASH DUMPSTER - NIGHT | 29、EXT. PARKING AREA,Why does Gary question whether the person in the garbage bin might still be alive?,"Gary questions whether the person might still be alive because he is uncertain if the body was actually dead when they disposed of it, suggesting the possibility that hypothermia made the person appear dead or that the injury wasn't fatal.","Gary says, 'I’m just saying… maybe it was like hypothermia and he just looked dead,' and 'maybe you didn’t break it all the way,' indicating his doubt about whether the person was truly dead when placed in the bin.",causal/relational queries
33,19、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS | 25、INT. KITCHEN OVEN | 35、INT. PAUL'S KITCHEN - NIGHT,What does Paul state about Raymond's presence?,Paul states that Raymond probably won’t be around much longer.,"Paul tells her not to worry, that Raymond probably won’t be around much longer.",character states
34,47、EXT. BOTTOM OF THE RIDGE - SUNSET | 41、EXT. TOP/BOTTOM OF A RIDGE - LATER,What does Paul do immediately after spreading lard on the corpse's face?,Paul pats the corpse on the shoulder and then looks up toward the ridge.,"He opens a container of lard and spreads it over the dead man's face. After a pause, Paul pats the shoulder and looks up toward the ridge and the long journey ahead.",temporal references
35,19、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS | 18、INT. INSIDE A FRIDGE - LATER | 19、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS,What does Paul state about the body when the dog approaches it?,Paul states that the body is not for dogs.,"Paul reacts immediately, shouting 'Jodie, no! Not for dogs!' as he waves her away.",character states
36,16、EXT. INSIDE THE DUMPSTER | 46、EXT. BOTTOM OF THE RIDGE - SUNSET,What does Paul state about what someone should do upon finding the corpse?,Paul states that someone should take a look at the scene.,"In an exaggerated British accent, he says, 'You may want to take a gander. You may want to take a gander...'",character states
37,25、INT. KITCHEN OVEN | 35、INT. PAUL'S KITCHEN - NIGHT | 37、INT. PAUL'S KITCHEN,What does Paul state about Raymond's current situation?,Paul states that Raymond is indisposed and will be staying at the cabin for a while until he leaves.,"Paul explains that Raymond is indisposed and won’t be available, but assures the caller they’ll see him again. He adds that Raymond will be staying at the cabin for a while, until he leaves.",character states
38,19、INT. ATTACHED SUBURBAN GARAGE - CONTINUOUS | 25、INT. KITCHEN OVEN | 35、INT. PAUL'S KITCHEN - NIGHT | 37、INT. PAUL'S KITCHEN,What does Paul state about Raymond's availability?,Paul states that Raymond is indisposed and won't be available for a while.,"When asked about Raymond’s whereabouts, Paul explains that Raymond is indisposed and won’t be available, but assures the caller they’ll see him again.",character states
