id,scene,question,answer,evidence,qa_type
1,14A INT. MAVERICK'S F-14,"What is Maverick's emotional or behavioral state when he says 'Gotcha covered, don't nobody move'?","Confident and in control, asserting dominance over the situation.","Maverick says 'Gotcha covered, don't nobody move' to himself, indicating a sense of control.",character states
2,14 EXT. COUGAR'S F-14,What is the relationship between the steady BLIPBLIPBLIPBLIP tone and the characters' actions?,"The steady tone signals missile lock, prompting alarm and evasive maneuvers.","The tone grows insistent and steady, leading Goose to declare missile lock and Cougar to attempt evasive swings.",causal/relational queries
3,28 EXT. FLIGHT DECK,"In [28 EXT. FLIGHT DECK], What does the LSO urgently command when wind shear causes the plane to drop suddenly?",Add power and wave off the landing.,"LSO
POWER...POWER!..POWER!...WAVE OFF! WAVE OFF WAVE OFF!",dialogue/beliefs
4,48A EXT. CAR - NIGHT,What causes Maverick to say he's in love?,His romantic feelings for Charlie lead him to declare he's in love.,MAVERICK: I think I'm in love.,causal/relational queries
5,"42 AERIAL COMBAT - VIETNAM ERA - F4'S, MIG 17'S - STOCK","In [42 AERIAL COMBAT - VIETNAM ERA - F4'S, MIG 17'S - STOCK], What caused the Navy kill ratio to fall in Vietnam, according to Viper?",Pilots depended on missiles and lost their dogfighting skills.,"In Vietnam, this ratio fell to three-to-one. Our pilots depended on missles. They lost their dogfighting skills.",causal/relational queries
6,43 INT. DAY - TOP GUN ORIENTATION ROOM.,What does Viper say is the dangerous thing in air combat preparedness?,The dangerous thing is being unprepared and not knowing what you can do.,"My answer is: the dangerous thing is being unprepared. You want trouble, that's what you get when things don't work out, when you can't do what you say you can. When you don't know what you can do.",dialogue/beliefs
7,47 WOMEN'S ROOM.,"Why does Charlie say she doesn't go out with pilots, and what is the effect of her saying it?","She says it to reject Maverick; he is left holding her lipstick, awkwardly trying to engage the next girls.",Charlie says she doesn't go out with pilots after their flirtatious exchange. Maverick is left holding her lipstick and then awkwardly addresses the new girls.,dialogue/beliefs
8,52A EXT. MIRAMAR - LANDING PATTERN.,"In [52A EXT. MIRAMAR - LANDING PATTERN.], Why does Goose refer to the maneuver as 'self immolation' instead of a 'victory roll'?",He feels the maneuver is dangerously reckless rather than celebratory.,"Goose says, 'I wouldn't call it victory. It's more like...self immolation,' after Maverick calls it a victory roll.",dialogue/beliefs
9,81 INT. DIRTY DAN'S - A BAR -,What does Viper mean by 'cardinal sin' in the context of the training exercise?,Losing or abandoning one's wingman during combat.,You lost your wingman. That's a cardinal sin...don't ever do it again.,dialogue/beliefs
10,51 INT. HANGAR,What is the significance of the term 'Negative G push over' in relation to the MiG 21?,It is a maneuver the MiG 21 cannot perform due to risk of flame out from inverted flight tanks.,"Charlie states, 'A MiG 21 has a problem with the inverted flight tanks. It won't do a Negative G push over. Even below one G, they risk a flame out.'",terminology/abbreviation/concept
11,53D ANGLE ENLISTED (MEN),Why does Viper ask Jester if he would want Maverick in combat despite Maverick breaking the rules?,Viper wants to know if Maverick's skills outweigh his disregard for rules in a real combat situation.,"Viper asks Jester, 'If you had to go into combat, would you want him with you?' after criticizing Maverick for breaking rules.",causal/relational queries
12,59D THE BEACH,"In [59D THE BEACH], What does Maverick believe about killing and doing one's own dirty work?",It's more honest to do your own killing rather than rely on others.,"Maverick says, 'Somebody does. It's more honest this way. You do your own dirty work.'",dialogue/beliefs
13,59D THE BEACH,"In [59D THE BEACH], What does Maverick say he fears more than death?",He fears living too long and deteriorating with age.,"Maverick says, 'You know what really scares me? Living too long. Losing my hair and my teeth...and my guts and my wind. And my brains...'",dialogue/beliefs
14,85E TWILIGHT,"In [85E TWILIGHT], What is Maverick's emotional state after pulling Goose's body into the raft?",He is emotionally overwhelmed and his mind shuts down.,He holds Goose in his arms. His mind shuts down again.,character states
15,85E TWILIGHT,"In [85E TWILIGHT], What is Goose's physical condition when Maverick retrieves him from the water?",Goose is dead.,Goose is dead. Maverick releases the parachute and pulls Goose into the raft on top of him.,character states
16,89B CLOSE UP - MAVERICK.,What is the emotional or psychological state of Maverick at the beginning of the scene?,"He has a thousand-yard stare, indicating detachment or trauma.",He sits staring right through us...the thousand-yard stare.,character states
17,105 INT. TERMINAL,How does Charlie describe her own emotional need in the conversation with Maverick?,She wants to be with the right man and finds happiness in that connection.,Sometimes...I just get happy being with the right man.,dialogue/beliefs
18,106 EXT. BEACH AT VIPER'S HOUSE - LATER,What is Maverick's emotional state when Viper suggests he could quit flying?,"Maverick becomes irritated and defensive, then struggles with guilt and responsibility.",Maverick looks irritated...starts to get his back up...I feel so... responsible.,character states
19,106 EXT. BEACH AT VIPER'S HOUSE - LATER,How does Viper describe his own emotional stance toward Maverick's situation?,Viper feels responsible too and carries guilt for not removing Maverick from the cockpit.,I'll carry it too. I should have taken you out of that cockpit.,dialogue/beliefs
20,103 INT. LOCKER ROOM - IMMEDIATELY AFTER,What is Maverick's emotional state when he is packing his belongings?,"He is resigned and detached, indicating a sense of finality.","Maverick grabs his stuff out of the locker, throws them in a bag. He glances up as Fungus enters, continues to pack.",character states
21,14 EXT. COUGAR'S F-14,"In [14 EXT. COUGAR'S F-14], Why does Goose warn of missile lock despite Cougar's belief that the MiG 21 lacks radar missiles?",The persistent BLIPBLIPBLIPBLIP tone indicates an active missile lock despite the aircraft type.,"Goose hears the BLIPBLIPBLIPBLIP tone growing steady and identifies it as missile lock, contradicting Cougar's claim about MiG 21 capabilities.",causal/relational queries
22,38 EXT - CARRIER - NIGHT AND STORM,Why does the man punch the night as he stands on the bow of the ship?,He is maddened by the storm and the overwhelming force of the waves.,It is maddened. He raises his fist and punches the night.,causal/relational queries
23,56C COCKPIT,What is the relationship between Maverick's flight maneuver and the technical failure in the aircraft?,"The extreme maneuver caused a technical failure, triggering alarms and lights.","After Maverick performs an extremely fast turn, there is a WHUMMP, then ALARMS and lights activate. Goose says, 'You broke it!'",causal/relational queries
24,27 DARK TURBULENT CLOUDS,Where is Maverick flying in relation to Cougar's aircraft during the inverted flight?,"Wing tip to wing tip, inches apart.","Maverick pulls up wing tip to wing tip, inches apart.",scene localization
25,3 FLIGHT DECK - THE LANDING SIGNAL OFFICER - (LSO),What is the emotional state of the LSO during the landing operation?,Calm and professional despite extreme conditions.,"His calm, professional commands belie the extreme conditions.",character states
26,13 EXT. - MAVERICK'S F-14,Where is the second MiG in relation to Cougar when Maverick sees it?,Dropping from above onto Cougar's tail,Maverick sees a SECOND MiG drop from above onto Cougar's tail.,scene localization
27,15 EXT. COUGAR - IN THE CLOUDS,How does Cougar respond when he hears the tone and what action does he take?,He rolls over into wild evasive maneuvers and breaks the lock.,"He rolls over into wild evasive maneuvers, finally breaks lock.",detailed description
28,18 INT. COCKPIT 117 - COUGAR,What is Cougar's emotional state during the conversation about landing?,Frustrated and stressed about landing on an invisible target.,"COUGAR says, 'This is crazy. How the hell we supposed to land on something we can't even see!'",character states
29,24 INT. COCKPIT - MAVERICK,What is Goose's emotional state when he responds to Cougar?,Anxious and resigned,"GOOSE (V.O. filtered) WELL, WE CAN'T STAY UP HERE EITHER.",character states
30,28C FLIGHT DECK,"In [28C FLIGHT DECK], What item does Goose retrieve from the cockpit after Cougar is helped out?",Cougar's snapshot of his wife and kid.,"He pulls away, reaches back into the cockpit and grabs Cougar's snapshot of wife and kid.",objects/props
31,26 MAVERICK'S COCKPIT  - (AERIAL),How does Wizard describe the position and weight status of the other pilot during the rescue attempt?,The pilot is at nine o'clock high and they are two thousand pounds low.,He's nine o'clock high. We're two thousand pounds low!,detailed description
32,28B BRIDGE FLIGHT DECK,What emotional state does the character enter after a moment of disbelief?,"Hysterical, tension relieving laughter.","A moment of disbelief... Then hysterical, tension relieving laughter.",character states
33,9 INT. GHOST RIDER 117 - COUGAR'S POV,What does Goose communicate to Mustang over the radio?,"Closing fast. Ghost Rider One One Seven, contact one bogey, 090 at 15 miles, 900 knots of closure.","GOOSE
Closing fast. MUSTANG, THIS IS 
GHOST RIDER ONE ONE SEVEN. CONTACT 
ONE BOGEY, 090 AT 15 MILES, 900 
KNOTS OF CLOSURE.",dialogue/beliefs
34,28A THE PLANE,Why does the silver suit react with surprise after Goose speaks?,"Goose responds with humor after appearing unresponsive, indicating he is alive and conscious.","Nothing for a moment. He's dead! Then the RIO'S helmet moves...His head turns. He tears the mask away from his face...Oh, Hello... Valet parking?",causal/relational queries
35,28A THE PLANE,What causes Goose to grab the crewman and ask him to check under the hood?,Goose is disoriented from the crash and mistakenly treats the situation as a car maintenance issue.,Goose grabs a passing crewman by the arm. Can you check under the hood. I thought I heard a funny noise.,causal/relational queries
36,"31 INT. CARRIER HATCHWAY - FLIGHT SURGEON, OTHERS",What does Goose say to Maverick and Wizard after they flame out?,He thanks them for flying VF101 and sarcastically hopes they'll think of Naval Aviation next time.,"GOOSE: On behalf of your Captain and your crew, I want to thank you for flying VF101. And next time your plans include the middle of the goddamn ocean in the dead of frigging night, I hope you'll think of Naval Aviation.",dialogue/beliefs
37,48A EXT. CAR - NIGHT,Why does Charlie nearly drive off the road?,She is startled when Maverick suddenly appears in the back seat.,"Startled, she nearly drives off the road. She turns to him, startled.",causal/relational queries
38,46 INT. HALLWAY - OUTSIDE THE BAR,Why does he go through the door?,He goes through the door impulsively before realizing what he is doing.,"Impulsively, before he realizes what he is doing, he's through it.",causal/relational queries
39,"42 AERIAL COMBAT - VIETNAM ERA - F4'S, MIG 17'S - STOCK","Why was Top Gun created, according to Viper?",To teach Air Combat Maneuvering and restore dogfighting skills.,Top Gun was created to teach ACM. Air Combat Maneuvering...Dogfighting.,causal/relational queries
40,45 INT. WOXOF BAR,What does Goose say about why he removes his wedding ring?,He takes it off when he's chasing women; it's the only honorable thing to do.,GOOSE: I take it off when I'm chasing women. It's the only honorable thing to do.,dialogue/beliefs
41,45 INT. WOXOF BAR,"In [45 INT. WOXOF BAR], What does Hollywood claim pilots think about regarding danger and life?",They feel life more intensely and want to grab onto every moment.,"HOLLYWOOD: It makes everything down here more meaningful. You feel a certain intensity of life, and you want to grab onto every moment.",dialogue/beliefs
42,43 INT. DAY - TOP GUN ORIENTATION ROOM.,What does Maverick believe about his chances of being the best in the class?,He believes his name will be on the Top Gun plaque.,Maverick... wondering... who is the best. ...Yes sir.,dialogue/beliefs
43,51A CORRIDOR - OUTSIDE LECTURE HALL,What is Charlie's emotional state when she studies Maverick after he confronts her?,"She is cool and detached, treating him like a specimen.","She studies him coolly for a moment, like a specimen.",character states
44,51A CORRIDOR - OUTSIDE LECTURE HALL,How does Maverick feel after defeating Jester in the dogfight?,He feels triumphant and exhilarated by the victory.,The thrill of victory gets the best of them. Goose lets out a war whoop. ... We did it!,character states
45,59C SHORELINE,Why does Charlie pull off her mask and snorkel?,She is repulsed by the wriggling fish Maverick holds.,"Charlie is repulsed. She pulls off her mask and snorkle, follows him in to shore.",causal/relational queries
46,52E ANGLE GOOSE,What is Goose's emotional state during the interaction with Maverick?,"Nervous and anxious, as he expresses concern about authority figures and consequences.",Goose reacts with surprise to seeing officers and worries about losing the plane.,character states
47,52E ANGLE GOOSE,How does Maverick's behavior contrast with Goose's during the victory roll?,"Maverick is relaxed and celebratory, urging Goose to enjoy the moment.",Maverick tells Goose to relax and celebrates beating an instructor.,detailed description
48,47 WOMEN'S ROOM.,What causes Maverick to approach Charlie confidently despite the awkward situation?,"He decides to act boldly because he is a fighter pilot, embracing the role's confidence.","He reminds himself he is a fighter pilot and walks over to her, despite not knowing what to say.",causal/relational queries
49,52A EXT. MIRAMAR - LANDING PATTERN.,"In [52A EXT. MIRAMAR - LANDING PATTERN.], What causes the world to appear sideways to Goose during the flight?","Maverick performs an aileron roll, tilting the aircraft sharply.","Maverick's Tomcat breaks hard and high, rolls over on its side, wings perpendicular to the ground, making Goose see the world go sideways.",causal/relational queries
50,49 EXT. GUARD GATE,Why does the Marine snap to attention when Maverick gets out of the car?,Because Maverick's appearance commands military protocol and respect.,"He stands in the glare of the spotlight...rocking on his heels, looking across at the guard, who snaps to attention and stares holes in his chest.",causal/relational queries
51,28C FLIGHT DECK | 35 PASSAGEWAY | 36 STINGER'S OFFICE - DOORWAY,Why was Maverick selected to replace the original pilot for the Top Gun assignment?,"Maverick was selected because the original pilot stepped down due to personal family reasons, and Stinger saw the assignment as an opportunity for Maverick to learn discipline despite his exceptional flying skills and tendency to disregard orders.","Stinger explains that Maverick will take the place of the original pilot who stepped down due to personal reasons involving his family, and states that sending Maverick to Top Gun is an opportunity for him to face pilots who may surpass him and learn the value of discipline.",causal/relational queries
