id,scene,question,answer,evidence,qa_type
1,64、EXT. DEPOT - NIGHT,Describe the appearance of the female walker in the smoke.,"Wearing a soiled, tattered bridal gown that glows in the smoke","A FEMALE WALKER, wearing the soiled and tattered remnants of a bridal gown. The fabric seems to glow in the smoke.",detailed description
2,65、INT. FIDDLER'S GREEN BOARDROOM - NIGHT,What specific physical behavior does Kaufman exhibit when speaking to Cliff in the alcove?,"Kaufman leans close to Cliff, smiling with eyes blinking too rapidly.","ON THE OTHER SIDE OF THE DOORS: Kaufman leans close to Cliff, smiling, his eyes blinking a bit too rapidly.",detailed description
3,13、INT. DEAD RECKONING - NIGHT,What additional emotional state does Riley recognize?,the Thing's anguish,He also recognizes the Thing's anguish as...,detailed description
4,25、EXT. MAIN STREET - UNIONTOWN - NIGHT,"In [25、EXT. MAIN STREET - UNIONTOWN - NIGHT], What emotional states does Big Daddy experience after killing the father?",Sympathy followed by rage.,"The sympathy is joined by rage. Big Daddy lifts his right foot and brings it STOMPING DOWN on the disembodied head, CRUSHING ITS SKULL.",character states
5,27、INT. SUBWAY TUNNEL - DAWN,"In [27、INT. SUBWAY TUNNEL - DAWN], What is Riley's emotional state according to the dialogue?",Riley is blaming himself.,RILEY (Blaming himself) Only if you let it.,character states
6,11、EXT. DEAD RECKONING - NIGHT,Why does Riley love Charlie?,Because Charlie still believes in heaven.,"RILEY: I love ya, Charlie. Know why? Cuzz you still believe in heaven.",causal/relational queries
7,25、EXT. MAIN STREET - UNIONTOWN - NIGHT,"In [25、EXT. MAIN STREET - UNIONTOWN - NIGHT], What is Big Daddy's physical condition after the confrontation?",Unhurt but spattered with greenish-black blood.,"Big Daddy is unhurt, but spattered with BLOOD. Not red, greenish-black. The blood of the dead.",character states
8,68、EXT. ALLEY - NIGHT,What is visible through the splintered wall?,Big Daddy's eyes staring through,Big Daddy's Eyes staring through at...,detailed description
9,67、INT. DEAD RECKONING - NIGHT,What action does Cholo perform after sliding open the small window?,Grabs his crossbow and shoots the Gardener in the head.,"Cholo slides open a small window, grabs his crossbow, and SHOOTS the Gardener in the head.",detailed description
10,"30、EXT. THE CITY - ""THE THROAT"" - DAWN","In [30、EXT. THE CITY - ""THE THROAT"" - DAWN], What is suspended on the barbs of the electrified fencing?",Corpses,"CORPSES hang all along the stretch, suspended on the barbs.",objects/props
11,54、INT. KAUFMAN PENTHOUSE - FIDDLER'S GREEN - NIGHT,What does Cholo instruct Kaufman to do regarding the money?,"Put the money on a boat and send it across the river to the South Side. Tenth Street Pier. One man to drive the boat, no more. You've got till midnight.","CHOLO (O.S.) Put the money on a boat and send it across the river to the South Side. Tenth Street Pier. One man to drive the boat, no more. You've got till midnight.",dialogue/beliefs
12,60、INT. FIDDLER'S GREEN WEAPONS STORAGE - NIGHT,What does Slack believe about joining the mission?,I'd feel like a dick if I didn't.,"SLACK
I'd feel like a dick if I didn't.",dialogue/beliefs
13,36、INT. PENTHOUSE NUMBER-TWO - FIDDLER'S GREEN - DAY,"In [36、INT. PENTHOUSE NUMBER-TWO - FIDDLER'S GREEN - DAY], What object is suspended from the light fixture in the kitchen?",A homemade noose,a homemade noose suspended from a light fixture in the kitchen,objects/props
14,45、EXT. DEPOT - NIGHT,"In [45、EXT. DEPOT - NIGHT], Where are Gus and Barrett located when they shoot Tony Baloney?",Outside the Sales Office of the car-lot-turned-depot,"GUS, a young soldier, and his partner BARRETT, are shooting outside the SALES OFFICE of the car-lot-turned-depot.",scene localization
15,"30、EXT. THE CITY - ""THE THROAT"" - DAWN","In [30、EXT. THE CITY - ""THE THROAT"" - DAWN], What object is welded to the sparking barbs after being decimated?",The Thing's body,"Its body hangs, welded to the SPARKING barbs.",objects/props
16,9、EXT. HILLTOP ABOVE UNIONTOWN - NIGHT,What happens when Riley fires his .45 at the clown zombie?,"Three bullets hit the chest, neck, cheek; the fourth punches a hole above the left eyebrow, causing the clown to drop.","THREE BULLETS RIP into the Clown's CHEST, NECK, CHEEK. Finally, the FOURTH PUNCHES A HOLE above the thing's left eyebrow. The Clown DROPS.",detailed description
17,68、EXT. ALLEY - NIGHT,What action does the Butcher perform on the wall?,"Chops into wood with a meat cleaver, causing splinters","HACK! The meat cleaver chops into wood, splintering it.",detailed description
18,5、EXT. DUMP - NIGHT,When does the skeleton start moving?,After the crates are pushed into the pit,"Three heavily-armed guerrillas push a large crate over a precipice into a garbage pit. Five similar crates lie amid the rubble. ... Except for one, which... suddenly, startlingly MOVES!",temporal references
19,24、INT. UNIONTOWN STATE STORE - NIGHT,"In [24、INT. UNIONTOWN STATE STORE - NIGHT], What is Mike's emotional state when he hears sounds in the silence?",On edge,Every subtle SOUND in the SILENCE puts MIKE more on edge.,character states
