scene,question,answer,evidence,qa_type
1、INT. MOVIE THEATRE - CONTINUOUS,What specific actions are the dogs performing during the mechanized bath time?,"One dog suffers through a mechanized bath, while another wears an electrode helmet and runs on a treadmill.","One dog runs suffers through mechanized bath time, while a second wears an electrode helmet and runs on a treadmill.",detailed description
58、EXT. CARL'S HOUSE - MORNING,"In [58、EXT. CARL'S HOUSE - MORNING], What does Carl say as the house begins to lift off?",So long boys! I'll send you a postcard from Paradise Falls!,"CARL
So long boys! I'll send you a postcard from Paradise Falls!",dialogue/beliefs
"48、EXT. CARL'S HOUSE, PORCH - DAY",What action does Carl take after Russell's final offer?,Carl closes the door in Russell's face,Carl closes the door in Russell's face,detailed description
"46、EXT. CARL'S HOUSE, PORCH - MORNING",What does Carl tell the construction foreman about his boss?,Tell your boss over there that you boys are ruining our house.,"CARL
No. Yes. Tell your boss over there
that you boys are ruining our house.",dialogue/beliefs
"49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS","In [49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS], What does Russell commit to doing for Carl?",Russell commits to finding the snipe to help Carl.,"Russell: 'I'll find it, Mr. Fredricksen!'",dialogue/beliefs
35、INT. HOSPITAL ROOM - DAY,What causes Ellie to push her Adventure Book toward Carl?,Carl's arrival at her bedside,Carl stands at the door. He smiles and walks to her bedside. Ellie pushes her Adventure Book toward him.,causal/relational queries
"20、INT. CARL AND ELLIE'S HOUSE, BABY ROOM - DAY",What is Ellie doing?,Painting a wall mural of a stork carrying a bundle in its beak,Ellie finishes painting a wall mural of a stork carrying a bundle in its beak,detailed description
34、EXT. RURAL HILLSIDE - AFTERNOON,Why does Carl run to Ellie?,Because she fell and was unable to get up,He runs to her. She tries to get up but falls again.,causal/relational queries
21、INT. DOCTOR'S OFFICE - AFTERNOON,"In [21、INT. DOCTOR'S OFFICE - AFTERNOON], What is Ellie's behavioral state?",She drops her head in her hands.,Ellie drops her head in her hands.,character states
"49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS","In [49、INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS], What does Russell believe is required to become a Senior Wilderness Explorer?",Russell believes earning the Assisting the Elderly badge is required.,Russell: 'If I get it I will become a Senior Wilderness Explorer!',dialogue/beliefs
1、INT. MOVIE THEATRE - CONTINUOUS,How does Young Carl react when the giant bird skeleton is revealed?,Young Carl leans forward with eyes bulging.,"Young Carl leans forward, eyes bulging.",detailed description
14、EXT. CARL AND ELLIE'S HOUSE - DAY,When does Ellie finish painting the mailbox?,Before Carl admires her work.,Ellie finishes painting 'Carl & Ellie' on their MAILBOX. Carl leans in to admire her work...,temporal references
14、EXT. CARL AND ELLIE'S HOUSE - DAY,When does Ellie add her handprint?,After Carl leaves a messy paint handprint.,Carl leans in to admire her work but leaves a messy paint handprint on the mailbox! Oh well; Ellie adds her handprint as well.,temporal references
53、EXT. CARL'S HOUSE - LATE EVENING,What does Officer Edith give Carl and why?,A pamphlet for Shady Oaks Retirement Village because the guys will pick him up.,She hands him a pamphlet for SHADY OAKS RETIREMENT VILLAGE. The guys from Shady Oaks will be by to pick you up.,dialogue/beliefs
19、EXT. RURAL HILLSIDE - DAY,"In [19、EXT. RURAL HILLSIDE - DAY], What is Carl's reaction when he points out the baby?",Stunned but smiles,Carl is stunned... but smiles.,character states
58、EXT. CARL'S HOUSE - MORNING,What does Nurse A.J. say about Carl's behavior?,He's probably going to the bathroom for the eightieth time.,"NURSE A.J.
Typical. He's probably going to the bathroom for the eightieth time.",dialogue/beliefs
"25、INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON","In [25、INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON], What is Carl's physical condition after the accident?",He has a broken leg.,Carl in the hospital with a broken leg.,character states
"44、EXT. CARL'S HOUSE, PORCH - CONTINUOUS",What causes the door to bang?,The safety chain was engaged.,"The door opens, but bangs against the safety chain.",causal/relational queries
39、INT. CARL'S STAIRCASE - LATER,Why does the chair restart after stopping?,Carl bangs the armrest,He bangs the armrest and the chair restarts.,causal/relational queries
19、EXT. RURAL HILLSIDE - DAY,"In [19、EXT. RURAL HILLSIDE - DAY], What is Ellie's emotional state when she sees the clouds?",Excited,"Ellie lights up, excited.",character states
