scene,question,answer,evidence,qa_type
3场，小上海内外，黄昏,山本先生反复说了什么？,带不回去的，带不回去的……,"山本先生一直说：""带不回去的，带不回去的……""",dialogue/beliefs
14场，小上海酒家内外，日,"在[14场，小上海酒家内外，日]中, 二嫂的情绪状态如何？",伏泣不止，情绪悲伤,二嫂伏泣不止，三嫂也陪着,character states
2场，小上海内，同前场,"在[2场，小上海内，同前场]中, 母亲当时的情绪状态如何？",发呆并暗自流泪,母亲正坐在灶前发呆，暗暗抹泪,character states
58场，妾宅，晨,大哥落地时的状态如何？,一阵痛苦，几乎站不起来,赤膊赤脚的大哥落地时，一阵痛苦，几乎站不起来,detailed description
19场，火车内外，日,"在[19场，火车内外，日]中, 三嫂在火车上有什么行为？",不自觉地抚摸她的结婚戒指,三嫂坐他隔壁，也有自己的心事吧，不自觉地抚摸她的结婚戒指,character states
14场，小上海酒家内外，日,"在[14场，小上海酒家内外，日]中, 兵士的健康状况如何？",患有疟疾，身体虚弱,我麻老利亚（疟症）当厉害,character states
17场，山坡，黄昏,"在[17场，山坡，黄昏]中, 老人在听到静子呼唤时的反应如何？",颤抖的背影，茫然转身,老人的背影……我们看到他颤抖的背影。老人茫然地缓缓转过来,character states
72场，山坡，日,宽美为何给焕清一本书？,因担心他病中无聊,怕你病中无聊，给你带来一本书,causal/relational queries
48场，港边，接前场,大哥如何处理油纸包中的物品？,举刀划开油纸包后尝了尝并吐掉,举刀划开油纸包，用手沾了点，摸摸，放进嘴里尝了一下，用力吐掉,detailed description
20场，高雄某学校，接前场,"在[20场，高雄某学校，接前场]中, 三嫂的情绪状态如何？",情绪激动，试图压抑哭泣,三嫂用手帕蒙住差点爆出的哭泣,character states
7场，妾宅，晨,妾兄建议如何处理三船ALUMI和橡胶？,趁现在乱糟糟卖到香港，否则会被国府接收。,妾兄积极地怂恿焕雄，叫焕雄出面说动看守的日本海军，「三船ALUMI（铝块）和橡胶驶去香港卖，你看能卖多少对？对呒？趁现在乱糟糟……不卖……到最后还不是留给国府接收？」,dialogue/beliefs
15场，小广场，同前场,"在[15场，小广场，同前场]中, 阿坤在枪声后做了什么？",机警地护住妹妹,阿坤机警地护住妹妹,character states
60场，台北某官员日式住宅，日,柯桑的弟弟为何被检举？,因他在上海替日本人做地下工作并与黑社会交凑,检举的内容真实在，尤其是你小弟在上海怎样替日本人做地下工作人员，怎样跟上海黑社会交凑，拢有证有据,causal/relational queries
17场，山坡，黄昏,"在[17场，山坡，黄昏]中, 宽荣如何接近老人？",缓缓移动并飞身抱住他,宽荣缓缓朝老人那儿移动。宽荣趁机飞身过去，抱住他，滚在地上,character states
18场，静子宅，夜,"在[18场，静子宅，夜]中, 静子在谈话中表现出什么情绪？",悲伤和无奈,静子（看着父亲的脸，轻轻地抚着父亲的手）：多桑一定最误会着我吧……（幽幽地说着）前几天，收音机说日侨即将分批遣反……（硬咽着转过身，朝焕清和宽荣这边绽开勉强的笑）,character states
9场，海滨火车站，同前场,焕清递纸条时有何异常动作？,他含着笔套匆忙写纸条,焕清远远跑过来，慌慌地掏笔，把套子含在嘴里，又掏纸写了纸条递给宽美,detailed description
13场，基隆码头，日,为何人群对惊喜的呼喊没有反应？,因为人们处于呆滞状态，如林家一家人。,其他人却一点都没惊动，兀自呆滞地看着，林家一家人正是如此。,causal/relational queries
65场，小上海酒家外，日,舞狮的男子如何应对鞭炮？,迎向它，毫无惧色。,舞狮的男子及狮头迎向它，毫无惧色。,detailed description
51场，妓院外街道，晨同前场,大哥对妾兄做了什么？,脱下衣服扔给他并指向三哥,大哥脱下衣服，扔给妾兄，指地上的三哥,detailed description
68场，火车内外，日,宽荣为什么阻止焕清拍照？,有人跳车窜逃，可能有危险。,焕清举起相机欲拍，宽荣阻止他，做个手势，说他下去看看。,causal/relational queries
20场，高雄某学校，接前场,"在[20场，高雄某学校，接前场]中, 被绑伤兵的身体状态如何？",又黄又瘦，睡得很沉，脸上冒汗,墙角独立的一个床上，绑着一个一脸乱须的人，他既黄又瘦，睡得很沉，脸上冒着豆大的汗珠,character states
