id,scene,question,answer,evidence,qa_type
1,24、EXT. STREET - ARMORED CAR,"In [24、EXT. STREET - ARMORED CAR], What is Guard Two's behavioral state according to the passage?",Arrogant and concerned with masculine pride.,Guard Two turns and looks at him arrogantly - more concerned with his masculine pride than his safety. He's a stupid man.,character states
2,3、EXT. R & C CONSTRUCTION SUPPLIES - ON CHRIS - DAY,Why is Chris on the streets in 1988?,He was released from San Quentin Penitentiary.,Chris and McCauley were cellmates in San Quentin Penitentiary from 1984 to . Chris hit the streets in 1988.,causal/relational queries
3,67、INT. ROOM 18 - WIDE - DAY,How does Neil physically confront Charlene in the corner?,Neil grabs the lower part of her face in one hand with his face inches from hers.,Neil grabs the whole lower part of her face in one hand. His face is inches from hers.,detailed description
4,"55、INT. ROBERT'S COFFEE SHOP, KITCHEN - BREEDAN - DAY",What does Solenko demand from Breedan?,25% of his salary under the table and mentions Grierson.,SOLENKO (shouts) You kick back 25% of your salary to me under the table. Grierson your parole officer?,dialogue/beliefs
5,66、EXT. ROOM 18 - WIDE,What does Charlene do when she opens the door?,"Closes her eyes, resigned to doom.","She closes her eyes, resigned to doom.",detailed description
6,56、INT. XYZ DISCOUNT APPLIANCES BACK OFFICE - JOE CUZOMANO -,What does Cuzomano say about the person who brought him Armani suits?,He didn't know they were knockoffs and calls him a schmuck.,CUZOMANO: One brings me a container of Armani suits? He didn't know they were knockoffs. Schmuck stole knockoffs.,dialogue/beliefs
7,"51、EXT. TRAILER COURT, PAY PHONE - NATE - DAY",What does Nate say about the merch being unknown?,Nobody knew the merch was yours or they would have respected it.,Nobody knew the merch was yours or they would have respected it.,dialogue/beliefs
8,49、INT. ALBERT TORENA'S APARTMENT - ALBERT TORENA - DAY,What does Albert claim about his activities last night?,He claims he was hitting up Los vatos and generating leads as a dancer.,"ALBERT I was all night hitting up Los vatos like one of those flamenco matador guys. Cuttin' in real smooth. Generating leads and shit. I'm a dancer, man!",dialogue/beliefs
9,43、INT. HANNA'S CAR TRAVELLING - HANNA - NIGHT,Why did Schwartz check the surveillance tapes?,To find information about the stolen ambulance.,Schwartz went through the indexes on recent surveillance tapes? No armored cars. No witnesses on who stole the ambulance.,causal/relational queries
10,22、EXT. STREET - VEIL,"In [22、EXT. STREET - VEIL], What action does Chris perform after cutting the 10"" circle?",Heaves the drill aside and swings up his shotgun.,"Chris heaves the drill aside, steps away, swings up his shotgun as...",character states
11,"52、INT. MALIBU SECURITIES, VAN ZANT OFFICE - VAN ZANT - DAY",What does Van Zant say about involving extra people?,He doesn't want to involve extra people.,VAN ZANT (into phone) I don't want to involve extra people.,dialogue/beliefs
12,67、INT. ROOM 18 - WIDE - DAY,What does Neil do to the waste can after Charlene falls over it?,"Neil kicks the waste can out of the way, causing it to clatter across the room.",Neil kicks the waste can out of the way. It clatters across the room.,detailed description
13,"25、INT. AMBULANCE - ON CERRITO - DAY driving, lays rubber","In [25、INT. AMBULANCE - ON CERRITO - DAY driving, lays rubber], What is Neil's emotional state?",Disgusted,NEIL (disgusted),character states
14,19、INT. ARMORED CAR - DRIVER - DAY,"In [19、INT. ARMORED CAR - DRIVER - DAY], What emotional state is described for the characters?",Stunned and pinned inside,"Stunned, pinned inside",character states
15,22、EXT. STREET - VEIL,"In [22、EXT. STREET - VEIL], What action does Cerrito perform after the drill bit cuts through the truck?","Swings a sledgehammer at the 10"" disc.","Cerrito swings a sledgehammer at the 10"" disc.",character states
16,26、INT. WHITE CHEVY APACHE TOWTRUCK - ON TOWNER - DAY,"In [26、INT. WHITE CHEVY APACHE TOWTRUCK - ON TOWNER - DAY], What action does Towner take with the walkie-talkie?",Drops it out the window.,Towner drops the walkie-talkie out the window.,character states
17,13、INT. AMBULANCE - TWO SHOT - DAY,What does Neil tell Chris to do?,Turn it off.,NEIL Turn it off.,dialogue/beliefs
18,15、INT. AMBULANCE - ON NEIL - DAY,"In [15、INT. AMBULANCE - ON NEIL - DAY], What item does Neil put on his neck?",A stopwatch on a string,slings a stopwatch on a string around his neck,objects/props
19,14、INT. GARBAGE TRUCK - TWO SHOT - DAY,How does Waingro stub out his cigarette?,In nervous jabs,Waingro stubs out his cigarette in nervous jabs,detailed description
