id,scene,question,answer,evidence,qa_type
1,11、EXT. SUBWAY -- DAY,Who does Ellatrace mention as knowing about Bourne?,A journalist in London named Simon Ross.,There's a journalist in London. Simon Ross. He seems to know a lot about you.,dialogue/beliefs
2,17、INT. DAY. CRI DATA ROOM (was,"In [17、INT. DAY. CRI DATA ROOM (was], What does Vosen request regarding the asset?",Rendition protocols and the asset put on standby.,"VOSEN I want rendition protocols and I want the asset put on standby, just in case.",objects/props
3,8、INT. KRAMER'S OFFICE -- DAY,"In [8、INT. KRAMER'S OFFICE -- DAY], What photo does Kramer hold up?",The photo of Abbott dead,KRAMER holds up the photo of Abbot dead.,objects/props
4,10、INT. CONTINUOUS. MARTIN'S APARTMENT,Why did Martin's sister die?,She was shot by a man who came for Bourne.,BOURNE: She was shot. A man came for me.,causal/relational queries
5,35、INT/EXT. DAY. BLACK CAB -- YORK ROAD,What does ROSS do after paying the DRIVER?,"Exits, checks his watch, looks around, and isn't sure of his next move.","ROSS pays the DRIVER, exits. Checks his watch. Looks around. Isn't sure what his next move is--",detailed description
6,56、EXT. DAY. WATERLOO,What is Blackbriar?,"A name linked to Bourne's past, mentioned by Ross's source.",ROSS: 'my source said it started with you.',terminology/abbreviation/concept
7,62、INT. DAY. CRI HUB -- NEW YORK,"In [62、INT. DAY. CRI HUB -- NEW YORK], What is Vosen's emotional state?",Anxious and urgent,VOSEN pacing. VOSEN We're losing him! We cannot afford to lose him!,character states
8,65、INT. CAR TRAVELLING-- MEPHAM STREET -- DAY.,"In [65、INT. CAR TRAVELLING-- MEPHAM STREET -- DAY.], What is PAZ's current behavioral state?",Moving through corridors and studying a station plan on his way to the kill zone,PAZ through the archway. Grabbing a station plan. Studying it. Through a subterranean maze of corridors... On his way to the kill zone.,character states
9,51、INT. DAY. NEW YORK -- ENCRYPTED AREA -- CONTINUOUS,"In [51、INT. DAY. NEW YORK -- ENCRYPTED AREA -- CONTINUOUS], What is the emotional state of the young man under the hoody?",Terrified and bewildered,"The HOOD is pulled back. An innocent YOUNG MAN -- terrified, bewildered.",character states
10,47、INT. DAY. CRI HUB -- NEW YORK,"In [47、INT. DAY. CRI HUB -- NEW YORK], What is ROSS's behavioral state?",Trying to play it cool,Trying to play it cool -- ROSS in clear view of the cameras,character states
11,41、INT. CONTINUOUS. NEW YORK HUB,"In [41、INT. CONTINUOUS. NEW YORK HUB], What is Wills' emotional state during the interaction?",Wills is hesitant and reluctant.,"Sir, we haven't yet become operational --",character states
12,42、EXT. DAY. BMW -- LONDON STREET,"In [42、EXT. DAY. BMW -- LONDON STREET], What describes Paz's demeanor?",Cool and predatory,"PAZ, 20s, cool and predatory",character states
13,5、INT. NIGHT PHARMACY -- MOSCOW,Why did Bourne disable the first policeman?,Because the policeman approached him after he didn't respond to questions.,"When BOURNE doesn't respond to his questions, the POLICEMAN starts forward. BOURNE turns and in one motion grabs his gun from the sink and disables the POLICEMAN.",causal/relational queries
14,21、INT. DAY. EUROSTAR,What is Bourne carrying after emerging from the flashback?,the pain of her loss,BOURNE comes out of the flashback. He is still carrying the pain of her loss,detailed description
15,20、INT. DAY. EUROSTAR,When does the flashback occur?,After Bourne reads The Guardian,BOURNE reads The Guardian. He sees an article... There is a photo of Marie--FB2 FLASHBACK FB,temporal references
16,26、INT. DAY GUARDIAN -- NEWSROOM,What does Bourne's voice state about the location and time?,"Waterloo Station, south entrance, thirty minutes.","BOURNE (V.O.)
Waterloo Station, south entrance,
thirty minutes.",dialogue/beliefs
17,34、EXT. DAY. WATERLOO STATION -- LONDON,What action is Bourne performing in the scene?,Moving toward the rendezvous,BOURNE moving toward the rendezvous...,detailed description
18,40、INT. DAY. WATERLOO -- ENTRANCE,"In [40、INT. DAY. WATERLOO -- ENTRANCE], How does Ross feel when he answers the phone?",Puzzled.,ROSS hits 'answer.'... puzzled.,character states
19,48、EXT. ACROSS FROM YORK ROAD -- DAY,"In [48、EXT. ACROSS FROM YORK ROAD -- DAY], What is the behavioral state of the three men?",Racing across the road on foot and weaving through heavy traffic.,SURVEY TWO -- three men racing across the road on foot. Weaving through heavy traffic.,character states
20,56、EXT. DAY. WATERLOO,"In [56、EXT. DAY. WATERLOO], What is Treadstone?","An organization associated with Bourne's past, mentioned as a source of information.",ROSS: 'someone from Treadstone. Someone there at the beginning.',terminology/abbreviation/concept
21,47、INT. DAY. CRI HUB -- NEW YORK,"In [47、INT. DAY. CRI HUB -- NEW YORK], What is VOSEN's emotional state?",Annoyed,VOSEN. Annoyed now.,character states
22,10、INT. CONTINUOUS. MARTIN'S APARTMENT,What caused Bourne to kill the man?,"The man came for Bourne, leading to his death.",BOURNE: A man came for me. MARTIN: And then you killed him.,causal/relational queries
23,28、INT. DAY. GUARDIAN -- NEWSROOM,What actions does ROSS perform after hanging up the phone?,"Gathers his stuff, puts his notebook in his pocket, and leaves.",ROSS looks bewildered -- hangs up the phone -- gathers his stuff -- puts his notebook in his pocket and leaves.,detailed description
24,45、INT. CONTINUOUS. NEW YORK HUB,"In [45、INT. CONTINUOUS. NEW YORK HUB], What is Vosen's current behavioral state?",Vosen is thinking it over,VOSEN thinking it over as he watches the image of ROSS,character states
25,37、EXT. DAY. YORK ROAD -- LONDON,What do the two people from the van do?,Take up a position in an open stairwell three floors up.,two people from the van-- take up a position in an open stairwell three floors up,detailed description
26,20、INT. DAY. EUROSTAR,When does Bourne burn Marie's stuff?,After the flashback sequence,"Marie fades into the depths, dead. Bourne burns Marie's stuff",temporal references
27,29、INT. DAY. BUILDING -- ACROSS FROM GUARDIAN,What action did SURVEY ONE perform?,Panned down to the entrance of the GUARDIAN building,SURVEY ONE has panned down to the entrance of the GUARDIAN building,detailed description
