scene,question,answer,evidence,qa_type
56、INT. BAR -- DAY,Why does Damon believe staying free is harder than escaping?,Because avoiding detection and maintaining freedom requires constant vigilance.,Escaping is easy; the hardest part is staying free.,causal/relational queries
15、INT. BRENNAN HOUSE - FOYER,"In [15、INT. BRENNAN HOUSE - FOYER], What emotional state is Luke in?",He is scared after seeing the police.,LUKE sees the police rush past him and gets scared.,character states
32、INT. COUNTY JAIL - VISITING BOOTHS -- DAY,What does John try to communicate by nodding to Lara?,He wants her to pick up her phone.,John fights to keep his smile and nods for her to pick up her phone,dialogue/beliefs
28、EXT. BRENNAN HOUSE - GARAGE AND ALLEY -- MORNING,What does 'cap vs. bottle' refer to in the passage?,The distinction between recyclable bottles and non-recyclable caps.,They won't recycle these unless you take off the cap. (cap vs. bottle) This is trash. This is recyclable.,terminology/abbreviation/concept
32、INT. COUNTY JAIL - VISITING BOOTHS -- DAY,What does Lara's reaction indicate about her understanding?,She recognizes the verdict on John's face.,"Lara sees something in his face and doesn't pick up her phone, just stares at him",dialogue/beliefs
46、INT. UNIVERSITY HOSPITAL - SEVENTH FLOOR -- NIGHT,What caused Dr. Becsey to share a look with the nurse after John's statement?,John revealed his wife's suicide attempt.,JOHN: My wife attempted suicide.,causal/relational queries
46、INT. UNIVERSITY HOSPITAL - SEVENTH FLOOR -- NIGHT,Why is John determined to see his wife despite the nurse's refusal?,She attempted suicide.,JOHN: My wife attempted suicide.,causal/relational queries
33、EXT. GRACE AND GEORGE'S HOUSE -- DAY,"In [33、EXT. GRACE AND GEORGE'S HOUSE -- DAY], What is John's emotional state in the scene?",Trying to pull himself together,"John sits in his car, trying to pull himself together.",character states
24、INT. COUNTY JAIL - CONTACT VISITING ROOM -- DAY,What does Lara ask John about his letters?,Is Daddy reading you my letters?,"LARA
Is Daddy reading you my letters?",dialogue/beliefs
50、INT. LUKE'S ROOM -- NIGHT,Why is Luke staring at the jar?,He is lost in confused thoughts of his mother.,"Luke lie awake, staring at the jar, lost in confused thoughts of his mother.",causal/relational queries
56、INT. BAR -- DAY,What causes guards to make mistakes according to Damon?,Their complacency from performing the same routine daily.,"Guards get comfortable doing the same thing every day. Something happens where they have to think, adapt.",causal/relational queries
51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT,"In [51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT], What is John's emotional state after failing to find the tool?",Frustrated and feeling destroyed and needy,"the harder he searches the more he becomes frustrated, until he slams the drawer and leans on the counter, feeling destroyed and needy",character states
53、INT. COMMUNITY COLLEGE - JOHN'S CLASSROOM -- DAY,What causes the triumph of irrationality in the book according to John?,Rational thought destroying the soul,It is about how rational thought destroys the soul. It is about the triumph of irrationality,causal/relational queries
3、EXT. STEAK HOUSE PARKING LOT -- NIGHT,"In [3、EXT. STEAK HOUSE PARKING LOT -- NIGHT], What is Lara's emotional state when she and John step into the foreground?",Still fuming,Lara still fuming,character states
16、INT. BRENNAN HOUSE - DOWN THE HALL,What action does Lara take upon exiting the bathroom?,She sees the coat with a water spot and nods to a team member,"She sees the coat with the water spot; nods to a team member, who takes it and bags it under:",detailed description
51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT,"In [51、INT. BRENNAN HOUSE - KITCHEN -- NIGHT], What is John's behavioral state when he sees Lara's hand?",Afraid to move and look up,"John stares at the hand, afraid to move, afraid to look up",character states
37、INT. JOHN'S BEDROOM -- NIGHT,"In [37、INT. JOHN'S BEDROOM -- NIGHT], What is John's current activity?",Sifting through evidence,As John sifts through the evidence,character states
35、EXT. GRACE AND GEORGE'S HOUSE - BACK YARD -- LATE AFTERNOON,What does Erit say to John before leaving?,I know you won't want to hear this...,"ERIT
I know you won't want to hear this...",dialogue/beliefs
31、INT. COURTROOM -- A SHORT TIME LATER,What does John claim about the incident involving Lara's purse?,It was a robbery! Someone stole her purse!,"JOHN
It was a robbery! Someone stole her purse!",dialogue/beliefs
27、INT. JOHN'S BATHROOM -- NIGHT,What does John say while staring at his watch?,"Twenty-eight, twenty-nine, thirty.","JOHN Twenty-eight, twenty-nine, thirty.",dialogue/beliefs
14、INT. BRENNAN HOUSE - DOWNSTAIRS BATHROOM,What does Lara believe about the blood on her coat?,She believes she doesn't know how the blood got there.,"Lara looks at her coat, wonders how the hell she got blood on her shoulder.",dialogue/beliefs
