scene,question,answer,evidence,qa_type
39、INT. HEIMDALL'S OBSERVATORY - DAY,"In [39、INT. HEIMDALL'S OBSERVATORY - DAY], Why does Odin call Thor unworthy?",Because Thor disobeyed his command and opened the Realms to war.,You have disobeyed the express command of your King... opened these peaceful Realms and innocent lives to the horrors of war.,causal/relational queries
49、INT. ODIN'S CHAMBERS - DAY,"In [49、INT. ODIN'S CHAMBERS - DAY], What is Frigga's emotional state?",Distressed and grieving over her son's banishment,"I would not have had the heart for such cruelty! I, too, grieve the loss of our son.",character states
32、INT. HEIMDALL'S OBSERVATORY - DAY,"In [32、INT. HEIMDALL'S OBSERVATORY - DAY], What causes Heimdall to threaten Thor with exile to Jotunheim?",Thor's potential return threatens Asgard's safety.,Heimdall warns that Bifrost will remain closed if their return threatens the safety of Asgard.,causal/relational queries
26、INT. THRONE ROOM - DAY,"In [26、INT. THRONE ROOM - DAY], What does Odin ask Thor to swear to?","Guard the Nine Realms, preserve peace, and cast aside selfish ambition.",Do you swear to guard the Nine Realms? ... Do you swear to preserve the peace? ... Do you swear to cast aside all selfish ambition...,dialogue/beliefs
18、INT. ANTECHAMBER - NIGHT,What does Fandral ask the Maidens after thanking them?,Now who'd like to polish my sword for me?,FANDRAL (CONT'D) Now who'd like to polish my sword for me?,dialogue/beliefs
"1、EXT. PUENTE ANTIGUO, NEW MEXICO - NIGHT",What is the setting of the scene?,"Main street in a one-horse town set amid endless flat, arid scrubland.","A main street extends before us in this one-horse town, set amid endless flat, arid scrubland.",detailed description
18、INT. ANTECHAMBER - NIGHT,What does Sif say to the weapons she sets down?,I'll miss you.,SIF (to the weapons) I'll miss you.,dialogue/beliefs
35、EXT. BIFROST LANDING SITE (JOTUNHEIM) - DAY,"In [35、EXT. BIFROST LANDING SITE (JOTUNHEIM) - DAY], Why did Thor ignore Fandral's suggestion to return to Asgard?",He believed it was time to act despite the risks,THOR: We know all we must. It's time to act.,causal/relational queries
45、INT. HOSPITAL ER - NIGHT,"In [45、INT. HOSPITAL ER - NIGHT], What is Thor's emotional state when he slaps the syringe away?",Angry and defiant,"Thor SLAPS the syringe away angrily, starts to sit up.",character states
40、EXT. BIFROST LANDING SITE (EARTH) - NIGHT,Why did Jane take photos of the runes in the sand?,To document them before they disappeared,A breeze begins to blow them away. Jane (CONT'D) We've got to move fast before anything changes.,causal/relational queries
34、INT. HEIMDALL'S OBSERVATORY,What does 'Bifrost' refer to in the passage?,A bridge of rainbow light used for travel between realms.,The Bifrost opens at the end of the platform upon which Thor and his five comrades stand.,terminology/abbreviation/concept
51、INT. COUNTY HOSPITAL ER - DAY,"In [51、INT. COUNTY HOSPITAL ER - DAY], What does Jane say about her relationship with the patient?",She barely knows him anymore.,I meant I barely know him anymore.,character states
50、INT. HOSPITAL ROOM - DAY,"In [50、INT. HOSPITAL ROOM - DAY], What behavioral state does Thor exhibit through his actions?","He is determined to escape, trying repeatedly and using all his strength.","He tries again, mustering all his strength. One of his hands slips free from its restraint.",character states
38、EXT. BIFROST LANDING SITE (JOTUNHEIM) - DAY,What causes Laufey to form an ice blade?,He believes diplomacy has failed and seeks war.,"Unseen by Odin and the others, Laufey starts to form an ice blade... We are beyond diplomacy now, Allfather. He'll get what he came for -- war and death.",causal/relational queries
26、INT. THRONE ROOM - DAY,What does Odin realize upon seeing the ice?,Frost giants are approaching.,"Odin hesitates, noticing a strange sight before him. ICE creeps across the surface ... Odin (REALIZING) Frost giants...",dialogue/beliefs
31、EXT. HEIMDALL'S OBSERVATORY - DAY,Why did Heimdall let the group pass?,Thor requested that Heimdall not reveal their destination.,Thor walks past Heimdall as the Gatekeeper lets the group pass.,causal/relational queries
31、EXT. HEIMDALL'S OBSERVATORY - DAY,What caused Heimdall to suspect the group's intentions?,He sensed their deception through his supernatural awareness.,"You think you can deceive me? I, who watch all?",causal/relational queries
