scene,question,answer,evidence,qa_type
"23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,","In [23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,], What is Thomas's behavioral state after deciding not to throw the baby?",Cradling the newborn,"Instead, cradles the newborn",character states
"23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,","In [23、EXT. A BRIDGE, NEW ORLEANS - NIGHT,], What is Thomas's emotional state when he encounters the baby?",Brokenhearted and conflicted,"brokenhearted, he lifts the baby to throw it into the black water... despite his sadness, he can't bring himself to do it... cradles the newborn",character states
"35、EXT. THE PORCH, NOLAN HOUSE, NEW ORLEANS - NIGHT,",How does Benjamin come to an abrupt stop?,An oldster sticks his cane in the spokes of his wheelchair.,one of the oldsters... sticks his cane in the spokes of his wheelchair,detailed description
"37、INT. THE PARLOR, NOLAN HOUSE, LATE AT NIGHT,",What does Benjamin do when he wheels to the window?,"Benjamin wheels to the window, looking at streetlights and the world beyond the gate, trying to see what's dangerous.","He wheels himself over to sit at the window looking outside... looking at the streetlights, the world beyond the gate... trying to see what's dangerous.",detailed description
"42、INT. CHURCH TENT, NEW ORLEANS - A SATURDAY NIGHT,",Why does the preacher attempt to heal Benjamin?,Because Queenie told him Benjamin has the devil on his back.,QUEENIE: He's got the devil on his back... trying to ride him into the grave before his time...,causal/relational queries
"31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,","In [31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,], What does Benjamin's voiceover reveal about his state?",He feels he has found a home,Benjamin Button's (V.O.) I found a home...,character states
"27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT","In [27、INT. QUEENIE'S ROOM, OLD HOUSE, NEW ORLEANS - NIGHT], What is the Baby's physical condition?",The Baby has the face of an old man.,the Baby with the face of an old man,character states
"31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,","In [31、INT. QUEENIE'S ROOM - STILL LATER THAT NIGHT,], What is Queenie's emotional state when Tizzy arrives?",Distressed and anxious,"Queenie, unable to sleep, lying in bed, looking out a small window... She nods... The baby cries out... and then it's quiet...",character states
"51、INT. THE STREETCAR, NEW ORLEANS - DAY,",Why does Ngunda Oti file his teeth?,To scare children by appearing like a cannibal.,They have me file my teeth like a cannibal...,causal/relational queries
"41、INT. KITCHEN, NOLAN HOUSE - NIGHT,",Why does Tizzy know Shakespeare?,His grandfather brought home plays for him to read.,My grandfather was a dresser for a famous actor. He'd bring home every play for me to read. (Shakespeare),causal/relational queries
