scene,question,answer,evidence,qa_type
48、武馆，夜，内,马小对吴良表达了什么？,我只想说一句话，吴良，洗干净脖子，等死吧！,马小却看着二楼一直在观看比赛的吴良：我只想说一句话，吴良，洗干净脖子，等死吧！,dialogue/beliefs
39、卷莲门，日，外,张茱萸为何拿出遗照？,因寻找马东未果且认为他已死亡。,张茱萸：宣布吧！艾迪生：照片都准备好了，这么大个活人就不找找了吗？,causal/relational queries
19、画面组合,"在[19、画面组合]中, 马小在直播中表达了什么情绪？",悔意,我要为我前几天不正当的行为向大家道歉,character states
44、澳门武馆，夜，内,男解说员对艾迪生比赛的评价是什么？,认为艾迪生今天来的目的是自取其辱,已经连续认输四场比赛的艾迪生选手，我不知道他今天来的目的是什么，在我看来，这场比赛就是自取其辱。,dialogue/beliefs
41、画面组合,马小在高速公路上说了什么？,是超度还是超越，咱俩试试吧！,马小：是超度还是超越，咱俩试试吧！,dialogue/beliefs
31、礼堂，日，内,弟子们烧纸与张茱萸烧香的共同原因是什么？,悼念秀念,礼堂里摆上了白色和黄色的花，花圈前摆着秀念的黑白照。,causal/relational queries
26、火锅店，夜，内,吴良为什么毁掉艾迪生？,收买裁判导致他输掉比赛并被曝光丑闻,吴良：三年前那场比赛，其实你赢了。点数上你赢了，但是我收买了裁判，你不要的那笔钱，有的是人要。,causal/relational queries
42、卷莲门走廊，日，外,张茱萸认为什么道理？,世上武功，唯快不破。,你每天穿梭在如此高速的车流中发广告，车都撞不到你，区区拳速又耐你何，世上武功，唯快不破，是不是有种恍然大明白的感觉。,dialogue/beliefs
14、女浴室，夜，内,"在[14、女浴室，夜，内]中, 马小此时的情绪状态如何？",面带邪恶的笑容,面带邪恶的笑容,character states
17、街道，夜，外,"在[17、街道，夜，外]中, 副主任的身体状态如何？",浑身缠满绷带，肌肉开始抽搐,救护车里，副主任浑身上下缠满了绷带，身上的肌肉开始抽搐。,character states
42、卷莲门走廊，日，外,张茱萸在艾迪生攻击后说了什么？,这回知道，这回知道自己的拳有多快了吧！,张茱萸拍打着艾迪生的头：这回知道，这回知道自己的拳有多快了吧！,dialogue/beliefs
23、饭馆，夜，外,"在[23、饭馆，夜，外]中, 马小当前的行动状态是什么？",持合约威胁艾迪生,马小拿出合约指给他：艾迪生和马东，这上面还有你呢。戳着艾迪生的身体，艾迪生在躲,character states
34、卷莲门，日，外,张茱萸为什么睁开了眼睛？,听到艾迪生说'都怪你，嚷嚷着要走'。,听到这话，张茱萸睁开了眼睛。,causal/relational queries
24、武馆，夜，内,"在[24、武馆，夜，内]中, 艾迪生往武馆中间走时的状态如何？",像喝醉酒的女人一样,艾迪生像个喝醉酒的女人一样往武馆中间走，周围围了一圈观众。,character states
35、树林里，日，外,在[35、树林里，日，外]中，张茱萸如何定义‘熬鹰’？,要驯服它，就不能让它睡觉,张茱萸：这是一只来自遥远雪域的贵族雄鹰，叫龙傲天，熬鹰你们都知道吧，就是要驯服它，就不能让它睡觉,dialogue/beliefs
26、火锅店，夜，内,艾迪生被禁赛的原因是什么？,收买吴良的丑闻被媒体曝光,电视台上播放艾迪生因收买吴良被禁赛的新闻。,causal/relational queries
30、高速公路，日，外,秀念的行动导致了什么结果？,身体被撞飞，瞬间趴在地上一动不动,秀念的身体撞在前车头，身体被撞飞，瞬间趴在地上一动不动,causal/relational queries
24、画面组合,"在[24、画面组合]中, 艾迪生的身体状态如何？",被暴揍，已经不行了,最后，他已经不行了。,character states
50、天台，夜，外,艾迪生如何解释自己撰写报道的行为？,当时是被吴良利用了。,我当时是被吴良利用了。,dialogue/beliefs
50、天台，夜，外,马小认为一句道歉能否弥补报道的影响？,不能，一句对不起就完了。,你知道那篇报道对我来说意味着什么吗？一句对不起就完了？,dialogue/beliefs
37、礼堂，日，内,张茱萸让弟子熬鹰的目的是什么？,测试他们的耐力是否达标,你们能熬死它，证明你们的耐力已经非比寻常,causal/relational queries
23、饭馆，夜，外,"在[23、饭馆，夜，外]中, 艾迪生的情绪状态如何？",充满愤怒,我终于明白老天为什么要给我这副身体了，就是为了让我捶死吴良这个渣男。,character states
22、吴良家，夜，内,"在[22、吴良家，夜，内]中, 马小与吴良的关系是什么？",马小是吴良的未婚妻,吴良：马小可是你未婚妻啊,character states
