id,scene,question,answer,evidence,qa_type
1,1、INT. VAN -- NIGHT,What plan does Serna propose?,"To jump, get to Israel before the Swede, ransom him, and gain power.",So what I heard... we're that much closer to having our own thing.,dialogue/beliefs
2,11、INT. BRIEFING ROOM -- CONTINUOUS,What does Locke say about Sparazza's role in Israel's entry into the mob?,"Sparazza introduced Israel to the life, gave him his first big break, brought him through the ranks.","LOCKE: 'Sparazza was the one who introduced Israel to the life, gave him his first big break, brought him through the ranks.'",dialogue/beliefs
3,28、INT. CHOW SHACK BUFFET -- MORNING,"In [28、INT. CHOW SHACK BUFFET -- MORNING], How does Victor Padiche react to the word 'pussy'?","Blanches, doesn't understand, and becomes nervous.","Padiche, head cocked, did I hear that right...? ...Uh... Another beat. The girls let him dangle. Padiche, recovering, nodding, nervous.",character states
4,12、INT. BRIEFING ROOM -- CONTINUOUS,"In [12、INT. BRIEFING ROOM -- CONTINUOUS], What is Sparazza's physical condition?",Sparazza's health is in rapid decline,Sparazza's health is in rapid decline,character states
5,14、INT. BRIEFING ROOM -- DAY,"In [14、INT. BRIEFING ROOM -- DAY], Why is Pasquale Acosta sought for war crimes and human rights violations?",His involvement with CIA-funded death squads and legendary torture techniques.,"American educated, fluent in over a dozen languages, did journeyman's work for CIA funded 'G-2' and 'Archivo' death squads in Guatemala and Chile...noted for his legendary torture techniques.",causal/relational queries
6,42、INT. FOUR SEASONS HOTEL -- WASHINGTON D.C. -- DAY,What does 'faux accompli' mean in the context of the passage?,An accomplished fact that cannot be changed.,"MECKLEN (V.O.) 'it's one'a those fait accompli things, you have to--'",terminology/abbreviation/concept
7,47、INT. CAR -- DAY,When did Carruthers and Messner decide to go to the Nomad?,After receiving the deputy's call about Jack Dupree,Messner clicks off. Carruthers... I'm going over there. You take the car from there,temporal references
8,34、INT. PENTHOUSE BEDROOM -- CONTINUOUS,"In [34、INT. PENTHOUSE BEDROOM -- CONTINUOUS], What is Israel's physical condition as described?","Sweats like a stuck pig, pained, clutching his chest","Israel sweats like a stuck pig, pained, clutching his chest.",character states
9,46、EXT. LAKE --DAY,"In [46、EXT. LAKE --DAY], Where does Elmore wake up after being submerged?",In the sub-zero shallows of Lake Tahoe,Elmore sits up in the sub-zero shallows of Lake Tahoe with a start,scene localization
10,25、INT. HOSPITAL ROOM -- MORNING,"In [25、INT. HOSPITAL ROOM -- MORNING], What is Primo Sparazza's physical condition?","Lying on a hospital bed with an O2 mask, sunken eyes, and cataract-grey eyes","O2 mask shrouding deep-set, sunken eyes, cataract-grey, gazing out at a four-walled world",character states
11,16、INT. DINNER CLUB -- NIGHT,"In [16、INT. DINNER CLUB -- NIGHT], What physical condition does one of the Tremor Brothers experience during the melee?",temporarily blinded,catches blowback from a jammed piece and is temporarily blinded,character states
12,14、INT. BRIEFING ROOM -- DAY,"In [14、INT. BRIEFING ROOM -- DAY], Why did Pasquale Acosta chew off his fingertips while imprisoned?",To avoid being identified by Interpol after being captured by the SAS.,"When he was caught by the SAS in Northern Ireland and imprisoned, he chewed off his fingertips to the bone before he could be printed and ID'd by Interpol.",causal/relational queries
13,6、INT. HOSPITAL -- DAY (PAST),What action describes Buddy Israel's card performance?,Cards and coins dancing off his fingertips,"Buddy, cards and coins dancing off his fingertips",detailed description
14,48、INT. NOMAD HOTEL SUITE -- DAY,When does Sykes adjust her earpiece?,After Watters mentions feedback from the earpiece,Watters (O.S.) says 'I'm getting some fucked up feedback' before Sykes pulls and adjusts the earpiece,temporal references
15,26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,"In [26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING], What is Buddy Israel's emotional state after the party?",Contemptuous,"Israel, sober now...contemptuous of it all.",character states
16,22、INT. DINER -- NIGHT,"In [22、INT. DINER -- NIGHT], What is Wyman's emotional state regarding the time frame?",Urgent and stressed,"Right mafuck'n now girl. Fast as we can get you there. We wait any longer, someone goin' dead this fool.",character states
17,27、INT. CAR -- DAY,"In [27、INT. CAR -- DAY], What is Messner doing when he pulls off his headphones?",Listening to surveillance tape,"reviewing surveillance tape, portable headphones on",character states
18,28、INT. CHOW SHACK BUFFET -- MORNING,"In [28、INT. CHOW SHACK BUFFET -- MORNING], What is Victor Padiche's physical condition?","Spotted skin, sun damaged, pocked with pre-cancerous black.","A slicker older cat in a Guyabera shirt, mid-fifties, spotted skin, sun damaged, pocked with pre-cancerous black.",character states
19,13、INT. DINER -- NIGHT,What does Watters do with the telex after receiving it?,"Takes the telex, gawks, and shows the numbers to Sykes","Watters takes the telex, gawks, shows the numbers to Sykes.",detailed description
20,45、INT. EMPLOYEE ENTRANCE -- DAY,What does 'semaphore' refer to in the passage?,A method of communication using hand signals,hand signals and some bizarre inbred semaphore,terminology/abbreviation/concept
21,23、INT. BRIEFING ROOM -- DAY,"In [23、INT. BRIEFING ROOM -- DAY], What is Morris Mecklen's role?",Agent to the Vegas vanguard,"MORRIS MECKLEN, 60's, bloated, bad combover, agent to the Vegas vanguard.",character states
22,1、INT. VAN -- NIGHT,What does Serna say about the Swede?,He is a real badass 'specialist' being brought over.,"So what I heard downstairs there is that they got a guy, some Swede, real badass, supposedly a 'specialist' and they're bringing him over.",dialogue/beliefs
23,20、EXT. STREET -- DAY,"In [20、EXT. STREET -- DAY], Where does the initial confrontation between the suits and the dark-suited man take place?",A crammed pedestrian crossing,"Crammed pedestrian crossing, noon hour a trio of SUITS converse",scene localization
24,39、INT. NOMAD HOTEL AND CASINO -- LOBBY -- MORNING | 49、INT. HORIZON HOTEL AND CASINO -- SAME,What does Sykes state she intends to do once inside the room with the call girls?,"Sykes states that once inside the room, she will put her gun to Israel’s head and back out.","She checks her reflection, then states her plan: when the call girls arrive, she’ll meet them in the lobby and move with them up to the room, blending in. Once inside, she intends to put her gun to Israel’s head and back out.",character states
25,26、INT. PENTHOUSE SUITE -- NOMAD HOTEL & CASINO -- MORNING,What does Buddy Israel state about the stain on the jacket?,Buddy Israel states that the stain on the jacket is semen.,"He scoffs, telling him it’s semen.",character states
