scene,question,answer,evidence,qa_type
"43、INT VERONA'S CRIB, SAME TIME",What does Verona exclaim about the other character?,She says they're supposed to be dead.,You're supposed to be dead!!!,dialogue/beliefs
"44、EXT ALLEY, SAME TIME",What caused CHEV to comment on the necklace?,He spotted the medallion and yanked it off,CHEV spots a necklace... yanks it off. ... CHEV (CONT'D) A necklace...,causal/relational queries
"20、INT CHEV'S CAR, MOMENTS LATER","In [20、INT CHEV'S CAR, MOMENTS LATER], What is Chev's emotional state during the chase?",Stressed and anxious,"sweating hard, panting with adrenaline, driving erratically",character states
"11、EXT CHEV'S AUDI, SAME TIME","In [11、EXT CHEV'S AUDI, SAME TIME], What is CHEV's behavioral state?",Pounding his head against the steering wheel,CHEV begins to POUND HIS HEAD against the steering wheel,character states
"2、INT CHEV'S BEDROOM, MORNING",When is CHEV's face revealed?,At the end of the continuous POV shot,"This scene plays out as a continuous POV shot, right up until CHEV's face is revealed for the first time.",temporal references
"9、INT CHEV'S AUDI, MOMENTS LATER",What does 'HEARTBEAT' refer to in the passage?,The sound and visual of the character's heart.,The ever-present HEARTBEAT is pounding.,terminology/abbreviation/concept
"53、INT STAIRWELL, MOMENTS LATER",What causes the COPS to start chasing CHEV?,His presence in the stairwell with a gun,CHEV busts into the stairwell and starts heading down. He's been holding his gun awkwardly... A few flights above he hears the door bang open as the COPS pick up the chase.,causal/relational queries
37、EXT. CITY STREET - DAY,Why does HEV pull KAYLO around the corner?,To keep him out of sight of the restaurant,out of sight of the restaurant,causal/relational queries
"64、EXT RESTAURANT, MOMENTS LATER",What actions does Chev perform after coming to his senses?,"Shakes off debris, struggles to his feet, and clicks to answer the phone","He shakes off the debris, struggles to his feet and clicks to answer the phone.",detailed description
"33、INT CAB, MOMENTS LATER",What is causing CHEV's condition?,The inhibitor introduced into his system blocks ephedrine receptors.,it blocks the receptors so your body's ephedrine can't bind ... and that's what's killing you.,causal/relational queries
"14、INT CHOCOLATE'S APARTMENT, SIMULTANEOUS","In [14、INT CHOCOLATE'S APARTMENT, SIMULTANEOUS], What is Chev Chelios's emotional state when he speaks to Chocolate?",Exasperated,CHEV (exasperated),character states
"40、EXT ALLEY, SAME TIME",Why did Chev use Alex's finger to pull the trigger?,Because the gun failed to fire twice,CHEV pulls the trigger twice. CLICK. CLICK. ... He uses ALEX'S finger to pull the trigger twice,causal/relational queries
"41、INT VERONA'S CRIB, SAME TIME",Why does Chev say Verona should've cut him up?,Because Verona failed to act when he had the chance.,CHEV (CONT'D) I can tell you have it all figured out. Looks like you should've cut me up when you had the chance.,causal/relational queries
"41、INT VERONA'S CRIB, SAME TIME",Why is Verona furious?,Because Chev revealed he has his brother's cell phone.,"CHEV That's right, bro. You wanna guess how I got your brother's cell phone?",causal/relational queries
"39、INT CHARLIE O'S KITCHEN, SAME TIME",Why was Alex not cautious when entering the kitchen?,Because everyone had been afraid of him all his life.,everyone's been afraid of the big man all his life,causal/relational queries
"32、EXT STREET, IN FRONT OF CARLITO'S BUILDING, MOMENTS LATER","In [32、EXT STREET, IN FRONT OF CARLITO'S BUILDING, MOMENTS LATER], What is CHEV's emotional state when he confronts the cabbie?",Aggressive and agitated,FLASHING MURDEROUS TEETH and hopping up and down to keep the heart pounding,character states
"19、EXT OUTSIDE THE BLACK SABBATH CLUBHOUSE, MOMENTS LATER","In [19、EXT OUTSIDE THE BLACK SABBATH CLUBHOUSE, MOMENTS LATER], What physical condition does Chev experience during his escape?",Heart pounding like a jackhammer,HEART POUNDING LIKE A JACKHAMMER,character states
