id,scene,question,answer,evidence,qa_type
1,14. 出租车内 晚上,"在[14. 出租车内 晚上]中, 杨自道此时的身体状态如何？",被钢丝线勒住脖子，腿部被捅伤,杨自道被人打劫。一人从后面用钢丝线勒住了他的脖子...一刀捅在杨自道的腿上。,character states
2,14. 出租车内 晚上,"在[14. 出租车内 晚上]中, 杨自道的情绪状态如何？",惊恐并试图配合,杨自道挣扎着指着勒住自己脖子的钢丝绳...妈的，不是说好了配合的嘛,character states
3,43. 闹市 白天,杨自道为何让伊谷夏上车？,误以为她是受害人的家属,杨自道拉开车门，把伊谷夏当做受害人的家属了，拍了一下她：你，跟我上车。,causal/relational queries
4,55. 公寓二楼 白天,房东在偷听时表现出什么情绪？,紧张又震惊,既紧张又震惊,detailed description
5,2. 案发荒郊 白天,"在[2. 案发荒郊 白天]中, 辛小丰的行为状态是什么？",仓皇奔跑,仓皇奔跑,character states
6,9. 街道 白天,"在[9. 街道 白天]中, 杨自道在离开前的情绪状态如何？",犹豫或不确定,杨自道询问：这吧？,character states
7,15. 出租车内外 晚上,"在[15. 出租车内外 晚上]中, 绳子被谁收掉？",劫匪让同伙收掉了绳子,劫匪见状，心惊胆战，连忙让同伙收掉了绳子,objects/props
8,4. 案发荒郊 白天,"在[4. 案发荒郊 白天]中, 辛小丰等人在第四人掉下水库时的反应是什么？",无心营救，继续逃,辛小丰、杨自道、陈比觉张望，无心营救，继续逃,character states
9,9. 街道 白天,"在[9. 街道 白天]中, 老奶奶对杨自道离开的反应如何？",困惑或不满,老奶奶拿着钱：你怎么跑掉了呀。,character states
10,43. 闹市 白天,伊谷夏为何跑上车？,被杨自道催促且未明示拒绝,杨自道：快点！伊谷夏想了想跑上车。,causal/relational queries
11,69. 协警宿舍 白天,"在[69. 协警宿舍 白天]中, 辛小丰撕掉了什么？",协警警服上的警号,把挂在那的协警警服上的警号撕掉,objects/props
12,54. 公寓一楼 白天,杨自道的声音状态如何？,声音刺裂,声音刺裂,detailed description
13,19. 协警宿舍 晚上,为什么辛小丰在伊谷春离开后仍紧张？,因伊谷春提到从西陇调来并注视他,伊谷春：我从那边调过来，（注视着他）回头聊。,causal/relational queries
14,38. 闹市 白天,辛小丰问了什么？,车上有人吗？,辛小丰（VO）：车上有人吗？,dialogue/beliefs
15,46. 高铁桥下 白天,伊谷夏何时大叫‘来人啊！抢钱啦！’？,在杨自道击倒劫匪后,伊谷夏大叫：来人啊！抢钱啦！来人啊！,temporal references
16,34. 山道 白天,"在[34. 山道 白天]中, 宿安水库发生了什么案件？",强奸杀人惨案,宿安水库就发生了强奸杀人惨案,scene localization
17,59. 警长办 白天,文件封面标注的具体案件名称是什么？,宿安水库凶杀案,封面上写着“宿安水库凶杀案”,detailed description
18,34. 山道 白天,"在[34. 山道 白天]中, 案发别墅阁楼的案件涉及什么？",女孩被杀害,案发别墅阁楼，女孩在反抗,scene localization
19,27. 警局外 白天,"在[27. 警局外 白天]中, 辛小丰在文中表现出怎样的情绪？",心事丛丛，神色不舍,辛小丰心事丛丛走在路上，他显得神色有点不舍,character states
20,71. 公寓 凌晨,辛小丰对换衣服的态度是什么？,别给她换了。让她多睡会。,辛小丰：别给她换了。让她多睡会。,dialogue/beliefs
21,48. 高铁桥下 白天 | 49. 渡口 白天,在杨自道受伤后，伊谷夏发现他流血时表现出怎样的情绪状态？,伊谷夏表现出紧张的情绪状态。,伊谷夏注意到杨自道衣服上有血迹从腹部渗出，神情顿时变得紧张，连忙看向他。,character states
22,22. 路上 白天 | 27. 警局外 白天 | 31. 洗澡室 晚上,辛小丰在看到同事出警后，手里攥着辞职信时表现出怎样的心理状态？,辛小丰表现出犹豫和内心挣扎的心理状态。,他望着同事出警的背影，低头看着手里攥着的辞职信，神情恍惚，显示出他对是否离开警察工作的迟疑。,character states
