id,scene,question,answer,evidence,qa_type
1,4、滋水县衙门正厅（秋） 日 内,在[4、滋水县衙门正厅（秋） 日 内]中，县长为何要求白嘉轩绞辫子？,因为县长认为革命需要割掉封建标志，让白嘉轩拥护革命政权。,县长说“革命就是把这猪尾巴割掉……你来拥护革命政权，把你的猪尾巴绞了去，立马你就是掌管白鹿镇乡长！”,causal/relational queries
2,38、田埂	土崖	麦场（夏）日外,田小娥对黑娃的威胁有何回应？,抡起花伞连打带戳地骂着：“我还怕你个混眼子狗咧，还要咋？你还要吃人呀！”,田小娥抡起花伞连打带戳地骂着：“我还怕你个混眼子狗咧，还要咋？你还要吃人呀！”,dialogue/beliefs
3,20、鹿子霖家院（秋）日外  / 内,鹿子霖为何打鹿兆鹏？,因鹿兆鹏反对包办婚姻，主张婚姻自主。,鹿子霖：‘你问这驴日的去，他要呲油呀，要乱爱呀……’鹿兆鹏：‘……讲人权讲婚姻自主了……’,causal/relational queries
4,4、滋水县衙门正厅（秋） 日 内,为什么县长批评鹿子霖跪下？,因为县长认为他还在搞封建礼仪，而民国公民不应如此。,县长拍着惊堂木说“起来，你都是民国公民咧，不能再搞这些封建礼仪咧。”,causal/relational queries
5,36、郭家庭院	小娥厢房（夏）日内  / 外,在[36、郭家庭院	小娥厢房（夏）日内  / 外]中，田小娥要求黑娃以后怎么称呼她？,叫姐，就叫我小娥姐。,叫姐，就叫我小娥姐。,dialogue/beliefs
6,21、祠堂（秋）  ---  日内,鹿子霖在族人面前表现如何？,佯装笑脸,鹿子霖佯装笑脸，在族人面前，尤其是白嘉轩面前，鹿子霖大丢颜面。,detailed description
7,20、鹿子霖家院（秋）日外  / 内,为何鹿子霖要求将鹿兆鹏带往祠堂？,为维护家族传统和权威。,鹿子霖：‘他今死也得给我死到祠堂里去！’,causal/relational queries
8,10、白鹿镇乡公所（秋） 日内,"在[10、白鹿镇乡公所（秋） 日内]中, 田福贤的情绪状态如何？",气急败坏,气急败坏地骂,character states
9,38、田埂	土崖	麦场（夏）日外,田小娥如何回应黑娃关于工钱的质问？,谁是你的姨？混眼子狗认错人咧！,黑娃：“……小娥姨?，你为啥不开我的工钱？”田小娥（冷言冷语）：“谁是你的姨？混眼子狗认错人咧！”,dialogue/beliefs
10,14、配种院场附近（秋）日内,"在[14、配种院场附近（秋）日内]中, 黑娃在围墙塌口招手时的情绪如何？",挑衅，充满攻击性,黑娃突然在白孝文裤裆抓了一把：‘噢呀！孝文硬的跟驴?一样！’,character states
11,15、白鹿祠堂（秋）日内  /  外,"在[15、白鹿祠堂（秋）日内  /  外]中, 白嘉轩让白孝文拿来的酸枣枝用于做什么？",打白孝文,白嘉轩引而不发地逼视着儿子。白孝文欲外窜，白嘉轩一把拎住了领口，抡起酸枣枝儿左右给了两下,objects/props
12,40、鹿子霖家	（夏） 日	内  / 外,田福贤对鹿子霖说了什么？,你就让白嘉轩再日你一回尻子。,田福贤：'子霖，你就让白嘉轩再日你一回尻子？',dialogue/beliefs
13,40、鹿子霖家	（夏） 日	内  / 外,在[40、鹿子霖家	（夏） 日	内  / 外]中，鹿子霖如何评价白嘉轩的权力？,白嘉轩一手遮天，做族长做成皇帝了。,鹿子霖：'白嘉轩一手遮天，有我没我这个乡长都那么回事。' '白嘉轩做族长做成皇帝了，传了四代还不够 ---- 。',dialogue/beliefs
14,24、滋水河畔（秋）夜外,在[24、滋水河畔（秋）夜外]中，鹿兆鹏对封建思想持何态度？,封建活鬼应死去。,鹿兆鹏：“都到20世纪咧，白鹿原上还蹩哒着这着封建活鬼，都死了才干净！”,dialogue/beliefs
