scene,question,answer,evidence,qa_type
1、INT. DEATH ROW/CELL - DAWN,What belief does Serena express about Marcus's contribution?,She believes it may help people in ways he can't imagine.,SERENA: 'You may be helping people in ways you can't begin to imagine.',dialogue/beliefs
13、EXT. CORNFIELD - NIGHT,What caused the area to swell and collapse?,An immense underground blast,WIDE - AN IMMENSE SUBTERRANEAN BLAST causes a few hundred yards square to SWELL and then COLLAPSE.,causal/relational queries
16、EXT. CORNFIELD - DAY,"In [16、EXT. CORNFIELD - DAY], What is Marcus Wright's emotional state after emerging from the mud?",Agonized and shocked,AGONIZED FACE... SCREAMS,character states
10、INT. UNDERGROUND FACILITY/STORAGE ROOM - NIGHT,"In [10、INT. UNDERGROUND FACILITY/STORAGE ROOM - NIGHT], What is the Team Leader's emotional state upon discovering the human brain?",Shocked and fearful,"THE TEAM LEADER recoils-- but before he can say more, the ROOM SHAKES",character states
26、INT. ABANDONED MOTEL ROOM - DAY,How does Kyle modify the TV screen?,Scratches stick figures onto the screen with a rusted pocketknife.,KYLE is scratching STICK FIGURES onto the screen with a rusted POCKETKNIFE.,detailed description
24、EXT. REST STOP - DAY,What action is STAR performing while Kyle scans the fast-food place?,Timing the aerostat's movements with her watch.,STAR has been timing its moves. STAR studies a WATCH she carries.,detailed description
2、INT. DEATH ROW/CORRIDOR - NIGHT,"In [2、INT. DEATH ROW/CORRIDOR - NIGHT], What is Marcus's emotional state?",Struggling with fear,struggling not to succumb to fear,character states
26、INT. ABANDONED MOTEL ROOM - DAY,What does Marcus do while looking in the mirror?,Stares at his own reflection in a cracked mirror.,ANGLE IN MIRROR - MARCUS stares at his own reflection in a cracked MIRROR.,detailed description
8、INT. UNDERGROUND FACILITY/ROBOTIC ROOM - NIGHT,What visual details describe the robots in the scene?,"A dozen fixed, industrial robots with mechanical arms engaged in mysterious tasks.","a dozen fixed, INDUSTRIAL ROBOTS-- not remotely HUMANOID-- engaged in mysterious tasks, mechanical arms at work",detailed description
4、EXT. CORNFIELD - DUSK,What details describe the figures in the field?,"FIGURES moving within the FIELD, seen in SILHOUETTE, carrying HEAVY RIFLES","FIGURES are moving within the FIELD. We only make them out in SILHOUETTE, but all carry HEAVY RIFLES",detailed description
55、INT. COMMAND CENTER/CONFERENCE AREA - DAY,"In [55、INT. COMMAND CENTER/CONFERENCE AREA - DAY], What emotional state does Connor exhibit after reviewing the X-rays?",Disturbed and weary,"CONNOR picks up the FAXES, disturbed by them. ... Connor sits wearily in a chair",character states
48、INT. OUTPOST/INFIRMARY - DAY,"In [48、INT. OUTPOST/INFIRMARY - DAY], What is suspended by wires in the memory montage?","A detached, fleshless metal framework for a robotic hand","a detached, fleshless metal framework for a ROBOTIC HAND is suspended by wires",objects/props
48、INT. OUTPOST/INFIRMARY - DAY,"In [48、INT. OUTPOST/INFIRMARY - DAY], What metallic structures are present on the muscular male torso?","Metallic attachment points for missing arms, legs, or head",METALLIC ATTACHMENT POINTS await these missing parts,objects/props
34、EXT. AERIAL - DAY,What is the Harvester?,A machine that pursues Marcus.,THE HARVESTER has spotted him and is now prying itself loose from the armature.,terminology/abbreviation/concept
