scene,question,answer,evidence,qa_type
15、INT. CAR- CONTINUOUS,What visual elements does Jack observe in the town?,Dead window sockets and rotting patchwork of rooves,"JACK looks at the dead sockets of the windows, random beneath the rotting patchwork of rooves",detailed description
"29、EXT. PAY PHONE, CASTEL DEL MONTE- DAY",What does Larry say about the job he has?,I've got a job. It's a custom fit. You don't even have to pull the trigger.,LARRY (V.O.) I've got a job. It's a custom fit. You don't even have to pull the trigger.,dialogue/beliefs
30、INT. FATHER BENEDETTO'S HOUSE- MAGIC HOUR,What does Father Benedetto say about the French?,He calls them 'pezzi di merda' and criticizes their cuisine and wine.,FATHER BENEDETTO: The French are... pezzi di merda. ... Their cuisine is fussy and their wine effeminate.,dialogue/beliefs
8、EXT. ROME- DAY,"In [8、EXT. ROME- DAY], What is Larry's emotional state when he sees Jack?",Shocked but pretends the hot dog is the center of attention,LARRY is shocked to see JACK but pretends the hot dog is the centre of attention.,character states
"24、EXT. CASTEL DEL MONTE, CHURCH- DAY","In [24、EXT. CASTEL DEL MONTE, CHURCH- DAY], What describes JACK's behavioral state?",Obsessive grid-like methodology.,the obsessive grid-like methodology with which JACK photographs the little town,character states
"48、EXT. CASTEL DEL MONTE, PAY PHONE- DAY","In [48、EXT. CASTEL DEL MONTE, PAY PHONE- DAY], What is Jack's behavioral state while scanning the town square?",Cautious,JACK is scanning the town square with his usual cautiousness.,character states
13、EXT. ITALIAN LANDSCAPE- DAY,"In [13、EXT. ITALIAN LANDSCAPE- DAY], Where is JACK'S CAR traveling towards?",A ramshackle Italian hilltop town,"JACK'S CAR is winding its way up a twisting mountain road towards... a ramshackle, lonely, desolate Italian HILLTOP TOWN.",scene localization
30、INT. FATHER BENEDETTO'S HOUSE- MAGIC HOUR,"In [30、INT. FATHER BENEDETTO'S HOUSE- MAGIC HOUR], What does Father Benedetto believe about French brandy?",He thinks it is the only worthy aspect of the French.,FATHER BENEDETTO: Only their brandy is worthy of any attention.,dialogue/beliefs
"41、INT. CASTEL DEL MONTE, PENSIONE ABRUZZO- NIGHT",When does Jack wake up?,After the book hits the floor,As the BOOK hits the floor JACK opens his eyes,temporal references
"35、INT. PENSIONE ABRUZZO, JACK'S ROOM- DAY",What is 'CASTELVECCHIO' in the context of the passage?,A nearby town observed by JACK through binoculars.,"JACK completes his morning exercises then showers and dresses. His manner is precise and methodical. Only a man who has lived alone for many years can live like this. When his preparations are complete, he picks up his BINOCULARS and studies the nearby town of CASTELVECCHIO through his medieval casement window.",terminology/abbreviation/concept
"22、INT. PENSIONE ABRUZZO, JACK'S ROOM- NIGHT",How is JACK positioned on the bed?,"Lying on top of the bed, fully clothed, and wide awake.","JACK is lying on top of his bed, fully clothed and wide awake.",detailed description
15、INT. CAR- CONTINUOUS,What does the old man do after emerging from the doorway?,"Comes out of a crooked medieval doorway, stares at Jack, and disappears into another building","An OLD MAN comes out of a crooked medieval doorway, stares at JACK and disappears into another building",detailed description
26、INT. COURTYARD- DAY,Why is the dog's leash keeping him from attacking Jack?,To prevent the dog from sinking his fangs into Jack.,his leash keeping him inches from sinking his bared fangs into JACK,causal/relational queries
14、EXT. CROSS ROADS- DAY,Why is the signpost present at the crossroads?,To indicate the direction to Castelvecchio.,At the crossroads is a SIGNPOST pointing to the town. The sign reads: CASTELVECCHIO.,causal/relational queries
16、EXT. ITALIAN LANDSCAPE- DAY,"In [16、EXT. ITALIAN LANDSCAPE- DAY], Where is JACK'S CAR heading?",away from CASTELVECCHIO,We see JACK'S CAR heading away from CASTELVECCHIO.,scene localization
49、EXT. TOWN SQUARE- DAY,Why did the engine start after Father Benedetto turned the ignition key again?,Because Jack fixed the engine.,JACK is fixing the engine. He gives a signal and FATHER BENEDETTO turns the ignition key again. This time the engine starts.,causal/relational queries
"29、EXT. PAY PHONE, CASTEL DEL MONTE- DAY",What does Jack ask Larry about his condition?,Did I forget to mention my electromagnetic hypersensitivity?,JACK Did I forget to mention my electromagnetic hypersensitivity?,dialogue/beliefs
"46、INT. CASTEL DEL MONTE, PENSIONE ARBRUZZO- EVENING",When does Jack notice the serial number?,After studying the weapon.,In particular he notices that the SERIAL NUMBER has been scratched off.,temporal references
"28、EXT. CASTEL DEL MONTE, TOWN SQUARE- DAY","In [28、EXT. CASTEL DEL MONTE, TOWN SQUARE- DAY], What does FATHER BENEDETTO claim about his knowledge of Abruzzo?",A priest sees everything.,You want to know the truth about Abruzzo? A priest sees everything.,dialogue/beliefs
"22、INT. PENSIONE ABRUZZO, JACK'S ROOM- NIGHT",Where is the WALTHER semi-automatic handgun located?,Taped to the inside of the wooden bed frame.,Taped to the inside of the wooden bed frame... ...is his WALTHER semi-automatic handgun.,detailed description
