scene,question,answer,evidence,qa_type
23、EXT. DESERT. DAY.,"In [23、EXT. DESERT. DAY.], What is the character's physical condition during the climb?",Gasping for oxygen and legs screaming for rest,"Gasping for oxygen, his legs screaming for rest",character states
32、EXT. OUTSIDE THE CAVE. DAY (LATER).,"In [32、EXT. OUTSIDE THE CAVE. DAY (LATER).], What is Megan's emotional state as described in the passage?",Self-conscious but sweet-natured and fun.,A little self consciousness has returned but it's sweet-natured and fun still,character states
22、EXT. DESERT. DAY.,"In [22、EXT. DESERT. DAY.], What emotion does the man experience?",Exhilaration from challenging nature,you get a sense of the exhilaration this man gets from pitting himself alone against what nature can offer,character states
36、EXT. BLUE JOHN CANYON. DAY.,What belief does Aron express regarding beer?,He believes beer is enjoyable at the end of the day.,ARON (CONT'D) ...end of the day.,dialogue/beliefs
37、EXT. CANYON. GULLEY.,What steps does Aron describe for descending the gulley?,"Place one foot on each wall, squat onto right heel, move right foot across, position left foot under butt, scootch butt down, avoid slick black part.",Aron's detailed instructions on chimneying down the gulley with specific foot and body movements.,detailed description
"38、EXT. CONJUNCTION OF BLUE JOHN CANYON, WEST FORK, EAST FORK.",What does Megan say about Aron's plan?,She says he'll never get out before dark.,You'll never get out before dark.,dialogue/beliefs
17、EXT. PARKING AREA. NIGHT.,What is the relationship between the signs and the encampments at the Trailhead?,"The signs prohibit camping, but encampments exist despite this.","three other vehicles and two encampments at the Trailhead, despite signs prohibiting camping",causal/relational queries
28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO.,"In [28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO.], What is Aron's behavioral state?","Crazy, but harmless","He's crazy, but harmless.",character states
42、EXT. BLUE JOHN CANYON. DAY.,What prevents the character from landing hard on his ass?,his arms and the proximity of the walls,Only his arms and the proximity now of the walls prevent him landing hard on his ass,detailed description
20、EXT. DESERT. VARIOUS.,What does the man do after parking his motorized transport?,He plows into the land like an ad for extreme sports.,Having parked his motorized transport he ploughs into the land like an ad for extreme sports.,detailed description
18、INT. ARON'S TRUCK. NIGHT.,Why did he fling everything out of the way?,To make space for his sleeping bag and pad.,flings everything out of the way of his sleeping bag and pad,causal/relational queries
66、INT. CANYON FLOOR. DAY.,"In [66、INT. CANYON FLOOR. DAY.], What is Aron's hand doing despite his efforts?",It is stuck and cannot be moved.,"Pulls and pulls, yanks until his shoulder will dislocate, but nothing moves.",objects/props
39、EXT. CANYON FORK. DAY. POV VARIOUS.,What does a character say about eating vegetarian hotdogs?,"I really can't eat all these vegetarian hotdogs by myself... never mind, yes I can!","I really can't eat all these vegetarian hotdogs by myself... never mind, yes I can!",dialogue/beliefs
40、EXT. MAIN BLUE JOHN CANYON. DAY.,When does Aron check his watch?,As he picks up the pace,he picks up the pace as he checks his watch,temporal references
27、EXT. APPROACH TO BLUE JOHN CANYON. DAY.,Why does Aron rush towards the girls?,He sees them passing a map,He can see now it's 2 girls passing a map back and forth between them. He rushes towards them,causal/relational queries
15、EXT. HIGH ABOVE ARON'S TRUCK. NIGHT.,"In [15、EXT. HIGH ABOVE ARON'S TRUCK. NIGHT.], What does 'CUT TO' signify in the context of screenplay notation?",A film editing term indicating a scene transition.,CUT TO:,terminology/abbreviation/concept
35、EXT. OUTSIDE THE CAVE.,What does Aron do with the packaging after the conversation?,He gathers all their packaging and stuffs it in his backpack.,He gathers all their packaging and stuffs it in his backpack.,detailed description
29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY,"In [29、INT. CAVE. APPARENTLY SMOOTH DOME. DAY], What is Aron's physical condition?",Stripped to his underwear and lithe,He's stripped to his underwear. He's lithe to say the least.,character states
42、EXT. BLUE JOHN CANYON. DAY.,What action does the character take to maintain balance on the pebbles?,skates/snap-kicks trying to keep his balance,his feet suddenly slide forward from under him and he skates/snap-kicks trying to keep his balance on a floor of scattering pebbles,detailed description
25、EXT. DESERT. DAY.,"In [25、EXT. DESERT. DAY.], What is the character's behavioral state as he leaves the tree?","U-locks his bike, pockets the keys, and scoffs a muffin.","At what seems like the only tree for miles he U-locks his bike in the shade, pockets the keys, scoffs a muffin and heads off into the desert.",character states
