id,scene,question,answer,evidence,qa_type
1,39、INT. UNDERGROUND GROTTO,What does Flash say about his need to find Dale and Zarkov?,I've got to find Dale and that nut Zarkov too -- rescue them and try to save Earth too.,"FLASH
Let's get one thing straight -- I've
got to find Dale and that nut Zarkov
too -- rescue them and try to save
Earth too.",dialogue/beliefs
2,49、INT. COCKPIT - IN FLIGHT,What instruction does AURA give FLASH?,Pull up and go starboard around Ardentia.,AURA: 'Now pull up -- go starboard around that next moon rising -- Ardentia.',dialogue/beliefs
3,3、INT. PLANE IN FLIGHT - DAY,What does Dale's book suggest about her beliefs?,She believes in self-defense and survival skills.,KARATE FOR THE SINGLE GIRL.... A Guide to Survival In The City,dialogue/beliefs
4,21、EXT. GREENHOUSE - LONG SHOT (MINIATURE),What caused the capsule to rise from the inferno?,The explosion of the central tower.,"The whole central tower explodes outward. From the inferno a MIRROR-BRIGhT capsule slowly rises, hovers, begins picking up speed again as it ascends.",causal/relational queries
5,19、INT. TOP LEVEL OF GREENHOUSE TOWER,"In [19、INT. TOP LEVEL OF GREENHOUSE TOWER], What is Dale's emotional state when Zarkov threatens him?",He shows fear by gasping and shrinking back.,DALE gasps and shrinks back.,character states
6,23、EXT. CAPSULE IN FLIGHT - POV,What is the 'RED PATCH' mentioned on Jupiter's surface?,"A storm 20,000 miles across that has raged for 200 Earth centuries.","The RED PATCH on its surface is a storm 20,000 miles across which has raged without intermission for 200 EARTH centuries.",terminology/abbreviation/concept
7,35、INT. PALACE - ON THE STAIRCASE,"In [35、INT. PALACE - ON THE STAIRCASE], What is FLASH's emotional state while trying to reach DALE?",Struggling and desperate,FLASH struggles to get through to DALE. reaches desperately back down for FLASH.,character states
8,19、INT. TOP LEVEL OF GREENHOUSE TOWER,"In [19、INT. TOP LEVEL OF GREENHOUSE TOWER], What behavioral action does Zarkov take toward Dale?",He pushes Dale off-balance into the capsule.,"ZARKOV suddenly pushes DALE off-balance, INTO the capsule.",character states
9,26、EXT. CAPSULE IN FLIGHT,"In [26、EXT. CAPSULE IN FLIGHT], What is Ming's emotional state as depicted in the scene?",Gleaming with evil amusement.,"Deep in shadow, gleaming with evil amusement.",character states
10,31、EXT. GRASSY AREA - POV THROUGH OPENING,"In [31、EXT. GRASSY AREA - POV THROUGH OPENING], What is Dale's emotional state during the scene?",Horrified and attempting to cope by pretending it is a dream.,DALE has one brief horrified GLIMPSE... shutting her eyes -- dreaming I booked us to Disneyland.,character states
11,29、INT. CAPSULE,"In [29、INT. CAPSULE], What is Dale's emotional state upon seeing the strange men?","Anxious and hesitant, preferring the confined space.",DALE gasps... 'Don't. Suddenly I like it in here just fine --',character states
12,21、EXT. GREENHOUSE - LONG SHOT (MINIATURE),Why does the capsule begin picking up speed again?,The central tower exploded outward.,"The whole central tower explodes outward. From the inferno a MIRROR-BRIGhT capsule slowly rises, hovers, begins picking up speed again as it ascends.",causal/relational queries
13,44、INT. UPPER PALACE AREA - CORRIDOR,"What does 'Royal Pilot, First Class' refer to in the narrative?",A title given to FLASH by AURA to disguise her as a pilot.,"AURA (CONT'D) I've dressed you as a Royal Pilot, First Class. We'll slip into my personal car and you'll fly it.",terminology/abbreviation/concept
