scene,question,answer,evidence,qa_type
14、INT. SLATE'S OFFICE - SAME TIME,What caused the wrecking ball to roll down the quarry wall?,The shortened cable snapped during the crane's installation.,"the cable now twisted shorter... CABLE SNAPS, the wrecking ball begins to roll down",causal/relational queries
3、INT. BEDROOM - NEW ANGLE,What does the Woodpecker say about his job?,I hate this job... There's not even a health plan...,RADIO WOODPECKER (sotto) I hate this job... There's not even a health plan...,dialogue/beliefs
14、INT. SLATE'S OFFICE - SAME TIME,Why can't the project afford to feed the dinos?,The price of dino kibble increased a hundredfold.,It's gone up a hundredfold.,causal/relational queries
30、EXT. LODGE HALL - THAT NIGHT,What does the HERDMASTER announce to the Fellow Water Buffalo?,That they will cast votes for the lodge officers in a few moments.,Fellow Water Buffalo. In a few moments we will cast our votes for the lodge officers.,dialogue/beliefs
52、EXT. SLATE NEEDLE - NIGHT,What does 'Fibrethread' refer to?,A type of costume material that decomposes under fire conditions.,"Grace's Fibrethread costume decomposes, leaving her in her cute little animal print undies.",terminology/abbreviation/concept
15、EXT. SLATE'S OFFICE WINDOW,Why do the executives dive aside?,The wrecking ball and unhinged hood are hurtling towards the camera.,Both hurtle TOWARDS the CAMERA -- SLATE AND EXECUTIVES react fearfully as they realize all this is coming straight for them,causal/relational queries
9、INT. BUTCHER SHOP - DAY,"In [9、INT. BUTCHER SHOP - DAY], What is Morris's emotional state when he smiles?",Stressed and trying to be polite,MORRIS THE BUTCHER looks up from the chaos and manages a weak smile for the girls.,character states
5、EXT. FLINTSTONE DRIVEWAY - LATER,"In [5、EXT. FLINTSTONE DRIVEWAY - LATER], What is Fred's emotional state as he tries to fix his car?",Forlorn,Fred -- now dressed for work -- is forlornly trying to fix his car.,character states
12、INT. OFFICE - PULLBACK FROM WINDOW,What action does Slate perform toward the model during his argument with Lava?,Slate does a Danny Thomas spit take all over the model.,Slate does a Danny Thomas spit take all over the model.,detailed description
17、INT. SLATE'S OFFICE - DAY,"In [17、INT. SLATE'S OFFICE - DAY], What is Slate's emotional state after the accident?",Seething with fury,"Slate staggers to his feet, seething with fury.",character states
31、INT. LODGE HALL,"In [31、INT. LODGE HALL], What changes were made to Fred's poster?","It was altered to read 'Fred Finkstone' with horns, a beard, and other touches.","HIS POV - FRED'S POSTER / It's been altered to read 'Fred Finkstone.' Also added to Fred's image are horns, a beard and other choice touches.",objects/props
24、INT. LODGE - RECREATION AREA - LATER,"In [24、INT. LODGE - RECREATION AREA - LATER], What is the 'PHOTO' on the wall made of?",Stone with dots chipped into it,It's actually 'dots' chipped into a stone,objects/props
20、INT. CAR - FRED AND BARNEY - NIGHT,"In [20、INT. CAR - FRED AND BARNEY - NIGHT], What is Fred's emotional state when discussing his success?",Full of himself and smiling,"full of himself, smiling",character states
10、EXT. BUTCHER SHOP - DAY,"In [10、EXT. BUTCHER SHOP - DAY], What is Mrs. Slate's emotional state when she sees her car?",Distressed about her damaged car,My car -- !,character states
47、INT. SLATE NEEDLE,What is the Dino Dance?,"A dance routine performed by Pebbles, Bam-Bam, and Dino, previously done impromptu and now choreographed.","the 'first positions' of the 'Dino Dance.' However, whereas the previous version of this was done impromptu and a cappella with only a few primitive props and straw hats alone, this time the kids and Dino are fully costumed, with sequins, batons and the like, and the dance is completely choreographed.",terminology/abbreviation/concept
13、EXT. QUARRY - MOVING SHOT,When does Piltdown mention the snack break?,After Fred confronts him about endangering workers.,PILTDOWN: ...A.N.W. one-oh-one gives us workers a snack break.,temporal references
23、INT. WATER BUFFALO LODGE - NIGHT,"In [23、INT. WATER BUFFALO LODGE - NIGHT], What ceremonial headwear are the members wearing?",Furry and horned Fez of the Buffalo,All wear the furry and horned ceremonial Fez of the Buffalo.,objects/props
53、EXT. FIBRESPHERE - LONG SHOT,What is the Fibresphere?,"A huge globe that is part of the setting, which the Slate Needle takes a chunk of.","The Slate Needle tumbles down, taking a big chunk of the Fibresphere with it! But the rest of the huge globe stays put... for now.",terminology/abbreviation/concept
15、EXT. SLATE'S OFFICE WINDOW,Why does the wrecking ball fly back up into the air?,"The hood of Fred's car acts like a trampoline, causing it to rebound.",the HOOD sinks in resiliently like a trampoline and then with a loud 'SPROING' the wrecking ball flies straight back up,causal/relational queries
27、INT. SLATE'S OFFICE - DAY,"In [27、INT. SLATE'S OFFICE - DAY], What is inside the automatic putting cup?",A mouse in a hockey outfit,INSIDE THE PUTTING CUP / A little MOUSE in a complete hockey outfit,objects/props
5、EXT. FLINTSTONE DRIVEWAY - LATER,"In [5、EXT. FLINTSTONE DRIVEWAY - LATER], Why is Barney not at work?",He got fired from the appliance store,"Ah, well, that appliance store and me, we kinda had a little adjustment --",character states
10、EXT. BUTCHER SHOP - DAY,"In [10、EXT. BUTCHER SHOP - DAY], How are Wilma and Betty reacting to the situation?",Trying to suppress laughter,try and hide their laughter,character states
9、INT. BUTCHER SHOP - DAY,"In [9、INT. BUTCHER SHOP - DAY], What is Mrs. Slate's emotional state and appearance?",Impatient and overdressed,"REVEALING MRS. SLATE, who stands there, impatient and overdressed.",character states
52、EXT. SLATE NEEDLE - NIGHT,"In [52、EXT. SLATE NEEDLE - NIGHT], What is a firesaurus?",A creature with a tiny body and extremely long neck used in firefighting.,"It's actually a wheeled carriage carrying a firesaurus, which is a critter with a very tiny body and an incred-ibly long neck.",terminology/abbreviation/concept
