id,scene,question,answer,evidence,qa_type
1,44、INT. E BLOCK - DAY,Why does Paul rush to join the fray?,Coffey's warning and the door unlocking prompt him to act.,"Paul hears him, glances back...door, which is being unlocked...",causal/relational queries
2,6、INT. HALLWAY PAST KITCHEN - MORNING,"In [6、INT. HALLWAY PAST KITCHEN - MORNING], What is Paul's behavioral state as he leaves?",Paul is trying to avoid being seen,Paul slips to the back door unnoticed,character states
3,37、INT. PAUL'S BEDROOM - NIGHT,When does Paul come down the stairs?,After he sits up and feels pain in his groin,"He sits up, clutching at a queasy stab of pain in his groin... LIVING ROOM STAIRS ... and comes hurrying down the steps",temporal references
4,32、INT. EXECUTION CHAMBER - NIGHT,When does Bitterbuck surge forward again?,After the switch is thrown a second time,The switch is thrown a second time. Bitterbuck surges forward again...,temporal references
5,32、INT. EXECUTION CHAMBER - NIGHT,When does the switch get thrown a second time?,After the doctor checks for a heartbeat and shakes his head,"Van Hay kills the current. Bitterbuck goes limp. A DOCTOR steps forward, checks for a heartbeat, shakes his head. BRUTAL Again. The switch is thrown a second time.",temporal references
6,25、INT. E BLOCK - NIGHT,What does the mouse do after trotting a short distance?,"It peers right and left as if checking the snoring inmates, then makes another forward spurt.","A tiny brown mouse is coming up the Mile. It trots a short distance, peers right and left as if checking the snoring inmates in their cells, then makes another forward spurt.",detailed description
7,34、INT. COFFEY'S CELL - DAY,When are the guards' jaws hanging open?,After Delacroix demonstrates the mouse's fetch trick,"By now, the guard's jaws are hanging open.",temporal references
8,26、INT. E BLOCK - DAY,What does Percy do when the mouse approaches him?,"Keeps combing his hair until he hears a squeak, then freezes and turns to see the mouse",Percy keeps working that comb--and freezes at the sound of a TINY SQUEAK. His head swivels slowly... and there's the mouse. Staring at him.,detailed description
9,1、EXT. FIELD - DAY(SLOW MOTION),What does the whispering voice say to the characters?,"You love your sister? You make any noise, know what happens?","WHISPERING VOICE (V.O.) You love your sister? You make any noise, know what happens?",dialogue/beliefs
10,18、EXT. DETTERICK FARM - DAWN (FLASHBACK),"In [18、EXT. DETTERICK FARM - DAWN (FLASHBACK)], What is Klaus Detterick's behavioral state when the scream occurs?",Urgently running toward the house after dropping the pail,"Klaus reappears, dropping the pail, running toward the house",character states
