id,scene,question,answer,evidence,qa_type
1,64、INT. SHOWER ROOM - SAME NIGHT,Why does Jim become angry when Patricia reveals she called his house?,Because she exposed his lie about his father's death.,"Patricia: 'You didn't really think you'd get away with that, Morrison. An Admiral in the United States Navy...'",causal/relational queries
2,28、INT. BACKSTAGE - THE FOG - THAT NIGHT,What does Jim say about the audience's desire for suffering?,"The greater the suffering, the more terrible the events, the greater the pleasure. They want it, it's catharsis. Like the ancient Greeks.","JIM (explains it, gentle) The greater the suffering, the more terrible the events, the greater the pleasure Jerry. They want it, it's catharsis. Like the ancient Greeks.",dialogue/beliefs
3,66、INT. NEW HAVEN STAGE - THAT NIGHT,What causes the Kids to jeer more at the cops?,The cops' apparent impotence during the confrontation.,Their apparent impotence brings redoubled jeering from the Kids.,causal/relational queries
4,57、INT. ROOM - LIMBO,Why does the Count recognize Jim?,Because he saw Jim at Ondine's with Bobby and Jimmy.,I see you at Ondine's with Bobby and Jimmy.,causal/relational queries
5,64、INT. SHOWER ROOM - SAME NIGHT,What causes Patricia to confront Jim about his father's identity?,She discovered his father is alive and an Admiral.,Patricia: 'Your Dad's a Deputy Chief of Operations...' and Jim's reaction to her phone call.,causal/relational queries
6,23、EXT. VENICE BEACH - DAY,What does Jim suggest doing with Tijuana acid?,Start a religion or plan a murder.,Jim: 'Then we'll start a religion or plan a murder or go to Tijuana.',dialogue/beliefs
7,15、EXT. SPEEDING CAR - NIGHT,"In [15、EXT. SPEEDING CAR - NIGHT], What is Jim's emotional state during the scene?",Screaming and laughing like a maniac,"Screaming, laughing like a maniac",character states
8,12、EXT. TURKEY JOINT WEST - NIGHT,"In [12、EXT. TURKEY JOINT WEST - NIGHT], What action does Jim take when considering his thoughts?","He slows, a dramatic young lion pose, surveying the girls.","He slows, a dramatic young lion pose, surveying the girls.",character states
9,19、EXT. VENICE BEACH - NIGHT,"In [19、EXT. VENICE BEACH - NIGHT], What is Pam's emotional state during her conversation with Jim?",Upset and crying,I've been real upset... She breaks into sobs,character states
10,19、EXT. VENICE BEACH - NIGHT,"In [19、EXT. VENICE BEACH - NIGHT], What is Jim's behavioral state when Pam is upset?",Comforting her by hugging and stroking her hair,He hugs her... strokes her hair affectionately,character states
11,14、INT. RAY'S CAR - FREEWAY - NIGHT,"In [14、INT. RAY'S CAR - FREEWAY - NIGHT], What is Jim's behavioral state?",Recklessly attempting to drive the car,"reaching over the wheel to try to drive the car, crawling out of the car",character states
12,65、INT. BACKSTAGE CORRIDOR - SAME NIGHT,Why does Siddons block the cops?,To prevent Jim's arrest.,Are you NUTS! ... I'm going to have to issue a warrant for his arrest.,causal/relational queries
13,26、EXT. LONDON FOG - NIGHT,How does the girl respond when asked for her ID?,She claims to be on the list despite forgetting it.,GIRL Oh please. I forgot my I.D.. I'm on the list.,detailed description
14,31、EXT. DESERT - DAY,What belief does Jim express about confronting the serpent?,Kissing the snake on the tongue without fear will lead to freedom through the garden and gate.,We must kiss the snake on the tongue... the snake will take us through the garden and out the gate. To our freedom -we must ride this snake. To the end of time.,dialogue/beliefs
15,21、EXT. VENICE ROOFTOP - NIGHT,"In [21、EXT. VENICE ROOFTOP - NIGHT], What type of books are mentioned as part of Jim's collection?","Mythological works, shamanistic books, a library of stolen ideas.","Books are everywhere -- panning Kerouac, Ginsberg, Nietzsche, Rimbaud, Mailer, Artaud, mythological works, shamanistic books, a library of stolen ideas.",objects/props
16,61、INT. ELEVATOR,Why does Pamela scream and hide her eyes during the scene?,She sees Nico and Jim's intimate moment.,"Pamela... screams loud and long, hiding his eyes... not wanting to know.",causal/relational queries
17,32、INT. CAR - MOVING - DESERT,What does Jim observe in the desert scene?,"Overturned truck, bodies in the road, an older Indian, and a dying Indian's eyes.","At the overturned truck, the bodies in the road... the older Indian looking at him... finally at the dying Indian... his eyes.",detailed description
18,22、INT. RAY'S HOUSE - VENICE BEACH - DAY,What does John suggest to improve the song's style?,Try it with a Latin beat.,How 'bout trying it with a Latin beat.,dialogue/beliefs
19,31、EXT. DESERT - DAY,What does Jim say about the serpent's appearance?,"It has a ten-foot-long head, one red eye, one green eye, and writes history on its scales.","When the serpent appears, his head is ten feet long and five feet wide. He has one red eye and one green eye... on his scales is written all the history of the world.",dialogue/beliefs
