id,scene,question,answer,evidence,qa_type
1,54、INT. PLANE - IN FLIGHT - LATER,What does Barry do when he sees the baby?,"Barry wells with tears, cringes, his veins pop, and smiles crazily.","HE WELLS WITH TEARS AND A SMILE, CRINGES IN HIS FACE AND WE SEE THE BUILD UP OF EMOTION, HIS VEINS POP FROM HIS FACE AND THEN HE SMILES LIKE CRAZY, SMILING AND SMILING AND SMILING, BRIGHT RED AND PAINFUL.",detailed description
2,1、INT. WAREHOUSE - EARLY MORNING,What caused Barry to get distracted during his phone call?,The distant sound of a car skidding and screaming.,"OC DISTANT SOUND OF A CAR SKIDDING TO A STOP, SOME VAGUE, DISTANT SCREAMING IS HEARD...THEN SILENCE. Barry hears this, gets distracted",causal/relational queries
3,12、INT. BARRY'S APARTMENT - LATER,"In [12、INT. BARRY'S APARTMENT - LATER], Why does Barry request to be called Jack?",To keep his identity confidential,I don't want anyone to know it's me.,character states
4,18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER,"In [18、INT. BARRY'S WORK/WAREHOUSE - MORNING/LATER], What action does Barry take that indicates a significant change in his behavior?",He cuts up his credit card with scissors and throws it away.,Barry paces around... cuts up his CREDIT CARD with some scissors. He throws it away.,character states
5,63、INT. ROYAL HAWAIIAN HOTEL ROOM - MOMENTS LATER,What analogy does Barry use to describe his feelings about cuteness?,Squeeze a puppy and smash its skull.,BARRY: 'Have you ever held a little puppy...you get this feeling...squeeze it...smash its skull...',dialogue/beliefs
6,23、INT. DEAN'S OFFICE/UPSTAIRS/BACKROOM - MOMENTS LATER,"In [23、INT. DEAN'S OFFICE/UPSTAIRS/BACKROOM - MOMENTS LATER], What is David's emotional state when Dean refuses to cover his expenses?",He is frustrated.,It's....whatever....that's not cool.,character states
7,28、INT. BATHROOM - MOMENTS LATER,"In [28、INT. BATHROOM - MOMENTS LATER], What is Barry's emotional state when he hits the stall?",Mad at himself and crazier after damaging the stall.,He's mad at himself and he HITS a stall....it seems loose already and falls straight to the floor. This makes him go crazier,character states
8,21、INT. LOCAL BAR/PROVO - LATER,"In [21、INT. LOCAL BAR/PROVO - LATER], What behavioral action does Dean take after being bumped?",Smashes a beer bottle and threatens Regular Joe,"Dean takes a BEER BOTTLE, SMASHES it, and holds it up while yelling",character states
9,21、INT. LOCAL BAR/PROVO - LATER,"In [21、INT. LOCAL BAR/PROVO - LATER], What is Dean's emotional state when he confronts Regular Joe?",Angry and aggressive,"Dean explodes, uses threatening language, and smashes a beer bottle",character states
10,34、INT. HALLWAY - THAT MOMENT,What does 'HOLD' indicate in the scene description?,A directive to maintain the current camera shot,HOLD.,terminology/abbreviation/concept
