id,scene,question,answer,evidence,qa_type
1,9、INT. KALE'S HOUSE - KITCHEN - DAY,What does Parker say about Kale's ability to go anywhere?,"Okay, you... are all set... to go nowhere.","PARKER (making final checks) Okay, you... are all set... to go nowhere.",dialogue/beliefs
2,7、INT. CLASSROOM - DAY - CONTINUOUS,What visual details are described when Kale's hoodie falls off?,"Longer, disheveled hair and an empty haze in his eye.","longer, disheveled hair. The spark in his eye's been replaced with an empty haze.",detailed description
3,1、EXT. BISHOP LAKE - DAY,"In [1、EXT. BISHOP LAKE - DAY], What is Jeff's behavioral state when he uses a pirate accent?",Teasing,Jeff uses a pirate accent and jokes about his family's reputation,character states
4,21、INT. LAUNDRY ROOM - DAY - LATER,"In [21、INT. LAUNDRY ROOM - DAY - LATER], What is Kale's behavioral state?","Furiously stuffing clothes into the washer, blindly cranking the knob, and pressing start.","Kale furiously stuffs clothes in the washer, blindly cranks the knob, presses start.",character states
5,34、INT. KALE'S BEDROOM - EVENING,"In [34、INT. KALE'S BEDROOM - EVENING], What is Kale's behavioral state after ending the call?","Collapses to the bed, showing distress.","flips the phone shut, collapses to the bed",character states
6,50、INT. DAD'S OFFICE - THE NEXT DAY,What caused the binoculars to hit the window?,Ronnie underestimated the distance while zoomed in.,His zoomed-in vision causes him to underestimate the distance -- THWUMP. The end of the binoculars HIT THE WINDOW.,causal/relational queries
7,57、INT. DAD'S OFFICE - NIGHT - LATER,What does Kale do after hearing the glass shatter?,He pulls himself out of the chair and slowly swings the door open.,"Kale's eyes POP OPEN. He looks around. Did he hear something or did he dream it -- he pulls himself out of the chair, makes his way to the door, slowly swings it open...",detailed description
8,55、EXT. KALE'S BACK YARD - NIGHT - MOMENTS LATER,What does Ashley say about Kale's expected state?,Ashley expected Kale to be more messed up.,ASHLEY: I thought you'd be more messed up.,dialogue/beliefs
9,47、INT. DAD'S OFFICE - NIGHT - SECONDS LATER,Why does Ashley slam the doors after her father leaves?,Because she is annoyed by the interruption and the argument.,"From her body language, she's clearly annoyed at the interruption. The scene quickly devolves into a heated argument... Ashley SLAMS the door behind him, flips off the TV, storms in the bathroom and SLAMS that door, too.",causal/relational queries
10,52、INT. KALE'S BEDROOM - LATE AFTERNOON - MOMENTS LATER,"In [52、INT. KALE'S BEDROOM - LATE AFTERNOON - MOMENTS LATER], Why does Kale panic when the Mustang's dent is gone?",It undermines his suspicion about Robert Giles,Kale's panic occurs after the binocular POV shows the Mustang's fender is no longer bashed,causal/relational queries
11,52、INT. KALE'S BEDROOM - LATE AFTERNOON - MOMENTS LATER,Why is Ashley using the binoculars to aim at Kale?,To accuse him of spying on the neighbor,Ashley points binoculars like a gun at Kale and asks if he's spying on neighbors,causal/relational queries
12,17、INT. 2ND FL HALL OUTSIDE BATHROOM - DAY,What visual detail is described about Kale's posture?,Leans against the door frame with a spent expression,"Kale opens the door, leans against the frame, spent",detailed description
13,42、INT. KALE'S BEDROOM - DAY,Why did Kale create the geometric diagram?,To support his line-of-sight spying theory.,"The penciled GEOMETRIC DIAGRAM of Kale's line-of-sight spying theory is mentioned, confirming he did the math.",causal/relational queries
14,50、INT. DAD'S OFFICE - THE NEXT DAY,Why is the FBI involved in the case mentioned?,The FBI believes the missing girl is linked to three Austin murders involving redheads.,The feds think your missing girl might be related to three murders in Austin. All redheads.,causal/relational queries
15,7、INT. CLASSROOM - DAY - CONTINUOUS,What does Minnie Tyco do during Ronnie's speech?,"She says 'Keep dreaming, perv' under her breath.","Minnie Tyco (under her breath) Keep dreaming, perv.",detailed description
16,4、INT. KALE'S HOUSE - KITCHEN - DAY - CONTINUOUS,What does Julie say about the burgers?,You're kidding. So I can actually put the burgers away this time?,You're kidding. So I can actually put the burgers away this time?,dialogue/beliefs
17,30、EXT. KALE'S HOUSE - FRONT PORCH - DAY - CONTINUOUS,"In [30、EXT. KALE'S HOUSE - FRONT PORCH - DAY - CONTINUOUS], What is Kale's emotional state after stepping on the substance?",Frustrated and angry,Kale instinctively STOMPS ON IT with his SOCKED FEET! KALE Oh shit! Shit water shit!,character states
18,49、INT. KALE'S BEDROOM - NIGHT - SHORT TIME LATER,What causes Kale to stop playing his PSP?,He notices the Mustang outside.,"Kale starts playing the PSP, then suddenly stops -- Kale (realizing) -- Mustang --",causal/relational queries
19,32、EXT. STREET - DAY - CONTINUOUS,"In [32、EXT. STREET - DAY - CONTINUOUS], What behavioral state does Kale exhibit after overhearing the conversation?",Stops cold and glances at the ankle bracelet,"Kale overhears, stops cold. He glances to the ANKLE BRACELET",character states
20,53、INT. KALE'S BEDROOM - EVENING - LATER,What do Kale and Ronnie do when Ashley mentions the fourth criterion?,They trade awkward glances and shake their heads to reassure themselves they don't have sexual dysfunction.,"Silence. Kale and Ronnie trade awkward glances, shaking their heads to each other as if reassuring themselves they don't suffer from such a condition.",detailed description
21,54、INT. KALE'S BEDROOM - NIGHT - LATER,Why did Ashley's family move according to her?,To keep dad on a shorter leash.,"ASHLEY
my mom thought it'd
help keep dad on a shorter leash.",dialogue/beliefs
22,1、EXT. BISHOP LAKE - DAY,"In [1、EXT. BISHOP LAKE - DAY], What is Kale's emotional state when he throws the rod aside?",Mock frustration,Kale throws the rod aside in mock disgust,character states
23,47、INT. DAD'S OFFICE - NIGHT - SECONDS LATER,Why does Ashley stop her yoga session?,Because Kale asked if she started without him.,"KALE: 'You started without me?' As if eerily on cue, Ashley suddenly stops.",causal/relational queries
24,45、EXT. KALE'S FRONT YARD - THE NEXT DAY,What causes Kale's spatial challenges according to his dialogue?,His ankle bracelet.,I'm a little spatially challenged at the moment. (re: ankle bracelet),causal/relational queries
25,49、INT. KALE'S BEDROOM - NIGHT - SHORT TIME LATER,Why does Kale get binoculars?,Because he noticed a dent in Giles' car.,"Kale (CONT'D) Holy shit. A dent -- Kale races to his closet, pulls down a pair of binoculars",causal/relational queries
26,36、EXT. KALE'S BACK YARD - THE NEXT DAY,"In [36、EXT. KALE'S BACK YARD - THE NEXT DAY], What is Kale's physical action involving the garden gnome?",Tying kite string around its hat.,Kale ties kite string around the gnome's hat,character states
27,6、INT. MORROW HIGH SCHOOL - HALLWAY - DAY,What does Ronnie's voiceover mention about their summer plans?,Visiting Hawaii and possibly visiting grandparents in Korea.,"Este verano, despus This summer, after visiting de visitar Hawaii, Hawaii, I will perhaps visitar a mis abuelos en Corea. Korea.",detailed description
28,45、EXT. KALE'S FRONT YARD - THE NEXT DAY,Why does Kale attempt to fall forward against the mailbox?,To grab the mail inside.,"Reaches around with his free hand, opens the door, going to grab the mail inside just as Ashley pulls the car into and up the drive.",causal/relational queries
29,15、INT. KITCHEN - MORNING | 20、INT. KALE'S BEDROOM - DAYS LATER,What does Kale state about his Xbox Live subscription after finding the bill?,Kale states that his Xbox Live subscription has been canceled.,"After tossing the syrup bottle into the trash, Kale notices a bill at the bottom of the can and reads: XBOX LIVE: SUBSCRIPTION CANCELED.",character states
30,3、INT. SUV - EVENING - CONTINUOUS - MOVING | 38、INT. 2ND FL HALL OUTSIDE DAD'S OFFICE - DAY | 43、INT. 2ND FL HALL OUTSIDE DAD'S OFFICE - DAY - MOMENTS LATER,What does Kale indicate about the situation when he smiles after hearing the splash?,"Kale indicates that he finds the splash amusing or expected, showing a positive reaction to the sudden noise.",Kale breaks into a smile after the loud splash echoes through the space.,character states
31,3、INT. SUV - EVENING - CONTINUOUS - MOVING | 38、INT. 2ND FL HALL OUTSIDE DAD'S OFFICE - DAY | 43、INT. 2ND FL HALL OUTSIDE DAD'S OFFICE - DAY - MOMENTS LATER | 47、INT. DAD'S OFFICE - NIGHT - SECONDS LATER | 49、INT. KALE'S BEDROOM - NIGHT - SHORT TIME LATER,What does Kale state about their arrival while speaking to his mother on the phone?,Kale states that they are on their way.,"Kale speaks into his phone, telling his mother they’re on their way and to start the grill.",character states
32,44、INT. DAD'S OFFICE - DAY - CONTINUOUS | 47、INT. DAD'S OFFICE - NIGHT - SECONDS LATER | 49、INT. KALE'S BEDROOM - NIGHT - SHORT TIME LATER,What does Ronnie state about Ashley when he sees her at the pool?,"Ronnie expresses astonishment upon seeing Ashley, asking who she is.","Ronnie stares, breathless, and asks, 'Oh-- my-- God. Who be she?'",character states
33,33、EXT. KALE'S FRONT YARD - DAY - CONTINUOUS | 34、INT. KALE'S BEDROOM - EVENING | 49、INT. KALE'S BEDROOM - NIGHT - SHORT TIME LATER,What does Kale state about his appearance when he sees Ashley and her parents?,Kale states that it is cool because he is all green.,"'It's cool, I'm all green,' he says.",character states
34,30、EXT. KALE'S HOUSE - FRONT PORCH - DAY - CONTINUOUS | 33、EXT. KALE'S FRONT YARD - DAY - CONTINUOUS | 28、INT. 2ND FLOOR HALLWAY/WINDOW - DAY - SECONDS LATER | 44、INT. DAD'S OFFICE - DAY - CONTINUOUS,What does Kale say when Ronnie asks about Ashley?,Kale says he does not know who she is.,"When Ronnie asks, 'Who be she?', Kale replies, 'Don't know.'",character states
35,1、EXT. BISHOP LAKE - DAY | 4、INT. KALE'S HOUSE - KITCHEN - DAY - CONTINUOUS,What does Jeff state about the weather and their time together after the fish escapes?,Jeff states that the weather is nice and comments positively on the time they are spending together.,"After a quiet moment, Jeff remarks on the good weather and their time together.",character states
36,12、INT. KALE'S HOUSE - KITCHEN - NIGHT - CONTINUOUS | 20、INT. KALE'S BEDROOM - DAYS LATER,What does Kale say when Julie suggests he see Dr. Phillips again?,"Kale responds sarcastically, suggesting the doctor might diagnose him with ADD, PTSD, and what he calls 'irritated ankle disorder.'","Kale replies sarcastically, asking if the doctor will diagnose him with ADD, PTSD, and what he calls IAD—'irritated ankle disorder.'",character states
37,4、INT. KALE'S HOUSE - KITCHEN - DAY - CONTINUOUS | 5、EXT. VACANT CLIFFSIDE PULLOFF/VIEWING AREA - EVENING - CONT,What does Jeff do when the guardrail begins to collapse and he is about to fall?,Jeff releases Kale's hand after giving him a final smile to ensure his son's safety as the wreckage falls.,"Jeff pries Kale's fingers loose, releasing his hold. The structure gives way, and the wreckage plummets. Amid the falling debris, Jeff pries Kale's fingers loose, releasing his hold.",character states
38,17、INT. 2ND FL HALL OUTSIDE BATHROOM - DAY | 29、INT. ENTRY HALL - DAY - SECONDS LATER | 30、EXT. KALE'S HOUSE - FRONT PORCH - DAY - CONTINUOUS,What does Kale state about the situation when he sees the burning bag at his door?,Kale does not make any verbal statement about the situation when he sees the burning bag at his door.,"The passage describes Kale's actions upon seeing the burning bag, such as walking down the stairs and opening the door, but does not include any spoken words or verbal reactions from him.",character states
39,5、EXT. VACANT CLIFFSIDE PULLOFF/VIEWING AREA - EVENING - CONT,What happens to the SUV after Kale pulls Jeff through the window?,The SUV breaks free and plummets into the ravine below.,"Kale grabs his wrist and pulls with all his strength, dragging him through the window just as the SUV breaks free and plummets. The vehicle crashes into the ravine below in a burst of dust and debris.",temporal references
40,43、INT. 2ND FL HALL OUTSIDE DAD'S OFFICE - DAY - MOMENTS LATER | 47、INT. DAD'S OFFICE - NIGHT - SECONDS LATER | 49、INT. KALE'S BEDROOM - NIGHT - SHORT TIME LATER,What does Kale state about his actions when he is in the room with the leather chair?,Kale states that he moves the chair to the window and watches Ashley do yoga.,"Kale enters the darkened room and quietly pulls Dad's leather chair toward the window. He adjusts its position carefully, then sits down. From this spot, he looks out across the yard toward Ashley, who is following a yoga DVD. He remains still, watching her through the window as she moves through her routine.",character states
