scene,question,answer,evidence,qa_type
22、EXT. DESERT - DAY,What does Archie believe about the art of war?,It is a stratagem to give life to many by killing the evil perpetrated by a few.,"ARCHIE GATES: 'What is the art of war, because it is not for killing people, it's a stratagem to give life to many by killing the evil perpetrated by a few'",dialogue/beliefs
5、EXT. IRAQI DESERT - DAY,Why was the Iraqi officer forcibly subdued?,He refused to disrobe as ordered.,"The Officer does not move, Troy punches his head once. Vig and Walter forcibly pull the Iraqi Officer's pants off.",causal/relational queries
4、INT. LARGE ARMY TENT - NIGHT,What does Captain Van Meter say about the beer?,"Goddamn it, where the fuck did this beer come from we gotta take more Iraqis prisoner tomorrow.","CAPTAIN VAN METER Goddamn it, where the fuck did this beer come from we gotta take more Iraqis prisoner tomorrow.",dialogue/beliefs
14、EXT. DESERT - DAY - HIGH WIDE SHOT,Why are the Iraqi guards stunned when Archie presents the document?,Because Archie presents orders from President Bush,"Orders from President Bush, step aside",causal/relational queries
30、EXT. FRONT OF BUNKER TWO - DAY,What does Vig say when the Shiites encircle the guards?,Don't start this shit again.,VIG Don't start this shit again.,dialogue/beliefs
12、EXT. DESERT DAY,What is the meaning of 'violence of action' in the passage?,"A tactic in special operations where fast, decisive movement freezes guards without firing shots.","When we pull up to the bunker, the approach is something called violence of action, which is standard in special operations. It means your movement is so fast and decisive that the guards are frozen and we haven't fired a single shot.",terminology/abbreviation/concept
31、INT. BUNKER NUMBER TWO - DAY,What does the Iraqi Captain say about Saddam's reaction to his situation?,"It's my ass, donkey dick, Saddam will shoot me dead.","IRAQI CAPTAIN It's my ass, donkey dick, Saddam will shoot me dead.",dialogue/beliefs
45、EXT. BUNKER NUMBER TWO - DAY,Describe the Shiite boy's appearance and location during the sniper incident.,A Shiite boy with an old rifle is in the third floor window of a small stone building.,WHIP PAN TO a Shiite boy with an old rifle in the third floor window of a small stone building.,detailed description
19、EXT. BUNKER - DAY,"In [19、EXT. BUNKER - DAY], What is Vig's emotional state?",Terrified,Vig looks terrified as the crowd scatters,character states
21、EXT. DESERT MARSH - DAY,"In [21、EXT. DESERT MARSH - DAY], What is Bill Smithson's emotional state?",Frustrated and bored,"This is boring, I already did this damn story, goddamn it, where the hell is the gold?",character states
40、EXT. BUNKER NUMBER TWO - DAY,When is the blood on the Iraqi soldier's hands shown?,After the soldiers tackle and pummel the Shiites.,Shiites run past throwing rocks at Iraqi soldiers 6 & 7 who tackle and pummel them to the ground. CLOSE UP: BLOOD on the Iraqi Soldier's knuckles and wrists.,temporal references
27、INT. SECOND IRAQI BUNKER - DAY,When does the Iraqi soldier run back?,After seeing Archie coming,"An IRAQI SOLDIER steps into the corridor at the far end, sees Archie coming, looks terrified, and runs back",temporal references
43、INT./EXT. HUMVEE,How does Archie appear?,In pain,Archie is in pain,detailed description
27、INT. SECOND IRAQI BUNKER - DAY,When does Archie kick the door open?,After Doc cuffs the Iraqi soldier,"Doc comes third, slamming the Iraqi face down and cuffing him. Archie kicks a door open and goes in, followed by Troy",temporal references
42、EXT. BUNKER NUMBER TWO - DAY,When does Archie get out of the Humvee?,After the Shiite Woman is shot,"Archie gets out of the Humvee and slams the door, walks slowly toward the Iraqi soldiers",temporal references
15、INT. BUNKER - DAY,"In [15、INT. BUNKER - DAY], What is the emotional state of the Iraqi soldiers?",Disoriented and scared,look disoriented and scared,character states
20、INT - THE CAB OF THE TANKER TRUCK,"In [20、INT - THE CAB OF THE TANKER TRUCK], What is the age and physical condition of the boy held by the Shiite woman?",A 7-year-old with a bandage around his chest,She holds a SHIRTLESS BOY of 7 with a bandage around his entire chest.,character states
60、INT. BUNKER - CRUDE CEMENT BATHROOM - DAY,"In [60、INT. BUNKER - CRUDE CEMENT BATHROOM - DAY], Where is Troy thrown onto the floor?",a cluttered cement bathroom with two crude toilets,Troy is thrown onto the floor of a cluttered cement bathroom with two crude toilets.,scene localization
31、INT. BUNKER NUMBER TWO - DAY,What does the Interrogator claim about Saddam's priorities?,Saddam worries more about the Shiite than the gold.,INTERROGATOR Saddam worries more about the Shiite than the gold.,dialogue/beliefs
1、EXT. IRAQI DESERT - DAY,"In [1、EXT. IRAQI DESERT - DAY], What is on Troy's helmet?",A photo-button with a photo of a newborn baby,On his helmet is a photo-button with a photo of a newborn baby.,objects/props
43、INT./EXT. HUMVEE,What is Doc doing to Archie's wound?,Pours disinfectant over the gunshot wound and wraps it,"Doc pours disinfectant over Archie's gunshot wound in his lower left arm, and wraps it",detailed description
8、INT. CAPTAIN'S TENT - DAY,What does Doc unfold next to the rumpled ass map?,An aerial-photo map of the Iraqi desert,"Doc unfolds a big aerial-photo map of the Iraqi desert, next to the rumpled ass map.",detailed description
48、INT. SHIITE BUILDING - DAY,When does the ceiling collapse?,While the family is praying.,"A SHIITE MOTHER, FATHER, AND TWO CHILDREN pray at a crude table when the ceiling collapses.",temporal references
50、EXT. DESERT - DAY,How do the Shiites react when the rocket explodes above the Humvee?,"Half hunch down, bracing for explosion while the other half crane their necks, looking up","REAR OF HUMVEE, SLOW MOTION: half the Shiites hunch down, bracing for an explosion while the other half crane their necks, looking straight up into the sky.",detailed description
