id,scene,question,answer,evidence,qa_type
1,19 INT.  DUTY ROOM/CORRIDOR/ADMIN.  POLICE STATION.  NIGHT.,What important object is handed from Berlin to Venables?,Six rolls of film.,Sure he will and six rolls of film are handed across.,objects/props
2,11 EXT.  WORKING FACE.  INFILL.  GARBAGE DUMP.  DAY.,What does Berlin believe about the suicide that indicates it was well planned?,He believes it was well rehearsed because there are three trial cuts before the fatal cut.,"He's well rehearsed .. Cut your own throat, you're nervous about it, tend to hesitate. He's got three trial cuts, lower left side of the neck, before he works up courage for the big one.",dialogue/beliefs
3,25 INT.  CRIME LAB.  POLICE STATION.  NIGHT.,What is Citrine's emotional state as he questions the connection between the cases and the absence of the body?,"He is skeptical, frustrated, and tense, doubting the case connection and pressing for answers.",CITRINE: I don't see that at all .. I don't know nothing about this 'Jennifer' girl... why's he hidden this one?,character states
4,1 INT.  COMMUNITY HALL.   DAY.,What belief does Berlin express about his current journey compared to his past behavior?,He believes he is not running away this time but moving forward intentionally.,I'm going for it coz this time I know I'm not running away - I'm actually two miles into a 600 mile journey,dialogue/beliefs
5,48 INT.  MERCEDES SEDAN.  SHASTA-TRINITY INSTITUTE.  DAY.,How does Berlin describe his reason for leaving Los Angeles?,He felt like he'd said sorry in every street and couldn't take another day of it.,I couldn't take another minute of Los Angeles .. Felt like I'd said sorry in every street in the city ..,dialogue/beliefs
6,47 INT.  RESTAURANT/DINER.  TRINITY VALLEY.  DAY.,"How does Berlin describe his dream about God, and what does God say about prayers in the dream?",God was a nasty-looking little guy who said prayers are like junk mail.,"He said, don't you listen to people's prayers? He said, prayers? Not often. They're Junk Mail.",dialogue/beliefs
7,72 INT.  APARTMENT.  INSTITUTE.  DAY.,What is the significance of the 'Forget-Me-Nots' in the scene?,"They are part of a surprise dinner setup, symbolizing remembrance.",A pathetic little table with candles and Forget-Me-Nots and can of Diet Coke by his plate.,causal/relational queries
8,68 INT.  OFFICE.  POLICE STATION.  NIGHT.,What is Berlin's emotional state when Taylor tells him he is in the wrong cabinet?,"Berlin feels humiliated and diminished, as if he is only 2 inches tall.",BERLIN feels about 2 inches tall.,character states
9,73 INT.  APARTMENT.  INSTITUTE.  DUSK.,What is Helena's emotional state when she offers to make more coffee?,"She is perceptive and empathetic, responding gently to Berlin's silence.",Coz you hardly said a word since you got here. But you been thinking pretty loud .. I'll make some more coffee.,character states
10,73 INT.  APARTMENT.  INSTITUTE.  DUSK.,What does Berlin's hesitation suggest about his emotional state before speaking to Helena?,"He is reluctant and emotionally burdened, avoiding saying something difficult.",But first he's gotta toll her something he doesn't want to hear himself.,character states
11,126 INT.  INTERROGATION ROOM.  POLICE STATION.  DAY.,What reason does Berlin give for believing the suspect targeted Miss Robertson?,The suspect feared she was a witness to his crimes and knew he was being investigated.,"BERLIN: Because he reads I'm investigating the disappearance of her friend, & Miss Robertson becomes the focus of his anxiety.",causal/relational queries
12,118 INT.  WAITING AREA.  HOSPITAL.  NIGHT.,What is the relationship between Citrine's arrival and Berlin's actions?,Citrine's arrival prompts Berlin to surrender his badge and weapon and leave.,Neither say anything because both know what this is about. Berlin stands and hands over his badge... A brief word from Citrine and he turns and walks away.,causal/relational queries
13,120 EXT.  VERANDA.  HOUSE.  DAWN.,Why does Berlin sit expressionless on the veranda despite the new items around him?,"He is overwhelmed by sorrow, guilt, and regret despite the preparations for happy times.",BERLIN sits in it with shock wearing on. Expressionless of sorrow. Though he suffers every sorrow and guilt and regret there is.,causal/relational queries
14,120 EXT.  VERANDA.  HOUSE.  DAWN.,What is the relationship between the new items on the veranda and Berlin's emotional state?,"The new items represent hope for happiness, contrasting with Berlin's inner despair.",All new paint and all new things in expectation of happy times. BERLIN sits in it with shock wearing on. Expressionless of sorrow.,causal/relational queries
15,133 INT.  INTERROGATION ROOM.  POLICE STATION.  DAY.,Why does St ANNE believe Berlin shot his partner a second time?,To make it look like the 'Serial Killer' was responsible.,"17 seconds later, you put another one in his throat .. Isn't that what happened?",causal/relational queries
16,143 INT.  LIVING ROOM.  HOUSE.  NIGHT.,Why does the psychopath want to kill Helena?,Because he believes she is a witness.,"Berlin says, 'Coz he thinks you're a witness.'",causal/relational queries
17,139 INT.  KITCHEN/LIVING ROOM/BEDROOM.  HOUSE.  DAY.,Why does the intruder call Helena 'Jenny' and refer to her as his 'little buddy'?,He manipulates her identity to assert control and establish a twisted sense of connection.,"The intruder says, 'You're my little buddy now' after threatening her with the knife.",causal/relational queries
18,174 EXT.  FREEWAY INTERSECTION.  NIGHT.,How does the camera depict the tail lights as Berlin's car moves away?,The tail lights dissolve into a river of red.,Watches tail lights dissolve into a river of red.,detailed description
19,151 INT.  WAITING AREA.  POLICE STATION.  DAY.,What specific detail does Berlin reveal about the murderer of Ross?,"The murderer has asthma and uses an inhaler, not a breath freshener.","the man that murdered Ross gets asthma - it's not a breath fresh- ner, darling - it's an asthma inhaler ..",detailed description
20,179 INT/EXT.  PHONE BOOTH.  GAS STATION.  NIGHT.,How does the camera movement depict the Chevrolet as Berlin drives away?,The camera ascends until the Chevrolet appears insignificant against the vast landscape.,Still it ascends until the Chevrolet is reduced to an insignificance by the landscape.,detailed description
21,150 INT.  INTERROGATION ROOM.  POLICE STATION.  DAY.,How does St ANNE react when he finds the notebook with Ross's accusation against Berlin?,"He confronts Berlin, reads the note aloud, and uses it to accuse him of lying.","Shakes his head in confirmation. And St ANNE finds a notebook. ... Well, he thought you did? .. Wrote it down in his book? ""John Berlin is a liar."" Right here, underlined.",character states
22,150 INT.  INTERROGATION ROOM.  POLICE STATION.  DAY.,What physical and emotional state is Berlin in by the end of the interrogation?,"Berlin is a wreck of despair, overwhelmed by grief and rage, barely maintaining his dignity.",Tears of grief and tears of rage. BERLIN can't restrain either. ... BERLIN is a wreck of despair. But somehow he keeps his dignity.,character states
23,176 INT.  CHEVY SEDAN.  FREEWAY.  NIGHT.,How is Berlin's perception of the phone ringing described in relation to his thoughts?,"The phone ringing is described as part of his thoughts, mixed with the nightmare he's hearing again.",The phone is still ringing like it's at the end of Berlin's brain. Like it's part of his thoughts mixed up with the nightmare he's hearing again.,detailed description
24,1 INT.  COMMUNITY HALL.   DAY.,What does Benny say about how he kept alcohol in his yard without violating his promise to his wife?,He buried a bottle under the lawn and drank from it through a straw.,I buried it under the lawn. Cut out a turf & stood it upright with a piece of tin-foil instead of a cork... I'm laying there with a straw stuck into the fucken lawn doing a quart of red,dialogue/beliefs
25,47 INT.  RESTAURANT/DINER.  TRINITY VALLEY.  DAY.,"What is Helena's demeanor when Berlin struggles to continue the conversation, and what does this suggest?","She sits frozen, waiting silently, suggesting discomfort or emotional distance.",HELENA sits frozen like she's waiting for results of an X-ray.,character states
