scene,question,answer,evidence,qa_type
55 内景，一楼房间，晨,男子所说的‘它可是一位出色的歌唱家’中的‘它’指的是什么？,AK-47冲锋枪,男子：是AK-47。它可是一位出色的歌唱家。,terminology/abbreviation/concept
55 内景，一楼房间，晨,男子说的‘这是它的基本旋律’中的‘基本旋律’指代什么声音？,AK-47冲锋枪的连发射击声,一阵AK-47冲锋枪的连发射击声传来。,terminology/abbreviation/concept
59 内景，诗人住处，日,妓女B说了什么关于自己身体状况的话？,我好像怀孕了。,妓女B：我好像怀孕了。,dialogue/beliefs
63 内景，废屋，夜,诗人通过画外音表达了怎样的信念？,父亲牺牲自己是为了救他，他感到与父亲融为一体。,"爸爸
你牺牲自己
是为了救我
今天早晨
我感到分外宁静
仿佛活在你的体内
仿佛活在你的轮廓
步伐和举止之中",dialogue/beliefs
87 外景，街边，夜,老板娘的儿子当时的身体状态是什么？,已经死去，浑身是血,老板娘的儿子躺在人群中间。儿子浑身是血，像抹了一身红色油漆。,character states
7 外景，小吃摊，日,伙伴B如何看待医生的建议？,他认为医生的建议是胡说八道，怀疑是屠夫。,伙伴B：哈哈，胡说八道。你看得起医生？我看你是去看屠夫了。,dialogue/beliefs
1 外景，街道，白天,车夫的父亲为什么劝他找别的出路？,因为蹬三轮车无法改变贫困生活，且毫无前途。,父亲（画外音）：孩子，你听着，我们家一直靠蹬三轮车为生，从早到晚必须要不停地蹬车，才能糊口。吃、睡都得在街上，腰经常会疼得无法起床。这就是我的全部生活，根本没什么前途，到死也不会给你留下什么。所以你得好好想想，去试着找找更好的路子。,causal/relational queries
28 外景，街巷，日,诗人为什么指责车夫乱说大胡子偷车？,因为诗人认为大胡子是自己人，也为老板娘工作。,诗人：乱说。他是自己人。也为老板娘工作。,causal/relational queries
28 外景，街巷，日,白衬衣推车夫的举动与诗人和车夫之间的对话有何关系？,白衬衣推车夫是在诗人否认大胡子偷车后，示意车夫停止争论。,诗人：乱说。他是自己人。也为老板娘工作。诗人没有停下来……走在车夫后面的白衬衣推了一下车夫。白衬衣：走吧。,causal/relational queries
31 内景，诗人住处内外，日,诗人的情绪状态如何？,满脸忧郁，沉默寡言，情绪低落。,诗人在屋里一张躺椅上躺下来，看着手里的一个烟盒，满脸忧郁。,character states
31 内景，诗人住处内外，日,妓女B见到诗人走来时的身体和情绪反应是什么？,一脸忧郁，背过身走了几步站住，随后闭眼靠在诗人肩上。,妓女B也是一脸忧郁，她见诗人走来，背过身走了几步站住。诗人上来站在她后面……妓女B闭眼靠在诗人的肩上。,character states
35 外景，垃圾堆旁，日,诗人为什么感到举目犹豫？,因为他亏欠祖先的恩德，难以忘怀。,"我亏欠祖先的恩德
难以忘怀
我举目犹豫",causal/relational queries
41 内景，诗人住处，日,姐姐脱下裙子并接受嫖客为其穿丝袜、洗脚等一系列行为的原因是什么？,姐姐感觉到了嫖客的温柔。,姐姐似乎开始感觉到了嫖客的温柔，静静地等待下一步。,causal/relational queries
44 内景，废屋，日,黑衬衣说车夫是高手，这与什么行为有关？,与车夫单枪匹马烧店的行为有关。,黑衬衣：不错，单枪匹马，你还是个高手呢。,causal/relational queries
66 外景，胡同，日,木棒上的钉子挂着什么？,大胡子血淋淋的眼珠,木棒上有一颗钉子，钉子上挂着大胡子血淋淋的眼珠。,terminology/abbreviation/concept
49 外景，废屋外走廊，日,诗人为什么对身后的两个手下喊话？,因为他手受伤了，情绪不高兴，要手下带车夫去见卢尔比先生。,诗人的手在打车夫时受了点伤，他用嘴在伤口处吸了吸，一脸的不高兴，对着身后的两个手下喊道。诗人：带他去见卢尔比先生！,causal/relational queries
49 外景，废屋外走廊，日,诗人让手下带车夫去见卢尔比先生的原因是什么？,诗人刚打了车夫并受了伤，情绪不佳，于是下令带车夫去见卢尔比先生。,诗人的手在打车夫时受了点伤，他用嘴在伤口处吸了吸，一脸的不高兴，对着身后的两个手下喊道。诗人：带他去见卢尔比先生！,causal/relational queries
63 内景，废屋，夜,诗人通过画外音对父亲的人生道路有何表述？,父亲把血脉唤作人生的路途。,"你把血脉唤作人生的路途
现在我恍然大悟了",dialogue/beliefs
87 外景，街边，夜,老板娘在看到儿子尸体时的情绪状态如何？,异常平静,老板娘把脸贴在儿子的脸上，脸上异常的平静。,character states
84 内景，老板娘家，夜,老板娘听到刹车声后的反应是什么？,她愣了一下，预感不妙，飞快向屋外冲去。,她愣了一下，预感不妙，飞快向屋外冲去。,character states
84 内景，老板娘家，夜,老板娘在听到刹车声时的情绪状态如何？,她感到惊愕并预感不妙。,她愣了一下，预感不妙，飞快向屋外冲去。,character states
91 外景，寺庙，深夜,姐姐在烧香时的情绪状态如何？,悲痛欲绝,姐姐哭着挤在一个大香炉前，边烧香边流泪，悲痛欲绝。,character states
91 外景，寺庙，深夜,姐姐的身体或行为状态是怎样的？,哭着挤在香炉前，边烧香边流泪,姐姐哭着挤在一个大香炉前，边烧香边流泪，悲痛欲绝。,character states
94 内景，废屋，日,猫回来的前一天发生了什么？,猫被认为死了，但实际上没有。,昨天猫回来了，我们还以为它死了呢，可是它却比以前更漂亮了,temporal references
93 内景，废屋，清晨,车夫在故事开始时处于什么状态？,昏睡且身体被蓝漆粘住。,白衬衣和黑衬衣正看着一身涂着蓝漆还在昏睡的车夫。漆已经凝固了。,character states
93 内景，废屋，清晨,黑衬衣和白衬衣对车夫的态度表现出怎样的情绪状态？,带有警告但最终表现出告别与祝福的复杂情绪。,黑衬衣：你把昨天的事搞砸了，卢尔比先生本来要宰了你的。……黑衬衣：从今天开始就是猪年了。我祝你一切平安，健康快乐，像其他人一样过正常的日子。,character states
89 外景，诗人家外，夜,车夫在诗人家起火时处于什么精神状态？,恍恍惚惚，对外界发生的事好像一无所知。,车夫还是恍恍惚惚的样子，他对外面发生的事好像一无所知,character states
89 外景，诗人家外，夜,车夫用蓝色油漆涂满自己后，身体和行为状态发生了什么变化？,成为蓝色的人，躺在油漆上，用塑料袋套头窒息后又挣脱。,车夫成了一个蓝色的人。车夫把油漆倒在地上，然后在地上抹出一大片，躺在这片油漆上。车夫拿起地上一个塑料袋，把它套在自己的脑袋上，把袋口用手扎紧。塑料袋随着车夫的呼吸一胀一缩。车夫的呼吸急促起来。车夫终于不能呼吸了，像死了一样屏住呼吸。车夫猛地拿掉塑料袋，大口大口地喘着气。,character states
21 内景，迪厅，夜,被男青年和车夫架着离开的男子当时的行为状态是什么？,起初不让扶，后来不再挣扎。,要扶他，男子不让……男子终于没再挣扎，被男青年和车夫架着往外走,character states
13 外景，街道，夜,车夫对爷爷说了什么话表明该离开了？,爷爷，咱们走吧，很晚了。,车夫：爷爷，咱们走吧，很晚了。,dialogue/beliefs
7 外景，小吃摊，日,伙伴A对乱吃药有什么担忧？,乱吃药可能会导致性无能。,伙伴A：喝了水又要流汗，更让人疲劳。而且医生警告过我，说乱吃药可能会性无能的。,dialogue/beliefs
1 外景，街道，白天,车夫看到贷款政策后为何没有立即行动？,他看完后沉默收起报纸，未表现出申请意愿。,车夫仔细看了看那一段内容，没说什么，收起报纸站起来，走到三轮车前把报纸放回车后的布兜里。,causal/relational queries
21 内景，迪厅，夜,男青年要找的人在舞池中的身体状态如何？,已经喝醉，东倒西歪。,男子显然已经喝醉了，东倒西歪的样子,character states
26 外景，街道，日,大胡子青年在殴打车夫时表现出怎样的角色状态？,显然是个首领,其中一个大胡子青年显然是个首领，他一直在旁边看着，这时走上来狠狠对着车夫的腹部踢了一脚，四人扬长而去。,character states
30 内景，废屋，日,车夫在屋内的身体状况如何？,腹部被踢伤，感到疼痛。,被人踢伤的腹部突然疼起来，车夫痛苦地捂着腹部来到通往阳台的门前。,character states
30 内景，废屋，日,诗人当时的表情和行为状态是怎样的？,脸上毫无表情，沉默、抽烟、盯着地面。,诗人还是不说话，只看着地面，脸上毫无表情。诗人把烟扔了……诗人又开始抽烟。,character states
35 外景，垃圾堆旁，日,诗中提到的‘没名字的’指的是什么？,没名字的是河流。,没名字的是河流,causal/relational queries
39 外景，小巷，日,车夫为什么在没有警察追赶后仍然跑得很快？,因为他可能仍感到恐惧或担心危险未解除。,车夫穿行在小巷里，身后已经没有警察追，但车夫仍然跑得很快。,causal/relational queries
37 内景，老板娘家卧室，夜,诗人和老板娘在饥荒期间开始喝酒是什么时候？,他们十六七岁时，饥荒期间。,老板娘：我们彼此相爱，那时候只有十六七岁。为了忘记饥饿，我们就喝酒……,temporal references
41 内景，诗人住处，日,嫖客为姐姐洗脚并涂抹指甲油的行为导致了姐姐怎样的反应？,姐姐轻轻地笑了。,可能是很痒或者很舒服，姐姐轻轻地笑了。,causal/relational queries
44 内景，废屋，日,车夫为什么认为警察抓不到他？,因为他熟悉所有的小路。,车夫（得意地）：警察抓不到我的，我熟悉所有的小路。,causal/relational queries
48 内景，废屋，日,车夫突然表达了什么愿望？,我想加入帮会。,车夫：我想加入帮会。,dialogue/beliefs
46 内景，废屋，日,姐姐在阳台上拿着什么物品寻找诗人？,诗人的一件衬衣,对面楼里姐姐拿着诗人的一件衬衣从房间里走出来，站在阳台四处张望，寻找着诗人。,objects/props
52 内景，诗人住处，拂晓,卡车正在运输什么物品？,一架报废的军用直升机,一辆卡车拉着一架报废的军用直升机，在拐弯时直升机翻了。,objects/props
56 外景，飞机酒吧，夜,女歌手在舞台上演唱的歌词中反复提到的一句是什么？,我剩下的只有你,我剩下的只有你,dialogue/beliefs
56 外景，飞机酒吧，夜,诗人对姐姐表达了怎样的情感动作？,轻轻抚弄着姐姐的头发,诗人轻轻抚弄着姐姐的头发———,dialogue/beliefs
58 内景，诗人住处，日,妓女A在被泼水后说了什么威胁的话？,再不停我就把这个花瓶摔了。,妓女A：再不停我就把这个花瓶摔了。,dialogue/beliefs
58 内景，诗人住处，日,妓女A用什么方式表达她对继续玩闹的不满？,她威胁要摔掉手中的花瓶。,妓女A：再不停我就把这个花瓶摔了。,dialogue/beliefs
