id,scene,question,answer,evidence,qa_type
1,54、EXT./INT. ST. CLOUD'S ROAD - TRUCK CAB - DAY,Why does Homer mention the incinerator compared to their current situation?,To highlight their survival as preferable to a worse fate.,We could have ended up in the incinerator!... Happy to be alive,causal/relational queries
2,67、INT. GIRLS' DIVISION - NIGHT,What is Mary Agnes doing in the girls' washroom?,Repetitively slapping her face in front of the mirror by the sinks.,"In the girls' washroom, in front of the mirror by the row of sinks, Mary Agnes is repeatedly slapping her face.",detailed description
3,57、INT. CORRIDOR - DAY,Why can't Homer get excited according to his own explanation?,Because he has a heart defect that prevents him from getting excited.,"Homer They wouldn't take me. I'm Class IV--I've got a heart defect. No strain, no stress. I try to keep calm all the time.",causal/relational queries
4,4、INT. LARCH'S OFFICE - DAY,"In [4、INT. LARCH'S OFFICE - DAY], Who possesses the infant before handing him over?",Dr. Larch,"Dr. Larch shows couple #1 their newly adopted son, HOMER, an infant who lies smiling in Dr. Larch's arms.",objects/props
5,55、EXT. ORPHANAGE DRIVEWAY - DAY,Why does Wally give chocolates to the children?,"To ease his anxiety about Larch, Homer, and Buster","Nervously, Wally gives the children chocolates. They are anxious of Larch and Homer and Buster...",causal/relational queries
6,57、INT. CORRIDOR - DAY,Why did Wally open the window after exiting the O.R.?,To regain composure after the ether's smell affected him.,Wally breathes deeply to regain his composure. WALLY I think it was the ether--the smell got to me.,causal/relational queries
7,32、EXT. ST. CLOUD'S - THE HILL - NIGHT,When does the evening come according to Edna's dialogue?,When the shadows lengthen and the busy world is hushed,"until the shadows lengthen and the evening comes, and the busy world is hushed, and the fever of life is over, and our work is done",temporal references
8,37、INT. BABY ROOM - MORNING,What does Larch claim about naming the baby?,Henceforth you shall be... Little Dorrit!,LARCH: Henceforth you shall be... Little Dorrit!,dialogue/beliefs
9,56、INT. LARCH'S OFFICE - DAY,What causes Edna to correct her statement?,She sees that all three have misunderstood her.,Edna quickly sees that all three of them have misunderstood her.,causal/relational queries
10,56、INT. LARCH'S OFFICE - DAY,Why is Wally relieved after Homer's response?,Because Homer says Dr. Larch will perform the procedure.,No. Dr. Larch will be performing the procedure.,causal/relational queries
11,28、INT. DINING HALL - AFTERNOON,What emotion does Buster express toward Dr. Larch?,Disgust.,"Buster makes a face, disgusted.",dialogue/beliefs
12,45、INT. HOSPITAL ROOM - NIGHT,Why does the distraught woman hold Homer's head against her belly?,Because she believes no one should have a baby without someone wanting to connect with it.,You shouldn't have a baby if there's no one who wants to put his face right there!,causal/relational queries
13,26、INT. DELIVERY ROOM - DAY,"In [26、INT. DELIVERY ROOM - DAY], What is Carla's emotional state after giving birth?",Distressed and anxious.,"Carla screams, refuses to see the baby, and avoids knowing the sex.",character states
14,24、INT. CORRIDOR - DAY,"In [24、INT. CORRIDOR - DAY], What belief does Larch express about helping women?",You have to feel obligated to help women who can't get help elsewhere.,LARCH: How can you not feel *obligated* to help them when they can't get help anywhere else?,dialogue/beliefs
