scene,question,answer,evidence,qa_type
35、INT. BRIDGE OF RELIANT,What action does Chekov perform as the camera widens?,Chekov turns away as the camera widens to reveal Khan by his side.,"Chekov, in a matched cut, turns away as CAMERA WIDENS TO REVEAL KHAN by his side.",detailed description
2、INT. ENTERPRISE BRIDGE - ANOTHER ANGLE,What happens to Sulu when the Enterprise is hit?,Sulu is hurled from his station.,"Sulu does his best, but Enterprise is hit; Sulu is hurled from his station, and Bones hurries to him.",detailed description
16、INT. RELIANT BRIDGE,"In [16、INT. RELIANT BRIDGE], What does Beach order Kyle to muster?",A landing party with full arms,muster a landing party with full arms,objects/props
5、INT. BRIDGE OF RELIANT,What does Terrell propose regarding the anomaly?,Contact Doctor Marcus to see if it can be transplanted.,"TERRELL
All right, let's get on the Comm-pic to
Doctor Marcus. Maybe it's something
we can transplant.",dialogue/beliefs
4、EXT. DEEP SPACE - NEAR CETI ALPHA V,"In [4、EXT. DEEP SPACE - NEAR CETI ALPHA V], Why is the USS Reliant approaching CETI ALPHA V?",To test the Genesis Experiments on a lifeless planet.,Starship log... project code name GENESIS... suitable test site for the Genesis Experiments.,causal/relational queries
"8、INT. CORRIDOR, SPACE STATION REGULA I",What does David say about procrastination?,Never put off tomorrow what you can put off today.,DAVID: Never put off tomorrow what you can put off today.,dialogue/beliefs
15、INT. CARGO HOLD - CETI ALPHA V,"In [15、INT. CARGO HOLD - CETI ALPHA V], What is Khan's role according to Chekov?","A criminal, a product of late 20th Century genetic engineering","CHEKOV: A criminal, Captain -- a product of the late 20th Century genetic engineering --",character states
43、INT. SPOCK'S QUARTERS,How does Kirk react when Spock states he has no ego?,Smiles in bemused wonderment.,Kirk smiles in bemused wonderment.,detailed description
53、INT. ENTERPRISE BRIDGE - FAVORING SPOCK,What action does Kirk take after Spock's warning?,He orders to raise shields and energize phasers.,"KIRK Raise shields! Energize phasers, stand by to --",detailed description
42、EXT. SPACE - ENTERPRISE (FEATURE STOCK),What action does the ship take after accelerating?,It undergoes an eye-filled burst and whips ahead to warp speed.,"The ship accelerates, and then, with an eye-filled burst, whips ahead to warp speed, disappearing.",detailed description
58、INT. ENTERPRISE BRIDGE,What caused the bridge to shake and fires to erupt?,Photon torpedoes striking the ship,"Photon torpedoes approach... Hang on! The bridge is shaken badly, screens go dark, fires spark and erupt",causal/relational queries
5、INT. BRIDGE OF RELIANT,What does Chekov suggest about the energy flux reading?,It could be a particle of preanimate matter.,"CHEKOV
I suppose it
could
be a particle
of preanimate matter caught in the
matrix...",dialogue/beliefs
15、INT. CARGO HOLD - CETI ALPHA V,"In [15、INT. CARGO HOLD - CETI ALPHA V], What was Khan's past status?",A prince with power over millions,"KHAN: On earth, two hundred years ago, I was a prince, with power over millions",character states
54、EXT.SPACE,What action is Reliant taking against the Enterprise?,Reliant firing phasers at Enterprise,Reliant firing phasers at Enterprise,detailed description
39、INT. KIRK'S QUARTERS,"In [39、INT. KIRK'S QUARTERS], What is Kirk's emotional state during the transmission?",Frustrated,Kirk is described as frustrated and pounds the Comm in frustration.,character states
38、INT. ENTERPRISE CORRIDOR,When does Kirk advise Saavik to retake the Kobayashi Maru test?,After their conversation about her performance on the test,KIRK: Take the test again.,temporal references
52、INT. RELIANT BRIDGE,What is Khan doing as the engine room prepares to fire?,"Half out of his seat, sweating with anticipation.","Khan is half out of his seat, sweating with anticipation.",detailed description
56、INT. ENTERPRISE BRIDGE,When does Scotty respond to Kirk's call?,After Uhura turns off the intercom channels and there's a dead silence,"Uhura does. There is a dead silence. Then: UHURA Mr. Scott on discrete. KIRK Scotty, let's have it.",temporal references
49、INT. BRIDGE - THE RELIANT,What does Khan instruct the helmsman to do?,Slow to one-half impulse power,KHAN (almost sing-song with joy) Slow to one-half impulse power.,detailed description
56、INT. ENTERPRISE BRIDGE,When is the Medical Alert issued?,After the bridge is righting and crew members return to stations,"Crew members getting back to their stations. On speaker, we hear the CRIES AND SHOUTS of the Engine Room. INTERCOM VOICE Medical Alert: Engine Room.",temporal references
46、INT. KIRK'S QUARTERS,"In [46、INT. KIRK'S QUARTERS], What is Project Genesis?",A procedure to restructure molecular matter into identical mass,Genesis is a procedure whereby the molecular structure of any given matter can be restructured -- changed -- into anything else of identical mass.,terminology/abbreviation/concept
"25、INT. BRIDGE, ENTERPRISE","In [25、INT. BRIDGE, ENTERPRISE], What is Spock's emotional state during Saavik's first piloting?",Enjoying Kirk's reaction,Spock enjoys it,character states
18、INT. SPACE SHUTTLE,"In [18、INT. SPACE SHUTTLE], What is Sulu's emotional state when thanking Kirk?",Embarrassed,Sulu (embarrassed),character states
27、INT. ENTERPRISE BRIDGE,When does Kirk shake his head?,After Bones asks if he wants a tranquilizer,BONES (sotto voice) Would you like a tranquilizer? Kirk shakes his head,temporal references
22、INT. ENTERPRISE ENGINE ROOM - LOOKING DOWN,"In [22、INT. ENTERPRISE ENGINE ROOM - LOOKING DOWN], What is Kirk's emotional state when he calls Preston a tiger?",Amused,Kirk looks amused,character states
11、EXT. SURFACE CETI ALPHA V,"In [11、EXT. SURFACE CETI ALPHA V], What is Chekov's emotional state when he encounters the ruins?",Chekov is worried.,Chekov is worried; something about all this is familiar.,character states
44、EXT. SPACE STATION REGULA I,"In [44、EXT. SPACE STATION REGULA I], What does 'FILTERED' indicate about Uhura's voice?",The voice is processed or altered in transmission.,"OVER we can hear, FILTERED, UHURA'S VOICE:",terminology/abbreviation/concept
21、INT. ENTERPRISE DOCKING BAY,What causes Scotty to exchange a glance with Bones?,He is uncomfortable discussing his 'wee bout'.,"Uncomfortable, Scotty exchanges a glance with Bones -- BONES: Shore leave, Admiral.",causal/relational queries
6、EXT. DEEP SPACE - REGULA I SPACE STATION,"In [6、EXT. DEEP SPACE - REGULA I SPACE STATION], Where is the scientific complex located?",Orbiting the small barren plantoid Regula,"A functional cluster of modules serve as a scientific complex, a futuristic White Sands, orbiting a small barren plantoid in b.g.: Regula.",scene localization
46、INT. KIRK'S QUARTERS,"In [46、INT. KIRK'S QUARTERS], What is the Genesis device?",A torpedo used to initiate the Genesis effect on a planetary scale,Introduce what we call the Genesis device or 'torpedo' into the targeted area of a lifeless space body,terminology/abbreviation/concept
58、INT. ENTERPRISE BRIDGE,Why was diverting power to phasers ineffective?,Photon torpedoes were already approaching,"Divert everything to the phasers -- ... Too late -- On VISUAL SCREEN, Photon torpedoes approach",causal/relational queries
35、INT. BRIDGE OF RELIANT,How does Khan react as the scene moves in?,"Khan smiles, appearing more charming than ever.","Khan smiles, more charming than ever as we move in.",detailed description
21、INT. ENTERPRISE DOCKING BAY,"In [21、INT. ENTERPRISE DOCKING BAY], Why does Saavik stiffen when Kirk speaks to her?",Humor is not her forte.,Saavik stiffens slightly -- humor is not her forte.,causal/relational queries
4、EXT. DEEP SPACE - NEAR CETI ALPHA V,"In [4、EXT. DEEP SPACE - NEAR CETI ALPHA V], What is the relationship between the 16th planet visit and the Genesis project?",The 16th visit aims to find a suitable test site for Genesis.,This is the 16th planet... search for a lifeless planet... Genesis Experiments.,causal/relational queries
"8、INT. CORRIDOR, SPACE STATION REGULA I",What does Carol believe about Jim Kirk?,He was never a Boy Scout.,"CAROL: Jim Kirk was many things, but he was never a Boy Scout...",dialogue/beliefs
41、INT. ENTERPRISE BRIDGE,What is the function of 'Starfleet Command' in the passage?,It issues orders to assume command of the vessel.,"By order of Starfleet Command, as of now, I am assuming command of this vessel.",terminology/abbreviation/concept
