scene,question,answer,evidence,qa_type
7、INT. MAIN HOUSE - DINING ROOM - NIGHT,What belief does Louise express about the stairs?,The Good Lord's liable to snatch two souls if she keeps climbing the stairs.,LOUISE ... The Good Lord's liable to snatch up two unwillin' souls at the same time if I keep on trampin' up those stairs...,dialogue/beliefs
"1、EXT. TOWNHOUSE GARDEN - WASHINGTON, D.C. - AFTERNOON","In [1、EXT. TOWNHOUSE GARDEN - WASHINGTON, D.C. - AFTERNOON], What is Chance's behavioral state while working?","Working slowly and precisely, engrossed in his surroundings","He works slowly, precisely, obviously engrossed in his surroundings.",character states
24、INT. DINING ROOM - DAY,"In [24、INT. DINING ROOM - DAY], How does Chance behave when meeting Franklin and Hayes?","He remains calm, shakes hands warmly, and smiles.","a smile, totally at ease; takes Franklin's hand warmly",character states
17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING,"In [17、INT. MAIN HOUSE - OLD MAN'S ROOM - MORNING], What emotional state does Chance exhibit upon entering the room?",Respect and curiosity,"we sense a feeling of respect from Chance, as well as a bit of curiosity",character states
26、EXT. GARDEN - AFTERNOON,"In [26、EXT. GARDEN - AFTERNOON], What emotional state does Chance exhibit while describing his garden?",Pride.,describes his garden with pride,character states
18、EXT. GARDEN - MORNING,"In [18、EXT. GARDEN - MORNING], What is Louise's emotional state during her interaction with Chance?","Caring, as she shows concern and touches his shoulder.","She smiles slightly, with caring, and puts a hand on his shoulder.",character states
19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,Why are the two men in white carrying a stretcher?,They are transporting the old man's body.,Two men in white carrying a stretcher down the main staircase. She notices the ease with which they bring the Old Man's body down the stairs.,causal/relational queries
"40、EXT. WASHINGTON, D.C. STREET - LATE AFTERNOON",What is the function of the statue of Benito Juarez in the scene?,To indicate the direction Chance should go.,"He turns, looks behind him and sees a large statue of Benito Juarez pointing. Chance smiles and goes off in the direction that Benito points.",terminology/abbreviation/concept
56、INT. RAND DINING ROOM - NIGHT,What does Rand believe is harming business growth?,Kid-lawyers from the SEC.,RAND: 'Today the businessman is at the mercy of kid-lawyers from the SEC. All they want to do is regulate our natural growth!',dialogue/beliefs
55、INT. RAND'S HOSPITAL ROOM - NIGHT,What does Rand say about his wealth and sickness?,He would rather be wealthy and sick than poor and sick.,I think I would rather be wealthy and sick than poor and sick.,dialogue/beliefs
62、INT. RAND'S HOSPITAL ROOM - MORNING,What does Rand admire about Chance?,His peaceful nature and balance.,RAND: 'You're a truly peaceful man... your marvelous balance.',dialogue/beliefs
58、INT. MANSION - ELEVATOR - NIGHT,What does Wilson say when he apologizes?,"Wilson apologizes for laughing, citing he knew Chance would make another joke about the elevator.","WILSON (laughing, trying to apologize) ... Sorry, sir - I just couldn't contain myself... I knew you were going to come out with another one of your jests about the elevator...",dialogue/beliefs
57、INT. RAND'S POOL ROOM - NIGHT,What does Rand believe about the financial assistance program he proposes?,"Rand believes it will help businessmen harmed by inflation, taxes, and unions.","Rand: 'I've been thinking about beginning a financial assistance program... to help out American businessmen that have been harassed by inflation, excessive taxation, unions and other indecencies...'",dialogue/beliefs
3、INT. POTTING ROOM - AFTERNOON,How does the television create color in the Potting Room?,A wheel with colored gels spins on the screen.,"Attached to the front of the screen is a wheel containing colored gels. The wheels spins, creates an early form of color TV.",detailed description
19、INT. MAIN HOUSE - FRONT HALLWAY - MORNING,Why does Louise block the stretcher bearers?,She wants to exit the building first.,Louise steps in front of them. LOUISE (CONT'D) (to stretcher bearers) Wait up! I'm goin' out that door first.,causal/relational queries
61、INT. RAND MANSION - HALLWAY - MORNING,What does Chance request upon being approached?,He wants to see Ben.,"CHANCE: Yes, I would like to see Ben.",dialogue/beliefs
62、INT. RAND'S HOSPITAL ROOM - MORNING,What does Rand say about his appearance before the President?,He used make-up to avoid seeming like he was dying.,RAND: 'It's all make-up... I didn't want the President to think I was going to die during our talk.',dialogue/beliefs
18、EXT. GARDEN - MORNING,"In [18、EXT. GARDEN - MORNING], What is Chance's behavioral state while Louise is speaking to him?","Resumes working and continues working, focused on tasks.",He resumes working and keeps working while Louise speaks.,character states
27、INT. GARAGE - AFTERNOON,"In [27、INT. GARAGE - AFTERNOON], What is Chance's emotional state when asked about driving the car?",He blushes slightly.,"Chance is silent for a moment, he blushes slightly.",character states
55、INT. RAND'S HOSPITAL ROOM - NIGHT,What does Chance say about the hospital?,He says he's never seen anything like it on television.,I understand. I've never seen anything like this on television.,dialogue/beliefs
