scene,question,answer,evidence,qa_type
43、INT WESTLAKE LAB/APARTMENT - DAY,What belief does Peyton express about his relationship with Julie?,He fears she no longer recognizes or loves him after the fire.,"PEYTON grabs the picture. In a fire ravaged voice; PEYTON When I'm W Do you still love me, now W can no u just some repulsive thing yo longer recognize? When I sicken YOU. When you run.",dialogue/beliefs
7、INT. HUNT CLUB LOBBY- DAY,How does Strack Sr. react when accepting Julie?,He scowls and ungraciously accepts her,"STRACK SR. scowls, ungraciously accepting her",detailed description
58、EXT. HIGH RISE - DAY,Why is Pauly trying to shriek?,Because he is falling,"Falling, trying to find the air to shriek as",causal/relational queries
58、EXT. HIGH RISE - DAY,Why does the skyscraper blur past?,Because Pauly is falling,THE SKYSCRAPER blurs past,causal/relational queries
12、INT LIMOUSINE - TEXACO STATION - DAY,"In [12、INT LIMOUSINE - TEXACO STATION - DAY], What is STRACK SR.'s emotional state?",Angry and frustrated.,What the hell! You should be. This'll come out of your wages.,character states
25、INT STRACK'S OFFICE - DAY,"In [25、INT STRACK'S OFFICE - DAY], What is Strack's emotional state when discussing his father's loss?","He displays a faint smile and refers to his father as a great man, indicating restrained grief.","STRACK (FAINT SMILE) Maison Reme 1967? ... My father was a great man, and his loss is felt by all of us.",character states
25、INT STRACK'S OFFICE - DAY,"In [25、INT STRACK'S OFFICE - DAY], How does Julie respond to Strack's question about being shocked by the bribes?","She responds hesitantly and quietly, indicating apprehension.","JULIE (QUIETLY) No. In fact I'd surmised as much. ... Julie continues, hesitantly:",character states
23、EXT. CITY STREET - MORNING,"In [23、EXT. CITY STREET - MORNING], What is Julie's emotional state when Peyton proposes?",Panicked and conflicted about marriage.,Freezes half in and half out of the cab door. Panicked.,character states
22、INT WESTLAKE LAB - MORNING,"In [22、INT WESTLAKE LAB - MORNING], What is Julie's emotional state when she is going over the papers?",Increasingly disturbed,her expression increasingly disturbed,character states
8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY,"In [8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY], What is Julie's behavioral state when she interacts with Strack Sr.?",She silences him by digging her heel into his toe,high heel as it digs into Strack Sr's toe to silence him.,character states
8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY,"In [8、INT HUNT CLUB PRIVATE DINING. ROOM - DAY], What is Strack Jr.'s emotional state during the negotiation?",Trying to suppress a smile,Strack Jr. tries to suppress a smile.,character states
64、EXT. DURANT'S HOME - NIGHT,"In [64、EXT. DURANT'S HOME - NIGHT], What object is attached to the phone junction box and emits a flashing red light?",An electronic bug,An electronic bug attached to one of the terminals gives off a flashing red light.,objects/props
30、INT. WESTLAKE LAB - DAY - PEYTON,What does Durant imply about the houseboy's situation?,That it should jog Peyton's memory,DURANT: Should your houseboy's predicament not jog your memory...,dialogue/beliefs
19、INT. WESTLAKE LAB BUILDING - NIGHT,"In [19、INT. WESTLAKE LAB BUILDING - NIGHT], How does Julie behave when she reaches the landing?",She halts to listen and acts cautiously,She halts halfway up the stairs to listen... Julie reaches the landing and knocks... causing the door to open with a CREAK...,character states
61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE,What causes Peyton to flee from Julie after appearing to her?,"His synthetic cheek is melting, causing him to hide it",PEYTON'S EYES widen in alarm. He turns one side of his face sharply away from Julie... HIS SYNTHETIC CHEEK is melting,causal/relational queries
61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE,"In [61、EXT. CEMETERY - DAY - WIDE SHOT OF JULIE], Why does Peyton's face begin to melt when exposed to sunlight?",Because he was burned and his synthetic cheek is melting,HIS SYNTHETIC CHEEK is melting where the bright sunlight has burned through,causal/relational queries
