id,scene,question,answer,evidence,qa_type
1,55、INT. FITCH SENIOR HIGH SCHOOL/GYM - DAY,Why does Alex hesitate to confront Stan?,Alex is afraid of Stan's physical dominance and feels too small to compete.,ALEX: 'I'm too small anyway.' and 'You don't need to be afraid of them.',causal/relational queries
2,3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,What does Mike say about his nerves regarding the scout event?,This whole scout thing's got me wicked nervous.,"MIKE
I'm glad you're here, Scar. This
whole scout thing's got me wicked
nervous.",dialogue/beliefs
3,28、INT. AUDI - MOMENTS LATER,"In [28、INT. AUDI - MOMENTS LATER], What was Stan and Maggie's behavioral state before Mike intervened?",Making out,Stan and Maggie making out against Stan's Mustang,character states
4,24、EXT. ED'S HOUSE/BACKYARD - LATER,"In [24、EXT. ED'S HOUSE/BACKYARD - LATER], What is Mike's emotional state when he sees the toaster in the water?",Mike is frightened and panicking.,"Mike screams. Nothing happens. Light bulb goes off. He leaps out, runs for the house.",character states
5,3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT,What does Mike tell Ed about his appearance?,I can't help you with the girls if you keep showing up places dressed like the Cookie Crisp guy.,"MIKE
Ed, I can't help you with the girls
if you keep showing up places
dressed like the Cookie Crisp guy.",dialogue/beliefs
6,39、INT. ED'S HOUSE/OFFICE - NIGHT,What type of pictures were added to the MySpace page?,Photoshopped pictures of Mike in exotic locations,Photoshopped pictures of Mike in exotic locations.,detailed description
7,62、INT. FITCH SENIOR HIGH SCHOOL/CALCULUS CLASS - DAY,Why did Stan pop the back of Mike's head?,Because he saw Maggie smile flirtatiously at Mike.,Stan catches this exchange and pops the back of Mike's head.,causal/relational queries
8,55、INT. FITCH SENIOR HIGH SCHOOL/GYM - DAY,Why does Mike believe Alex can make the team?,"Mike thinks Alex's speed, dribbling, and outside shot can compensate for his size.","MIKE: 'That's why we focus on your speed, dribbling and outside shot.'",causal/relational queries
9,57、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,What causes Julie to threaten Mark with detentions?,"Due to Mark's prior incidents, including Krazy Glue and other troubles.",Julie mentions Mark may have Krazy glued a boy to his chair and warns about detentions.,causal/relational queries
10,30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,"In [30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY], What is Ed's emotional state when Mike questions the legitimacy of the documents?",offended/cocky,offended/cocky,character states
11,29、INT. ED'S HOUSE/KITCHEN - NIGHT,"In [29、INT. ED'S HOUSE/KITCHEN - NIGHT], What is Ed's behavioral state regarding returning to Fitch?",Resistant,You'll never get me to go back to Fitch. Never!,character states
12,27、INT. FITCH SENIOR HIGH SCHOOL/BATHROOM - DAY,"In [27、INT. FITCH SENIOR HIGH SCHOOL/BATHROOM - DAY], What physical condition does Alex exhibit when Mike finds him?",Hanging from the door with sneakers dangling 3 feet off the ground,"HANGS Alex, sneakers dangling 3 feet off the ground.",character states
13,18、INT. MIKE'S AUDI - NIGHT,"In [18、INT. MIKE'S AUDI - NIGHT], What is Mike's emotional state at the beginning of the scene?",Somber,A somber Mike drives alongside the Los Angeles River.,character states
14,31、INT. PRINCIPAL'S OFFICE - DAY,"In [31、INT. PRINCIPAL'S OFFICE - DAY], What is Ed's marital status?","Single, had a child out of wedlock","I had him out of wedlock. So the answer is yes, I'm very single...",character states
15,24、EXT. ED'S HOUSE/BACKYARD - LATER,"In [24、EXT. ED'S HOUSE/BACKYARD - LATER], What behavioral state does Mike exhibit after realizing something?",Mike is in a state of sudden urgency.,"Light bulb goes off. He leaps out, runs for the house.",character states
16,30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY,"In [30、INT. FITCH SENIOR HIGH SCHOOL/OFFICE - DAY], What professional achievement does Ed claim in the passage?",created software used to launch the space shuttle,I created software used to launch the space shuttle,character states
17,41、INT. ED'S HOUSE/MIKE'S BEDROOM - NIGHT,What is Ed wearing when he enters the room?,Seaweed wrapping his entire body and head.,"Ed stands in the doorway, his entire body and head wrapped in SEAWEED.",detailed description
18,36、INT. TRENDY HAIR SALON - NIGHT,What action is the HAIRDRESSER performing on Mike?,Cutting away and highlighting his long locks,A HAIRDRESSER cuts away and highlights Mike's long locks.,detailed description
19,57、INT. FITCH SENIOR HIGH SCHOOL/PRINCIPAL'S OFFICE - DAY,Why does Ed think Mark is out of control?,"Because Mark exhibits behaviors like not eating vegetables, shaving his back, and wetting his bed.","Ed lists Mark's misbehaviors including not eating vegetables, shaving his back, and wetting his bed.",causal/relational queries
20,23、INT. ED'S HOUSE/FOYER - DAY,"In [23、INT. ED'S HOUSE/FOYER - DAY], What action does the Maid perform upon appearing?",She genuflects and mutters prayers in Spanish.,The LATINO MAID stands in the doorway genuflecting. ... muttering prayers in Spanish.,character states
21,36、INT. TRENDY HAIR SALON - NIGHT,What is depicted on the mirror?,"A picture of a YOUNG, POPULAR STAR torn from a teen mag","A picture of a YOUNG, POPULAR STAR torn from one of the teen mags hangs on the mirror.",detailed description
22,34、INT. RESTAURANT/BAR - NIGHT,What specific drink does Ed order for Mike?,Shirley Temple with extra cherries,Get the boy a Shirley Temple. Extra cherries.,detailed description
23,2、INT. FITCH SENIOR HIGH SCHOOL/GYM - CONTINUOUS,What does Coach Harvey say about Mike's potential?,"You have half the season I know you're capable of, you can play anywhere you want, Mike.","COACH HARVEY
First game of the season and the scouts are already lining up. You have half the season I know you're capable of, you can play anywhere you want, Mike.",dialogue/beliefs
24,21、INT. ED'S HOUSE - MORNING,"In [21、INT. ED'S HOUSE - MORNING], What is Mike's physical condition when he arrives?","Covered in mud, wearing a ripped, grimy suit","Mike, covered in MUD. His ripped, grimy suit now hangs off of him.",character states
25,18、INT. MIKE'S AUDI - NIGHT,"In [18、INT. MIKE'S AUDI - NIGHT], What action does Mike take after the thunder scares him?",He turns the wipers on high and slows the car.,Mike turns the wipers on high. Not much help. He slows the car to a crawl.,character states
26,20、EXT. ED'S HOUSE - NEXT MORNING | 22、INT. BATHROOM - DAY,What does Mike state about his key?,Mike states that he lost his key.,"He pushes the doorbell and calls out, 'Ed! Ed! I lost my key!'",character states
27,21、INT. ED'S HOUSE - MORNING | 22、INT. BATHROOM - DAY | 23、INT. ED'S HOUSE/FOYER - DAY,What does Ed state when the maid sees him and Mike wrestling?,Ed states that they are just friends.,"Ed quickly says, 'Maria, we're just friends. Really.'",character states
28,28、INT. AUDI - MOMENTS LATER | 44、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY | 33、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY,What does Maggie say to Stan after Mike walks away with ice cream dripping down his face?,Maggie says that what Stan did was not cool.,"After Mike walks away with ice cream dripping down his face, Maggie turns to Stan and says, 'That was so not cool.'",character states
29,20、EXT. ED'S HOUSE - NEXT MORNING | 23、INT. ED'S HOUSE/FOYER - DAY | 22、INT. BATHROOM - DAY,What does Mike state about his need to talk during the struggle with Ed?,Mike states that they need to talk and can work things out.,"Amid the chaos, Mike shouts, 'Calm down! We need to talk! We can work this out!'",character states
30,48、INT. MIKE'S HOUSE/LIVING ROOM - NIGHT | 17、EXT. MIKE'S HOUSE/BACKYARD - DAY | 49、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,What does Scarlet state about her husband when Mike refers to him in the past tense?,Scarlet states that her husband is still alive.,"Scarlet pauses, then quietly clarifies that her husband is still alive.",character states
31,18、INT. MIKE'S AUDI - NIGHT | 19、EXT. ROAD - NIGHT | 22、INT. BATHROOM - DAY | 29、INT. ED'S HOUSE/KITCHEN - NIGHT,What does Mike state about the janitor when Ed asks if he found him?,Mike states that the janitor doesn’t exist and that nothing makes sense.,Mike says the janitor doesn’t exist and nothing makes sense.,character states
32,33、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY | 16、EXT. SAN FERNANDO VALLEY/MIKE'S HOUSE - NIGHT | 15、INT. CHEESECAKE FACTORY - NIGHT,What does Mike state about Maggie's acceptance to Georgetown?,"Mike states that Maggie's acceptance to Georgetown is fantastic and a huge deal, and he expresses pride in her achievement.","Mike reacts with enthusiasm, calling it fantastic and saying he’s proud of her. Maggie tries to downplay it, saying it’s no big deal, but Mike insists it’s a huge deal and praises her for getting into a great university.",character states
33,10、INT. WYATT PHARMACEUTICALS/CONFERENCE ROOM - MORNING | 15、INT. CHEESECAKE FACTORY - NIGHT,What does Mike state about his current status regarding the promotion when asked by Alex?,Mike states that he is still waiting to hear about the promotion.,Mike says he’s still waiting to hear.,character states
34,16、EXT. SAN FERNANDO VALLEY/MIKE'S HOUSE - NIGHT,Why does Maggie respond sarcastically to Mike's barbecue invitation?,Maggie responds sarcastically because she is upset about seeing Mike only once a week for a short time.,"Alex explains that they only see Mike once a week for a couple of hours, indicating the limited time they spend with him, which contributes to Maggie's frustration.",causal/relational queries
35,24、EXT. ED'S HOUSE/BACKYARD - LATER | 26、INT. FITCH SENIOR HIGH SCHOOL/HALL - DAY | 14、INT. FITCH SENIOR HIGH SCHOOL/HALL - DUSK | 15、INT. CHEESECAKE FACTORY - NIGHT | 16、EXT. SAN FERNANDO VALLEY/MIKE'S HOUSE - NIGHT,What does Mike say about the kind of stress Maggie is experiencing?,Mike says that the stress Maggie is experiencing is not real stress compared to what she will face in the real world with bad jobs and condescending bosses.,"Mike tells her that’s not real stress, not compared to what she’ll face in the real world with bad jobs and condescending bosses.",character states
36,3、INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT | 49、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,What does Scarlet state about her current situation when Mike asks if everything is okay?,Scarlet states that everything is totally copacetic.,She forces a nervous smile and says everything’s totally copacetic when Mike asks if everything’s okay.,character states
37,29、INT. ED'S HOUSE/KITCHEN - NIGHT | 31、INT. PRINCIPAL'S OFFICE - DAY | 32、INT. FITCH SENIOR HIGH SCHOOL/CALCULUS CLASS - DAY | 33、INT. FITCH SENIOR HIGH SCHOOL/CAFETERIA - DAY,What does Ed state about returning to Fitch High?,Ed states that he will never go back to Fitch High.,"Ed insists he won’t be drawn back in, especially not to Fitch High, and says he’ll never go back there.",character states
38,47、EXT. MIKE'S HOUSE - NIGHT | 49、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,What does Scarlet state about Alex's return time?,Scarlet states that Alex must be home by 10:30.,"Scarlet calls out, reminding him to be home by 10:30, and Alex acknowledges her.",character states
39,17、EXT. MIKE'S HOUSE/BACKYARD - DAY | 16、EXT. SAN FERNANDO VALLEY/MIKE'S HOUSE - NIGHT | 15、INT. CHEESECAKE FACTORY - NIGHT,What does Mike state about Maggie's acceptance to Georgetown?,Mike states that Maggie's acceptance to Georgetown is fantastic and that he is proud of her.,"Mike reacts with enthusiasm, calling it fantastic and saying he’s proud of her.",character states
40,18、INT. MIKE'S AUDI - NIGHT | 19、EXT. ROAD - NIGHT,What happens to Mike after he leans over the railing during the thunderstorm?,Mike falls into the glowing river after the railing breaks under his weight.,"Suddenly, the railing cracks and gives way beneath his weight. He loses his balance and plunges headfirst into the river, disappearing beneath the glowing surface with a heavy splash.",temporal references
