id,scene,question,answer,evidence,qa_type
1,46、EXT. CRIME SCENE - NEWSVAN - LATER,What causes Sheriff Hartley to declare they are 'officially baffled'?,The crime's execution on national television complicates their investigation.,CAPTAIN TYLER: 'On national television.' SHERIFF: 'I would say we are now officially baffled.',causal/relational queries
2,43、INT. LOBBY - A SECOND LATER,What does Cotton claim caused him to lose everything?,Sidney's actions,I lost everything because of you.,causal/relational queries
3,54、EXT. DELTA ZETA HOUSE - BACK YARD- LITTLE LATER,"In [54、EXT. DELTA ZETA HOUSE - BACK YARD- LITTLE LATER], What does Lois and Murphy pull down?",The police tape from the previous night's crime scene,A drunk Lois and Murphy pull the police tape down from the previous night's crime scene.,objects/props
4,46、EXT. CRIME SCENE - NEWSVAN - LATER,Why does Captain Tyler believe the crime required two people?,"It occurred in a crowded movie theatre during broad daylight, which is too complex for one person.","CAPTAIN TYLER: 'Broad daylight, a crowded movie theatre. This is too much fun for one person.'",causal/relational queries
5,40、INT. CINEPLEX MOVIE THEATRE - LITTLE LATER,Why does Sidney become uneasy?,"Because of the movie's content, particularly Tori's dialogue about her mom's death",Sidney grows increasingly uneasy,causal/relational queries
6,49、INT. CAMPUS SECURITY STATION - OUTER OFFICE,Why can't Cotton be held by the authorities?,Pressure from California State and need for evidence,"No, we got pressure from California State. The man practically has clemency. We can't run the risk of falsely accusing him. He has to be standing over the victim with knife in hand before we make a move.",causal/relational queries
7,44、EXT. CAMPUS LIBRARY - LATER,Why does Derek decide to stay away from Sid?,Because Sid doesn't trust herself around men.,SIDNEY: I don't trust myself. I tend to make big selection errors when it comes to men.,causal/relational queries
8,45、EXT. NEWSVAN - CAMPUS - LATER,What caused Dewey to have such insight into Gale?,His year-long recovery after a spinal cord injury allowed him to observe and reflect.,After my spinal cord was damaged I was laid up for over a year. A lot can happen when you're on your back.,causal/relational queries
9,45、EXT. NEWSVAN - CAMPUS - LATER,Why did Gale cancel the interview?,She experienced a mood swing due to her manic depression.,Mood swing. I'm manic depressive.,causal/relational queries
10,20、INT. FOYER - SAME,"In [20、INT. FOYER - SAME], What emotional state does Cici exhibit upon hearing a noise upstairs?",She is frightened and anxious.,Cici says 'Shit' and whispers 'I don't think I'm alone' after hearing the noise.,character states
11,27、INT. DELTA ZETA HOUSE - SAME,"In [27、INT. DELTA ZETA HOUSE - SAME], What is Sidney's emotional state as described in the passage?",Numb and indifferent,"Her face is numb. Sidney, indifferent, moves through the open front door.",character states
12,47、INT. LIBRARY - RESEARCH COMPUTER ROOM - LATE AFTERNOON,"In [47、INT. LIBRARY - RESEARCH COMPUTER ROOM - LATE AFTERNOON], What message appears on Sid's screen after she hits ALT + M?",YOU'RE GOING TO DIE TONIGHT.,"A message pops up on the screen. ""YOU'RE GOING TO DIE TONIGHT.""",objects/props
13,29、INT. FRONT PORCH - SANE,Why did Derek kick the window?,To get into the house.,Derek is going nuts trying to get into the house. He rears his foot back and kicks in the window.,causal/relational queries
