id,scene,question,answer,evidence,qa_type
1,（八十二）万家外附近。日。,"在[（八十二）万家外附近。日。]中, 阿好在简底离开后的表情？",松了一口气,阿好松一口气的表情,character states
2,（十八）万发家睡眠处。晚上，有月亮的晚上。,万发如何回应阿好对简的描述？,他列举了简的多个特征并质疑其关系。,万发：简简简，干你娘啦！鬼打到了，那么大声做什么？,dialogue/beliefs
3,（六）村庄“小赌场”。白天。,"在[（六）村庄“小赌场”。白天。]中, 阿好的行为状态如何描述？",原始、粗鲁，没有文明的矫饰,她的一举一动，都仿佛和性有着很强烈的关连。她是那么原始，那么粗鲁，那么没有点文明的矫饰！,character states
4,（七十七）万发家屋外。昏。,"在[（七十七）万发家屋外。昏。]中, 万发此时的情绪状态如何？",惊讶，若有所思，若有所望,万发惊讶的眼神。万发脸上表情是若有所思，又似若有所望。,character states
5,（七十五）医院屋内。日。,"在[（七十五）医院屋内。日。]中, 阿好在等待时的情绪如何？",怯生、紧张,阿好（怯生，嗫嚅地）,character states
6,（八十七）村庄市场。日。,"在[（八十七）村庄市场。日。]中, 卖酱菜的角色有什么样的情绪状态？",尖酸刻薄且夸张,卖酱菜的（表情极尽尖酸刻薄也极尽夸张）,character states
7,（三十三）村庄赌场。日。,阿好打错牌时简底有何反应？,气得连说‘不对啦！’并打她的胸,只要阿好打错牌，他就会气得连说‘不对啦！’同时，还无意识地打一下她的胸,detailed description
8,（七十九）村庄小路。日。,"在[（七十九）村庄小路。日。]中, 阿狗在对话中表现出何种性格特征？",率直天真、机灵,阿狗（率直，天真）；阿狗（机灵地改口说）,character states
9,（七十八）万发家厅内。昏。,"在[（七十八）万发家厅内。昏。]中, 阿好看到万发吃饭时有什么反应？",觉得好笑又怜悯。,阿好见到万发在猛吃饭，吃得那么饥荒，觉得好笑，转念之间，又有点怜悯起来。,character states
10,（八十五）树下小吃店。日（夏）。,"在[（八十五）树下小吃店。日（夏）。]中, 老者的行为状态是什么？",弹唱并故意停顿吊人胃口,老者（弹唱起来）...老者故意停一停，吊人胃口,character states
11,（十九）万发家屋外。月又圆又亮的晚上。,"在[（十九）万发家屋外。月又圆又亮的晚上。]中, 万发的情绪状态如何？",冷漠且不耐烦,万发仿佛没有听到，一点表情也无。万发：要去，你自己去！,character states
12,（三）村庄花生油厂外。,乙妇如何评价阿好的赌博习惯？,阿好爱博（赌），以前博得好厉害，连三个女儿都输了了。,乙妇：阿好好爱博（赌），你们甘知（知道吗）？现在有较差（比较好些），以前博得好厉害，连三个女儿都输了了。,dialogue/beliefs
13,（十）村子的食堂及附近的地方。,"在[（十）村子的食堂及附近的地方。]中, 老板对万发的态度如何？",漠然且冷漠,老板：来坐呀！来坐呀！见到万发经过，老板只漠然地看他一眼，并不向他打招呼。,character states
14,（十七）万发家屋外。晨。,"在[（十七）万发家屋外。晨。]中, 简底接过牙粉时的状态如何？",不知如何感谢，手不知放哪儿,简底一副不知怎么感谢的神色，手都觉得不知道放哪儿好,character states
15,（二十）简家屋内。晚。,"在[（二十）简家屋内。晚。]中, 阿好在提到自己成为简底母亲时的情绪如何？",戏谑,阿好（语带戏谑）：昨天还是你的大嫂,character states
16,（八十五）树下小吃店。日（夏）。,"在[（八十五）树下小吃店。日（夏）。]中, 唱歌老者的神情如何？",有秘密要宣扬的愉快神情,接前场唱歌老者的一副有秘密要宣扬的那种愉快神情,character states
17,（三十四）村庄道路上。白天。,礼箱队的礼箱有什么特征？,浅浅的无盖的四方箱子，上面铺大红布，摆钱钞或金饰，或砖块,每一礼箱是浅浅的无盖的四方箱子，台湾俗称为“舍”，上面铺大红布，布上摆钱钞或金饰，或砖块,detailed description
18,（二十一）简家内。早上。,"在[（二十一）简家内。早上。]中, 阿好对内衣有何反应？",嗅嗅后撇嘴，认为臭,她把简底塞在墙角没洗的内衣内裤找出来，提在手中，鼻子还去嗅嗅，撇撇嘴，臭得很呢！,character states
19,（二十五）万发家内。晚。,阿好威胁要如何惩罚万发？,割你嘴舌,令爸就割你嘴舌，有听到莫？,detailed description
20,（四十）简家卧室。雨。,简为什么握阿好的手？,因为阿好用带着欲望的眼神看着他,△阿好把衣服递到简底面前，用带着欲望的眼神，看着半裸的简底。简底：阿好姊呀，你连衣服都帮我收进来啦，（看看阿好手上的衣服）还帮我拆得这么整齐！,causal/relational queries
21,（十五）万发家屋外。早晨。,"在[（十五）万发家屋外。早晨。]中, 阿好在简底叫她'大嫂'后有何反应？",变得十分女性，讲话动作娇模娇样,阿好忽然间变得十分女性，讲话动作也娇模娇样起来。,character states
22,（七十三）树下（小吃店）。日。,"在[（七十三）树下（小吃店）。日。]中, 车夫牵牛时表现出怎样的情绪？",万分疼爱,那爱唱歌的车夫万分疼爱地牵着牛,character states
23,（七十六）医院诊察室。日。,"在[（七十六）医院诊察室。日。]中, 阿好在医生质疑时有何反应？",脸色红到脖子，尴尬发窘。,阿好脸色红到脖子，脸是尴尬发窘，又不得不微笑。,character states
24,（十二）万发家厨房。黄昏时。,"在[（十二）万发家厨房。黄昏时。]中, 阿狗为什么惊叫？",误以为对面的鬼来了,阿狗：我还以为对面那个鬼又来啦！,character states
25,（十三）万发家前厅。黄昏近晚时。,阿好对阿狗说对面有人搬来住的看法是什么？,对面的房子几百年都没有人住了，有人搬进来，哪有可能？,阿好：对面的房子几百年都没有人住了，有人搬进来，哪有可能？,dialogue/beliefs
26,（四十八）村庄野地。雨。,"在[（四十八）村庄野地。雨。]中, 阿好与简底在何处翻滚？",大雨中的泥地上,△阿好与简底在大雨中的泥地上翻滚。,scene localization
27,（八十三）万发家厅内。晚。,"在[（八十三）万发家厅内。晚。]中, 万发在对话中表现出什么态度？",装冷漠,脸上尽量装冷漠。,character states
