id,scene,question,answer,evidence,qa_type
1,49、INT. ENTERPRISE - SICKBAY - DAY,Why does Deanna request to be relieved of her duties?,"Because the Viceroy can access her thoughts, making her a liability.",Shinzon's Viceroy seems to have the ability to reach into my thoughts. I've become a liability...,causal/relational queries
2,13、INT. ENTERPRISE - BRIDGE - LATER,"In [13、INT. ENTERPRISE - BRIDGE - LATER], What is Data's emotional state regarding the possible connection to others like himself?",Deep desire to explore a possible connection to others like himself.,"Picard glances at Data, recognizes the android's deep desire to explore this possible connection to others like himself.",character states
3,54、INT. SCIMITAR - CORRIDORS - FOLLOWING,What was the purpose of Data's mission?,To discover the source of the Thalaron radiation.,"DATA: 'My mission was a success, sir. I have discovered the source of the Thalaron radiation.'",causal/relational queries
4,33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT,"In [33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT], What is Shinzon's emotional state when interacting with Deanna?","Maniacal and fascinated, as he laughs and stares deeply.","Shinzon laughs, maniacally. He slowly moves toward her, still hidden in the shadows. SHINZON (quietly) I've never met a human woman.",character states
5,47、INT. SCIMITAR - VICEROY'S CABIN - FOLLOWING,"In [47、INT. SCIMITAR - VICEROY'S CABIN - FOLLOWING], What physical condition does Shinzon experience during the scene?",He is overtaken by a wave of illness.,"He begins to go -- but suddenly stops, a wave of illness overtake him.",character states
6,55、INT. SCIMITAR - GENERATION CHAMBER - NIGHT,"In [55、INT. SCIMITAR - GENERATION CHAMBER - NIGHT], How does Data access the Emergency Transport Unit?",Data rotates his left hand and slides it forward to expose a hidden compartment.,"Data rotates his left hand and then slides it forward, exposing a hidden compartment in his wrist.",detailed description
7,13、INT. ENTERPRISE - BRIDGE - LATER,"In [13、INT. ENTERPRISE - BRIDGE - LATER], How does Data respond to Geordi's question about a long-lost relative?",Shows curiosity without verbal response.,"Data doesn't respond, but the curiosity on his face is apparent.",character states
8,52、INT. ENTERPRISE - BRIDGE - NIGHT,What is the purpose of Riker's instruction to Geordi?,To find a way into the target's cloak.,"Keep at it, Geordi. Find a way in.",causal/relational queries
9,52、INT. ENTERPRISE - BRIDGE - NIGHT,Why is Geordi frustrated?,Because the target's cloak has no tachyon emissions or residual antiprotons.,"His cloak is perfect... no tachyon emissions, no residual antiprotons.",causal/relational queries
10,59、INT. SCORPION COCKPIT - SHUTTLEBAY - FOLLOWING,How does Picard maneuver the Scorpion toward the shuttlebay doors?,Elegantly swings it around toward the large shuttlebay external doors.,Picard elegantly swings it around toward the large shuttlebay external doors as:,detailed description
11,45、INT. ENTERPRISE - PICARD'S CABIN - NIGHT,"In [45、INT. ENTERPRISE - PICARD'S CABIN - NIGHT], What is Picard's emotional state when he looks at the photo?",Deeply troubled,He stops and stares at one of the pictures deeply troubled.,character states
12,34、INT. ENTERPRISE - SICKBAY - DAY,What does Beverly state about the person's condition?,He has Shalaft's Syndrome and is a clone.,"BEVERLY: There's no doubt, Captain. Right down to your regressive strain of Shalaft's Syndrome. He's a clone.",dialogue/beliefs
13,32、INT. ENTERPRISE - BRIDGE - FOLLOWING,When do Picard and the crew head to the turbolift?,After the transmission ends and the Scimitar reappears.,"Picard, Riker, Deanna, Worf and Data head toward the turbolift, energized now that the endless waiting is over.",temporal references
14,36、INT. ENTERPRISE - RIKER AND DEANNA'S CABIN - NIGHT,What does 'Imzadi' mean in the context of the passage?,A term of endearment used by Shinzon to Deanna.,SHINZON: 'Imzadi. This is so good.',terminology/abbreviation/concept
15,44、INT. SICKBAY - NIGHT,"In [44、INT. SICKBAY - NIGHT], What is Beverly's expression when she returns to the medical displays?",Deeply concerned,"Beverly returns to some medical displays showing Thalaron research, her expression deeply concerned.",character states
16,54、INT. SCIMITAR - CORRIDORS - FOLLOWING,Why is the Viceroy preparing Counsellor Troi for Shinzon?,To soothe him as she soothes Picard and stand at his side.,VICEROY: 'To soothe him as she soothes you. To stand at his side as she does at yours.',causal/relational queries
17,12、INT. ENTERPRISE - BRIDGE - DAY,What does Worf believe about appearing naked?,It is inappropriate for a Starfleet officer to appear... naked.,I think it is inappropriate for a Starfleet officer to appear... naked.,dialogue/beliefs
18,5、INT. ROMULAN SENATE CHAMBER - SUNSET,"In [5、INT. ROMULAN SENATE CHAMBER - SUNSET], What is Senator Tal'Aura's emotional state during the proceedings?",Bored indifference,watches the proceedings with a studied look of bored indifference,character states
19,29、EXT. ENTERPRISE - OVER ROMULUS - SPACE,What does Picard state about the Enterprise's hails?,All our hails have gone unanswered.,All our hails have gone unanswered.,dialogue/beliefs
20,53、INT. SCIMITAR - BRIG - NIGHT,What is the purpose of B-9 holding the Reman disruptor?,To incapacitate Picard if he resists during transport.,"B-9 If you resist, I will incapacitate you.",causal/relational queries
21,37、EXT. ROMULAN SENATE - DAY,"In [37、EXT. ROMULAN SENATE - DAY], What visual description is given of the Senate?",The Byzantine splendors of the Senate loom before us,The Byzantine splendors of the Senate loom before us.,detailed description
22,23、INT. ENTERPRISE - CREW LOUNGE - NIGHT,"In [23、INT. ENTERPRISE - CREW LOUNGE - NIGHT], What are the Fire Caves of Fek'lhr?",A Klingon challenge where couples face the demons of Gre'thor.,WORF: 'They move on to the Fire Caves of Fek'lhr to face the demons of Gre'thor.',terminology/abbreviation/concept
23,28、INT. ENTERPRISE - ENGINEERING LAB - DAY,What is Data's belief regarding the B-9's functionality after memory integration?,Data believes the B-9 will function as a more complete individual.,DATA: It is my belief that with my memory engrams he will be able to function as a more complete individual.,dialogue/beliefs
24,28、INT. ENTERPRISE - ENGINEERING LAB - DAY,What does Data believe about the B-9's purpose?,Data believes Dr. Soong did not want the B-9 to remain inactive.,DATA: I do not believe he would have wanted the B-9 to live out his life in his present state.,dialogue/beliefs
25,55、INT. SCIMITAR - GENERATION CHAMBER - NIGHT,What is the spider-weapon described as in the chamber?,A gigantic version of the spider-weapon that killed Romulan Senators.,High above them... is a gigantic version of the spider-weapon we saw kill all the Romulan Senators before.,detailed description
26,53、INT. SCIMITAR - BRIG - NIGHT,Why does the Reman Guard deactivate the force field?,To comply with B-9's order to take Picard to the Praetor.,B-9 (to Reman guard) I am to take the prisoner to the Praetor. The Reman Guard deactivates the force field.,causal/relational queries
27,51、INT. SCIMITAR - BRIG - NIGHT,"In [51、INT. SCIMITAR - BRIG - NIGHT], What physical change is visible on Shinzon's face?",Tiny veins forming a spider-web pattern.,Tiny veins are now visible on Shinzon's face; the faintest sign of an intricate spider-web pattern of pale blue veins.,character states
28,33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT,"In [33、INT. SCIMITAR - OBSERVATION LOUNGE - NIGHT], What is Shinzon's identity according to the passage?","Human, despite initial assumptions of being Reman.","The crew cannot see him clearly in the dim light but it is evident he is human. Assuming that he was Reman, they're surprised by this realization.",character states
29,62、INT. SCIMITAR - CORRIDORS - FOLLOWING,What movement does the Scorpion make through the ship?,zigs and zags through the ship at breakneck speed,zigs and zags through the ship at breakneck speed,detailed description
30,46、INT. ENTERPRISE - TURBOLIFT - MORNING,"In [46、INT. ENTERPRISE - TURBOLIFT - MORNING], What is Deanna's behavioral state during the telepathic struggle?",Forcing herself to concentrate and resist,She forces herself to concentrate... to resist telepathically... it is a mighty effort.,character states
31,60、INT. SCIMITAR CORRIDORS - FOLLOWING,How does Picard maneuver in the corridor?,"Banks sharply, careens off the far side but keeps control.",Picard banks sharply -- careens off the far side of the corridor but keeps control.,detailed description
32,30、INT. ENTERPRISE - BRIDGE - FOLLOWING,What does Picard say about the enemy's strategy?,It's an old psychological strategy to put him in a position of dominance and make us uneasy.,"PICARD It's an old psychological strategy, Number One. To put him in a position of dominance and make us uneasy.",dialogue/beliefs
33,43、INT. ENTERPRISE BRIDGE - NIGHT,"In [43、INT. ENTERPRISE BRIDGE - NIGHT], What is Geordi's emotional state when he reviews the sensor logs?",Grim,(grim),character states
34,48、INT. SCIMITAR - BRIDGE - DAY,When does Shinzon order tea relative to the engineers connecting the conduits?,After the engineers begin connecting the conduits,Shinzon goes to a replicator unit and orders tea... He takes it and sips as he watches his Engineers connecting the conduits,temporal references
35,11、INT. SENATE CHAMBER - NIGHT,What are the visual elements of the chamber where Shinzon stands?,"A large star chart floor and flickering torch light, with Reman warriors standing around.",The entire floor is a large star chart... cadres of Shinzon's fearsome REMAN WARRIORS stand around the chamber. Even more chilling now in the flickering torch light.,detailed description
36,11、INT. SENATE CHAMBER - NIGHT,"In [11、INT. SENATE CHAMBER - NIGHT], What is Shinzon's physical appearance and attire?","A dynamic young human in his twenties with pale, almost white skin, shining golden hair, and a striking Reman military uniform.","He is a dynamic young human in his twenties. Very handsome with pale, almost white skin and shining, golden hair. He wears a striking Reman military uniform.",detailed description
37,64、EXT. OVER ROMULUS - SPACE,"In [64、EXT. OVER ROMULUS - SPACE], What is the Scorpion slicing through?",The cloak of invisibility around the Scimitar,The Scorpion seems to appear from nowhere -- slicing through the cloak of invisibility around the Scimitar --,objects/props
38,58、INT. SCIMITAR - SHUTTLEBAY - FOLLOWING,What action does Picard take after the door closes?,Fires a disruptor blast to seal the door mechanism.,"When the door closes behind them, Picard turns and fires a disruptor blast -- sealing the door mechanism.",detailed description
