id,scene,question,answer,evidence,qa_type
1,64.文绣卧室·夏日·内,"在[64.文绣卧室·夏日·内]中, 东宝的职业是什么？",她是日本特务机关的间谍。,我为日本特务机关工作，我现在来保护你。,character states
2,50.寝宫·冬日·内,在[50.寝宫·冬日·内]中，溥仪为何任命郑孝胥为内务府大臣？,为了监督清查宫中所有财产。,我任命庄士敦先生的朋友、学者郑孝胥先生为内务府大臣，我让他监督清查宫中所有财产。,causal/relational queries
3,64.文绣卧室·夏日·内,"在[64.文绣卧室·夏日·内]中, 婉容为什么感到悲伤？",文绣离开了她，她最好的朋友不再回来。,文绣走了，她再也不回来了……她是我最好的朋友。,character states
4,2.满洲里火车站月台·冬日·外,"在[2.满洲里火车站月台·冬日·外]中, 溥仪下车时的情绪状态如何？",茫然无措,溥仪茫然无措,character states
5,20.故宫小院·夏日·外,二嫫在被推上轿子时说了什么？,二嫫恳求着：‘他是我的孩子！’,二嫫恳求着：‘他是我的孩子！’,detailed description
6,66.天津码头·夏日,"在[66.天津码头·夏日]中, 溥仪在分别时的情绪如何？",依依不舍,溥仪和庄士敦并肩坐在车中的后座上，依依不舍。,character states
7,68.张园内溥仪办公室·夏夜·内,"在[68.张园内溥仪办公室·夏夜·内]中, 婉容说话时的情绪如何？",严肃而恳切,婉容严肃而恳切地：“你现在仍然可以改变主意。”,character states
8,21.二嫫住房·夏日·内,溥仪如何描述二嫫的关系？,她不是我乳母，她是陪我玩的人。,"溥仪：""可她不是我乳母，她是陪我玩的人。""",dialogue/beliefs
9,22.紫禁城院中·夏日·外,溥仪在院中如何呼喊？,哭叫‘二嫫！’,溥仪追到院中哭叫：‘二嫫！’,detailed description
10,14.监狱牢房·冬日·内,"在[14.监狱牢房·冬日·内]中, 溥仪的当前状态如何？",孤零零地坐在牢房中一动不动,981号囚犯——溥仪孤零零地坐在牢房中的硬板床上，一动不动。,character states
11,15.养心殿院中·夏日·外,福晋对溥仪说了什么？,你还能记得我的样子吗？,福晋：“你还能记得我的样子吗？”,dialogue/beliefs
12,5.故宫午门·冬晨·外,在[5.故宫午门·冬晨·外]中，小溥仪如何观察外界？,睁大眼睛从帘子的缝隙中向外张望。,二嫫把奶头塞进小溥仪嘴里，他不哭了，睁大眼睛从帘子的缝隙中向外张望。,detailed description
13,17.御花园·夏日·外,"在[17.御花园·夏日·外]中, 溥仪对太妃们的情感如何？",溥仪认为她们不是自己的额娘,溥仪告诉溥杰：‘坐在船上的那些人是太妃。’ 以及‘她们不是，她们不是。’,character states
14,33.养心殿院中·夏日·外,"在[33.养心殿院中·夏日·外]中, 溥仪在听到额娘死讯时的情绪如何？",无动于衷,溥仪抬头看看陈宝琛，似乎无动于衷地问：'我额娘真的死了吗？',character states
15,26.故宫午门·夏日·外,"在[26.故宫午门·夏日·外]中, 庄士敦和陈宝琛乘车驶进哪里？",午门,庄士敦和陈宝琛乘车驶进午门,scene localization
16,19.太和殿的大院·夏日·外,在[19.太和殿的大院·夏日·外]中，溥杰认为袁世凯是什么身份？,共和国的大总统,溥杰：“看！就是那汽车，他就是共和国的大总统。”,dialogue/beliefs
17,19.太和殿的大院·夏日·外,在[19.太和殿的大院·夏日·外]中，陈宝琛如何定义溥仪的皇位地位？,紫禁城内的皇上，不再是城外的皇上,陈宝琛：“皇上是紫禁城内的皇上，不再是城外的皇上了。”,dialogue/beliefs
18,33.养心殿院中·夏日·外,"在[33.养心殿院中·夏日·外]中, 陈宝琛的情绪状态如何？",悲痛万分,陈宝琛在台阶上躬身：'是的，皇上，我悲痛万分。',character states
19,21.二嫫住房·夏日·内,溥仪对现状表达了什么情绪？,我不明白，我不明白！,"溥仪坐在凳子上不解地自语：""我不明白，我不明白！""",dialogue/beliefs
20,9.太和殿·冬日·外,"在[9.太和殿·冬日·外]中, 溥仪听到蝈蝈叫声时的情绪如何？",兴奋,小溥仪立即兴奋地叫着：“蝈蝈！”,character states
21,28.御书房·夏日·内 | 29.养心斋·夏日·外,溥仪在得知学生抗议中有人丧生后，表现出怎样的情绪状态和行为反应？,溥仪表现出愤怒和激动的情绪，认同学生的愤怒，并因自己被禁足在紫禁城中而积怨爆发，他来回走动、猛踢墙壁，并大声喊出‘我要出去’。,溥仪得知学生游行真相后情绪激动，来回走动，踢墙并大喊要出去，表现出对禁足的强烈不满。,character states
