scene,question,answer,evidence,qa_type
29、INT. STARLINER TOWERS GROCERY STORE -- NIGHT,Why did Janine leave the grocery store without buying food?,She was repulsed by the thought of cooking or eating.,the thought of cooking or even eating repulses her,causal/relational queries
8、INT. A HALLWAY -- MORNING,How does Tudor move through the hallway?,"He walks on automatic pilot, preoccupied, turning the corner without perceiving what he is seeing.","He walks down the hallway on automatic pilot, obviously preoccupied, turning the corner leading to the elevators without perceiving what he is seeing.",detailed description
31、INT. BETTS' APARTMENT -- NIGHT,Why did Betts order enough food for two?,To ensure Janine joins her for supper and avoid loneliness.,I've ordered in some vrai cuisine... I'll just get fat and lonely if you don't show up.,causal/relational queries
8、INT. A HALLWAY -- MORNING,What does Tudor do when he reaches the elevators?,"He hesitates for a moment, then presses the UP button.","At the elevators he hesitates for a moment, then presses the UP button.",detailed description
52、INT. ST. LUC'S OFFICE -- NIGHT,"In [52、INT. ST. LUC'S OFFICE -- NIGHT], What does 'compressed evolution' refer to in Hobbes's paper?",A theoretical organism where each generation is better adapted to its host.,The section St. Luc reads states: 'each generation of the said organism would be better adapted to inhabit and to control the behavior of its host',terminology/abbreviation/concept
25、EXT. TUDOR'S BALCONY -- NIGHT,How is Tudor positioned on the balcony during his struggle?,Hanging over the railing like an ocean traveler in a rough sea.,Hanging over the railing of the balcony like an ocean traveler in a rough sea,detailed description
27、INT. ST. LUC'S EXAMINATION ROOM -- NIGHT,Why did St. Luc order X-rays for Mr. Parkins?,To investigate the cause of the lumps near his navel.,St. Luc instructs Parkins to get X-rays to discover what he is hiding in his abdomen.,causal/relational queries
34、INT. EXAMINATION ROOM -- NIGHT,What does St. Luc tell Dotty to do if she experiences issues?,"Come and see me right away if you have any trouble, sharp pain, or unusual discharge.","St. Luc: 'if it gives you any trouble at all, any sharp pain, any unusual discharge, you come and see me right away.'",dialogue/beliefs
55、INT. HALLWAY -- NIGHT,What is the 'parasite's animal-tissue solvent'?,A substance secreted by the parasite to dissolve animal tissue.,Mrs. Spergazzi's forearm was burned by the parasite's animal-tissue solvent.,terminology/abbreviation/concept
17、INT. CLINIC RECEPTION AT STARLINER TOWERS -- AFTERNOON,When does Janine leave the waiting area?,After St. Luc appears,"St. Luc appears and looks at the list of patients who have signed in. ... Janine gets up, excusing herself",temporal references
40、INT. ROLLO'S LAB -- NIGHT,"In [40、INT. ROLLO'S LAB -- NIGHT], What is the 'satyr's tongue' according to Hobbes's notes?",A combination of aphrodisiac and venereal disease.,"'a combination of aphrodisiac and venereal disease, a modern version of the satyr's tongue'",terminology/abbreviation/concept
11、INT. ANNABELLE'S APARTMENT -- MORNING,"In [11、INT. ANNABELLE'S APARTMENT -- MORNING], What is Tudor's emotional state upon discovering the bodies?",He is shocked and distressed.,"Tudor winces as though stuck with a pin. Blinking rapidly, he edges around the room.",character states
33、INT. TUDOR'S APARTMENT -- NIGHT,When does the lump under Tudor's skin return after disappearing?,After Tudor begins drumming on his abdomen,"Tudor begins drumming on his abdomen. Gradually, cautiously, the lump under Tudor's skin returns.",temporal references
28、INT. LAUNDRY ROOM -- NIGHT,What caused the window to swing shut?,The old woman pulling the soap out of the window's jaws.,The hand ... yanks the bar of soap out of the jaws of the window. The window swing shut.,causal/relational queries
10、INT. HALLWAY -- MORNING,"In [10、INT. HALLWAY -- MORNING], What is Tudor's behavioral state as described in the passage?",Tudor is being cautious to avoid being seen.,"He closes the door behind him, not wanting to be seen by anyone who might know him.",character states
54、INT. MAIN DOORS -- NIGHT,What is the function of the metal control panel?,To manually override the elevator's floor selector.,plays with a switch which manually overrides the floor selector,terminology/abbreviation/concept
60、INT. HALLWAY -- NIGHT,"In [60、INT. HALLWAY -- NIGHT], What is Janine's emotional state as she approaches Betts's apartment?",Sobbing and stumbling,sobbing and stumbling,character states
3、INT. ANNABELLE'S APARTMENT -- MORNING,"In [3、INT. ANNABELLE'S APARTMENT -- MORNING], What emotional state does Dr. Emil Hobbes exhibit during the struggle?","Tears in his eyes, indicating distress",Hobbes has tears in his eyes,character states
7、INT. TUDOR'S APARTMENT -- MORNING,"In [7、INT. TUDOR'S APARTMENT -- MORNING], What is Nicholas Tudor's primary mood?","Terse, sullen desperation","Tudor is thirty-nine, not happy with his work... adopted a general air of terse, sullen desperation as his primary mood",character states
25、EXT. TUDOR'S BALCONY -- NIGHT,What does Tudor do after his neck muscles tense?,His hands fly up to his mouth to keep down whatever is about to come up.,his hands fly up to his mouth in an attempt to keep down whatever is about to come up,detailed description
22、INT. RECEPTION AREA -- LATE AFTERNOON,What action does Parkins take upon being beckoned?,Gets up and follows Forsythe into an examination room.,Parkins gets up and follows Forsythe into one of the examination rooms.,detailed description
24、INT. TUDOR'S LIVING ROOM -- NIGHT,What does Tudor do after sitting down on the chair?,"Breathes heavily, gasps for air, and mumbles incoherently.","He breathes heavily, gasping for air. His expression is a dazed one and he mumbles incoherently.",detailed description
32、INT. HALLWAY -- NIGHT,When do the children appear after Janine leaves?,A moment after she's gone and closed the door,"A moment after she's gone and closed the door, two children about ten years old appear around a corner",temporal references
35、INT. ST. LUC'S OFFICE -- NIGHT,When did Forsythe compile the files she mentions?,Before St. Luc's time at the institution,"files I helped compile before your time here, Doctor",temporal references
31、INT. BETTS' APARTMENT -- NIGHT,What is the purpose of Janine's return to Betts' apartment?,To provide company and share supper after Dr. St. Luc's visit.,after Dr. St. Luc has told you... come on back here for company and a late supper.,causal/relational queries
16、INT. TUDOR'S OFFICE -- AFTERNOON,What does Tudor say when Mrs. Wheatley suggests going to the hospital?,"No, no. I'll be all right. I'm all right.","Tudor: 'No, no. I'll be all right. I'm all right.'",dialogue/beliefs
22、INT. RECEPTION AREA -- LATE AFTERNOON,What does Forsythe do after coming out of the examination room?,Checks the patient list and beckons Mr. Parkins.,"Forsythe comes out to the reception area from an examination room, checks out the patient list, and beckons to Mr. Parkins.",detailed description
53、INT. ELEVATOR -- NIGHT,"In [53、INT. ELEVATOR -- NIGHT], What is the mother's emotional state when she presses the close door button?",Impatient,"mother pushes the CLOSE DOOR button, a bit impatiently",character states
21、INT. TUDOR'S APARTMENT -- LATE AFTERNOON,What causes Tudor to collapse on the floor after vomiting?,Exhaustion from the spasm and vomiting,"He gags and vomits into the tub and collapses, exhausted, on the floor.",causal/relational queries
28、INT. LAUNDRY ROOM -- NIGHT,Why did the old woman pull the soap out of the window?,To lock the window from the inside.,"The hand ... yanks the bar of soap ... The window swing shut. The woman's hand slides the bolt home, locking the window from the inside.",causal/relational queries
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,"In [13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON], What is displayed on the shallow porcelain tray?",Immense and grotesque marine worm specimens,Next to a shallow porcelain tray full of immense and grotesque marine worm specimens lies a large parcel wrapped in brown paper,objects/props
57、INT. SPERGAZZI APARTMENT -- NIGHT,What does 'Mediterranean European Catholic style' refer to in the passage?,A decorative style with plastic/plaster Madonnas and religious calendars.,"Mediterranean European Catholic style, featuring lots of plastic and plaster Madonnas, calendars with Christ exposing his bleeding heart",terminology/abbreviation/concept
61、INT. BETTS' APARTMENT -- NIGHT,"In [61、INT. BETTS' APARTMENT -- NIGHT], What is Janine's emotional state when she sees Betts?",Slightly taken aback,Janine is slightly taken aback -- it's not Betts' style.,character states
20、INT. ST. LUC'S OFFICE -- AFTERNOON,What does St. Luc say about the possibility of cancer developing quickly?,He can't see cancer developing that fast.,"I just can't see cancer developing that fast, Janine, not the way you've described it.",dialogue/beliefs
