scene,question,answer,evidence,qa_type
9、INT. MILES OFFICE,"In [9、INT. MILES OFFICE], What is Miles' emotional state?",Feeling fragile and haunted,Miles has a haunted look and says he's feeling very fragile,character states
2、INT. MASSEY MEYERSON CONFERENCE ROOM - DAY,What does Miles believe about life according to his speech?,Life is struggle and the ultimate destruction of your opponent.,At Massey Myerson we believe life is struggle and the ultimate destruction of your opponent.,dialogue/beliefs
24、EXT. MASSEY MYERSON - CONFERENCE ROOM - DAY,"In [24、EXT. MASSEY MYERSON - CONFERENCE ROOM - DAY], What is Miles' emotional state during his speech?","Naked, vulnerable, and in love","MILES For the first time in my life, I stand before you naked... vulnerable... and in love.",character states
5、INT. SARAH SORKIN'S BEACH HOUSE - NIGHT,What action does Frankie Pentangeli take after the courtroom scene according to Marylin's story?,Opens his veins in the bathtub.,"In the Godfather, after the courtroom scene, Frankie Pentangeli opens his veins in the bathtub.",detailed description
16、INT. FANCY RESTAURANT,"In [16、INT. FANCY RESTAURANT], What emotional states does Marylin express during the conversation?","Betrayed, abandoned, and humiliated.","MARYLIN: I don't feel victorious... betrayed, abandoned and humiliated.",character states
10、INT. PRIVATE BATHROOM,What does Miles do with his finger while addressing Marylin?,"He runs a finger across his teeth, which squeak.","He runs a finger across his teeth, which squeak",detailed description
10、INT. PRIVATE BATHROOM,How does Doyle present the item he pulls from his pocket?,"He pulls out a deranged piece of felt stuffed with money, most of which slips to the floor.",Doyle pulls out a deranged piece of felt stuffed with money. Most of the contents slip to the floor.,detailed description
26、INT. QUATRAIN ANTIQUES - DAY,"In [26、INT. QUATRAIN ANTIQUES - DAY], How does Marylin describe Miles' personality?","He is idealistic and happy, lacking cynicism or anger.",He's still so idealistic. He has no cynicism or anger.,character states
47、INT. MASSEY BEDROOM,Why is the construction worker hostile after receiving the cigars?,Because he believes they're harmful and illegal.,"CONSTRUCTION WORKER: 'They're illegal, and you get to put em in fancy boxes -- but -- shit man! It's still tobacco.'",causal/relational queries
28、INT. RUTH RABINOW'S OFFICE,"In [28、INT. RUTH RABINOW'S OFFICE], What is Miles's emotional state during his conversation with Ruth?",Upset and frustrated,Miles ranting around her office,character states
11、INT. HOWARD'S HOUSE - NIGHT,What does Miles believe about Marylin Rexroth's feelings for Howard Doyle?,He believes she doesn't love him.,"She can't really love that idiot, can she?",dialogue/beliefs
28、INT. RUTH RABINOW'S OFFICE,"In [28、INT. RUTH RABINOW'S OFFICE], How does Ruth respond to Miles's distress?",She sighs sympathetically,Ruth sighs sympathetically,character states
19、INT. DEN - MASSEY MANSION,"In [19、INT. DEN - MASSEY MANSION], What artist's lithograph does Marylin admire?",Hockney,I love that lithograph. Hockney?,objects/props
47、INT. MASSEY BEDROOM,Why does Miles give the cigars to the construction worker?,Because the worker pointed out they're illegal and harmful.,"CONSTRUCTION WORKER: 'They're illegal, and you get to put em in fancy boxes -- but -- shit man! It's still tobacco.'",causal/relational queries
23、INT. MASSEY HOUSE - MORNING,"In [23、INT. MASSEY HOUSE - MORNING], What is Marylin's behavioral state as Miles tells her about his day?",rapt with attention,she is rapt with attention.,character states
22、INT. CHAPEL,"In [22、INT. CHAPEL], What is Miles' emotional state when he bows his head?",Chastened,"Chastened, Miles bows his head.",character states
44、INT. MANSION,What does Joe claim about himself during the confrontation?,I'm the exterminator.,JOE: Lemme tell you something. You are the pestilence. I'm the exterminator.,dialogue/beliefs
44、INT. MANSION,What does Marylin say about whores and money?,All whores worship the dollar.,"MARYLIN: Well, actually, all whores worship the dollar, if you want to get technical.",dialogue/beliefs
11、INT. HOWARD'S HOUSE - NIGHT,What does Miles say about Howard Doyle?,He says Howard is the wrong man.,He's the wrong man.,dialogue/beliefs
31、INT. KENNETH'S HOUSE,"In [31、INT. KENNETH'S HOUSE], What is Miles's emotional state when he says 'I already made my move'?",Sad,"MILES (Sadly) I already made my move, Kenneth.",character states
34、INT. POLICE STATION - MONTAGE - DAY,"In [34、INT. POLICE STATION - MONTAGE - DAY], What is Marylin's emotional state after being placed in the holding tank?",Despondent,She clings despondently to the bars.,character states
25、INT. DEN - MASSEY HOUSE,"In [25、INT. DEN - MASSEY HOUSE], What is Miles' emotional state when he insists Marylin stay close?",Affectionate,MILES No. Stay. I want you close to me.,character states
