id,scene,question,answer,evidence,qa_type
1,3、INT: JADE'S APARTMENT--DAY,How does Mookie count his money?,Straightening the corners of the bills and arranging them so the 'dead presidents' face the same way,"he's straightening out all the corners of the bills, arranging them so the bills--actually the 'dead presidents'--are facing the same way",detailed description
2,13、INT: WE LOVE CONTROL BOOTH--DAY,What action does Mister Seor Love Daddy perform towards Radio Raheem?,Gives a clenched-fist salute,Mister Seor Love Daddy gives Radio Raheem a clenched-fist salute.,detailed description
3,3、INT: JADE'S APARTMENT--DAY,What camera movement is described at the start?,CAMERA MOVES IN ON a young man sitting at the edge of a sofa bed,CAMERA MOVES IN ON a young man sitting at the edge of a sofa bed,detailed description
4,19、INT: SAL'S FAMOUS PIZZERIA--DAY,"In [19、INT: SAL'S FAMOUS PIZZERIA--DAY], What is Buggin' Out's emotional state when he confronts Sal?",Buggin' Out is angry and confrontational.,"Buggin' Out slams his money down on the counter, takes his slice and sits down. He demands changes to the Wall of Fame.",character states
5,40、EXT: STREET--DAY,"In [40、EXT: STREET--DAY], Why does Radio Raheem reference the 'LOVE' and 'HATE' rings during his story?",To symbolize the conflict between Good and Evil.,Spelled out across the rings are the words 'LOVE' on the right hand and 'HATE' on the left hand. The story of Life is this... Left Hand Hate is kicking much ass... Love has won.,causal/relational queries
6,40、EXT: STREET--DAY,"What causes Mookie to say 'I love you, Black' at the end?",Radio Raheem's declaration of love for him.,"RADIO RAHEEM: I love you, my brother. MOOKIE: I love you, Black.",causal/relational queries
7,36、EXT: STOOP--DAY,Why does Da Mayor mention his children's hunger?,To explain his pain and justify his actions.,"Until you have stood in the doorway and heard the hunger of your five children, unable to do a damn thing about it, you don't know shit.",causal/relational queries
8,36、EXT: STOOP--DAY,Why does Da Mayor give Eddie money?,Because Eddie agrees to run the errand for him.,You got a deal. He gives Eddie some money.,causal/relational queries
9,46、INT: JADE'S BEDROOM--DAY,Why does Mookie dismiss Jade's concern about Sal?,He believes he's not a slave and doesn't want to argue.,"Slavery days are over. My name ain't Kunta Kinte. Sis, I don't want to argue, stop pressing me.",causal/relational queries
10,49、EXT: DA MAYOR'S STOOP--DAY,What caused Da Mayor's hands to loosely hold the brown paper bag?,He had fallen asleep,Da Mayor has fallen asleep sitting on his stoop. His hands loosely hold a brown paper bag that is tightly twisted around a beer can.,causal/relational queries
11,41、INT: SAL'S FAMOUS PIZZERIA--DAY,Why does Sal grab the Mickey Mantle bat?,Because Radio Raheem's music disturbs him and the customers.,"Sal grabs his Mickey Mantle bat from underneath the counter. Everyone, Sal, Vito, Pino, Radio Raheem, and the customers are poised for something to jump off, STATIC.",causal/relational queries
