scene,question,answer,evidence,qa_type
34、INT. LOCKER ROOM -- NIGHT,Why does Skip confront Whitey?,"Because Whitey is writing about the team's losing streak, which Skip resents.",WHITEY I'm doing a column on the Myth of Sisyphus... SKIP PICKS UP A CHAIR AND FIRES IT AT WHITEY,causal/relational queries
61、INT. ANNIE'S HOUSE -- NIGHT,What does Deke's Wife believe Mickey's statement implies?,He's unfaithful -- but only a man would put it in those words.,DEKE'S WIFE: It means he's unfaithful -- but only a man would put it in those words.,dialogue/beliefs
45、EXT. CHEAP MOTEL IN GREENSBORO -- DAWN,What is the purpose of the Bulls' game against the Greensboro Astros?,To end their six-game losing streak,Bulls will attempt to end a six game losing streak against the Greensboro Astros,causal/relational queries
40、EXT. HIGHWAY THROUGH THE SMOKY MOUNTAINS - EARLY MORNING,What does Annie believe causes a man to avoid seeking other women?,A woman taking care of her man thoroughly,I believe a woman oughta take care of her man so thoroughly that he can go on the road for a few days without having the desire to search out another pair of panties,causal/relational queries
15、INT. THE LOCKER ROOM --,What does Ebbby say about his first professional win?,It feels 'out there'. A major rush.,WHITEY How's it feel to get your first professional win? EBBY It feels 'out there'. A major rush.,dialogue/beliefs
46、INT. GREENSBORO BALLPARK LOCKER ROOM -- DAY,Why does he stuff the red panties back into his bag?,Because he is embarrassed.,He's embarrassed anyway -- and stuffs them back.,causal/relational queries
35、EXT. THE BALLPARK SIMULTANEOUS -- NIGHT,Why is the organization making a change regarding Bobby?,He is in a slump and hitless.,Bobby went hitless again... the organization has decided to make a change,causal/relational queries
15、INT. THE LOCKER ROOM --,What does Crash express about the situation?,Hopeless. Utterly fucking hopeless.,CRASH Hopeless. Utterly fucking hopeless.,dialogue/beliefs
22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT,"In [22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT], What is Ebby's emotional state during the scene?","Excited, intrigued, aroused, and frightened.","CLOSE ON EBBY'S FACE -- Intrigued, aroused, frightened.",character states
22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT,"In [22、INT. ANNIE'S BEDROOM -'CONTINUOUS NIGHT], What behavioral state does Ebby exhibit when he says 'Bring it on!'?",Excited and eager.,Ebby's wrist. Both his arms are outstretched -- he's getting very excited.,character states
27、EXT. A LOCAL BATTING CAGE DAY,"In [27、EXT. A LOCAL BATTING CAGE DAY], What does Crash think about his 227 minor league home runs?",He considers it a dubious honor.,"CRASH: 'home runs in the minors would be a dubious honor, if ya think about it.'",character states
33、EXT. DURHAM BASEBALL STADIUM -- SHORT TIME LATER,Why does Nuke want to throw the heater?,To announce his presence with authority.,NUKE: 'I wanta throw the heater to announce my presence with authority.',causal/relational queries
29、INT. ANNIE'S BEDROOM -- DAY,What does Annie say about listening to women during intimacy?,Don't ever listen to a woman when she's making love. They'll say the strangest things.,ANNIE: 'Don't ever listen to a woman when she's making love. They'll say the strangest things.',dialogue/beliefs
19、INT. ANNIE'S LIVING ROOM -- NIGHT,"In [19、INT. ANNIE'S LIVING ROOM -- NIGHT], What behavioral state does Crash exhibit when speaking about his beliefs?",Aloof and passionate,"He stops, and speaks with both aloofness and passion.",character states
41、INT. THE BUS -- MORNING,Why does Crash dislike Nuke?,Because Nuke doesn't respect himself or the game,You don't respect yourself... you don't respect the game -- and that's my problem.,causal/relational queries
20、INT. ANNIE'S BEDROOM -- MOMENTS LATER,"In [20、INT. ANNIE'S BEDROOM -- MOMENTS LATER], What is Annie's behavioral state during the interaction with Ebby?",She is instructive and controlling.,"No, no, no. Put it back on and take it off slowly.",character states
34、INT. LOCKER ROOM -- NIGHT,Why does Skip throw bats into the shower?,To enforce a rule requiring players to leave the shower within ten seconds to avoid a fine.,SUDDENLY SKIP STEPS INTO THE SHOWER... Anybody not outta the shower in ten seconds gonna get fined a hundred bucks.,causal/relational queries
37、EXT. STADIUM PARKING LOT -- DAWN,What effect does Annie believe the panties will have on Nuke's pitching?,They will help him pitch better by changing his mindset.,ANNIE: 'They'll fit snugly against your balls... you'll start seeing things differently -- plus they'll remind you of me which is better than thinking about those nasty hitters.',causal/relational queries
29、INT. ANNIE'S BEDROOM -- DAY,What does Nuke say he wanted to be?,The host of Dance Fever.,"NUKE: 'I wanted to be the host of Dance Fever, somethin' like that...'",dialogue/beliefs
7、INT. THE DUGOUT,What is the function of 'CLOSE ON' in the passage?,Highlights a specific subject or object within a scene.,CLOSE ON ANOTHER PLAYER,terminology/abbreviation/concept
47、EXT. GREENSBORO BALLPARK DAY,What causes the scene to cut after the batter swings?,The batter's swing causes the scene transition.,"The batter swings, and: CUT TO:",causal/relational queries
17、EXT. THE PARKING LOT -- NIGHT,When does Crash hit Ebby?,After Ebby charges him,"EBBY IS ENRAGED -- HE CHARGES CRASH, lunging at him. Crash LASHES OUT A SHORT LEFT",temporal references
41、INT. THE BUS -- MORNING,Why does Skip tell the others to shut up?,To stop the cacophony from the dueling tape decks,DUELING TAPE DECKS. C & W going head to head with R & B. A cacophony.,causal/relational queries
