scene,question,answer,evidence,qa_type
33、INT. O'ROURKE'S - NIGHT (LATER),What does Galvin believe the court's purpose is?,"To give them a chance at justice, not actual justice.","GALVIN: The court doesn't exist to give them justice, eh? But to give them a chance at justice.",dialogue/beliefs
"62、INT. ""D. KAYE"" SIGN - COURTROOM CORRIDOR - DAY",What is written on the door's card?,PART III. DEBORAH ANN KAYE V. ST. CATHERINE LABOURE HOSPITAL ET AL.,The card reads: 'PART III. DEBORAH ANN KAYE V. ST. CATHERINE LABOURE HOSPITAL ET AL.',detailed description
26、INT. BISHOP BROPHY'S OFFICE - DAY,"In [26、INT. BISHOP BROPHY'S OFFICE - DAY], What is Galvin's behavioral state when he receives the document?",Sitting as if in a dream,Galvin is sitting as if in a dream.,character states
8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT,"In [8、INT. GALVIN'S OFFICE ANTEROOM - NIGHT], What is Galvin's emotional state when he wakes up?",Vacant and dismissive.,"GALVIN (vacantly): Hi, Mickey... ...hey, I don't need your charity...",character states
12、INT. NURSING HOME WARD - DAY,What is the visual description of the figure in the bed?,"Shriveled, tiny form stuck with needles and tubes","SEE in the bed beyond it a shriveled, tiny form stuck with needles and tubes",detailed description
26、INT. BISHOP BROPHY'S OFFICE - DAY,"In [26、INT. BISHOP BROPHY'S OFFICE - DAY], What is the Bishop's emotional state during his conversation with Galvin?",Compassionate,Compassionately: BISHOP It's a question of continuing values.,character states
27、INT. LAWYERS ROOM AND CORRIDOR - DAY,"In [27、INT. LAWYERS ROOM AND CORRIDOR - DAY], What is Galvin's emotional state when entering the Lawyers Room?",Determined,"Galvin, determined, coming down a corridor in the Courthouse",character states
72、INT. CONCANNON'S OFFICE - NIGHT,"In [72、INT. CONCANNON'S OFFICE - NIGHT], What is stamped on the red-backed document?","CONCANNON, BARKER, WHITE. Confidential. Eyes only.","stamped CONCANNON, BARKER, WHITE. Confidential. Eyes only.",objects/props
24、INT. GALVIN'S APARTMENT - NIGHT,"In [24、INT. GALVIN'S APARTMENT - NIGHT], What is Galvin's emotional state as depicted in the passage?",Saddened and distressed,"He sighs, rotates his neck, and discusses tragic events over the phone.",character states
41、INT. O'ROURKE'S PUB - NIGHT,What does Mickey say about Franky's absence?,"Franky can't make it. He had an appointment he forgot, he's going to see you later.","MICKEY Franky can't make it. He had an appointment he forgot, he's going to see you later.",dialogue/beliefs
21、INT. GRUBER'S HOSPITAL STAIRS - NIGHT,"In [21、INT. GRUBER'S HOSPITAL STAIRS - NIGHT], What is Gruber's behavioral state when he checks his watch?",Impatient,"glances at watch, impatient",character states
49、INT. JUDGE SWEENEY'S HOUSE - NIGHT,"In [49、INT. JUDGE SWEENEY'S HOUSE - NIGHT], Where does Galvin go after knocking on the sliding door?",The Judge's darkened study,Galvin opens the door and goes into the Judge's darkened study.,scene localization
56、EXT. SOUTH STREET STATION AND STREET - DAY,What does Galvin ask Dr. Thompson to do when he hands him the envelope?,Please don't tell anyone you're here,GALVIN (to Dr. Thompson) 'Please don't tell anyone you're here',dialogue/beliefs
11、INT. NORTHERN NURSING HOME CORRIDOR - DAY,"In [11、INT. NORTHERN NURSING HOME CORRIDOR - DAY], Where is Galvin walking when he receives suspicious looks?",The corridor of a very rundown nursing home,Galvin walking tentatively down the corridor of a very rundown nursing home.,scene localization
19、INT. GRUBER'S DOCTORS LOCKER ROOM - NIGHT,"In [19、INT. GRUBER'S DOCTORS LOCKER ROOM - NIGHT], What is Dr. Gruber's behavioral state during the conversation?",Rushed,Gruber... I'm kind of rushed. Do you mind if we walk while we talk?,character states
72、INT. CONCANNON'S OFFICE - NIGHT,"In [72、INT. CONCANNON'S OFFICE - NIGHT], Who possesses the red-backed file document at the start?",Concannon,Concannon sitting on a couch. He holds a red-backed file document.,objects/props
7、INT. GALVIN'S OFFICE - NIGHT,What causes Galvin to knock the phone off the desk?,He was going back to the desk for the bottle.,"He starts back to the desk for the bottle, knocks the still-ringing phone off the desk.",causal/relational queries
60、INT. GALVIN'S APARTMENT SITTING ROOM - NIGHT,What is Galvin doing while standing behind Mickey?,Galvin is smoking and nodding.,"Galvin standing behind Mickey, smoking. He nods.",detailed description
38、INT. JUDGE SWEENEY'S CHAMBERS-DAY,What does the Judge say to Galvin when he enters the room?,"You're late, Mr. Galvin.","JUDGE (V.O.) You're late, Mr. Galvin.",dialogue/beliefs
12、INT. NURSING HOME WARD - DAY,What action does Galvin perform with the camera after taking photos?,"Puts down camera, sits on the end of the bed","Puts down camera, sits on the end of the bed gazing at the unseen form",detailed description
20、INT. GRUBER'S HOSPITAL CORRIDOR - NIGHT,"In [20、INT. GRUBER'S HOSPITAL CORRIDOR - NIGHT], What is the behavioral state of Gruber and Galvin as described in the passage?",Hurriedly walking through a hospital corridor and down concrete stairs,"They walk hurriedly through a hospital corridor, to an EXIT door and down concrete stairs.",character states
