id,scene,question,answer,evidence,qa_type
1,38、宿舍，夜，内,何小萍为什么流下泪水？,因为写信时回忆起与父亲的分离和孤独。,何小萍此时正打着手电写信，写到一半儿眼角流下了泪水，然后又擦擦泪水继续写。,causal/relational queries
2,58、帐篷，日，外,"在[58、帐篷，日，外]中, 何小萍为何放弃A角机会？",她对集体彻底寒心，选择放弃抗争。,很多年后我才能体会到何小萍那天中午的心情，她是在刘峰被处分之后对我们所有人都彻底寒心了。,character states
3,67、野外，日，外,宁政委对萧穗子说了什么？,抽调萧穗子去前线协助纪录片拍摄，今晚出发。,宁政委：你的文字能力不错，前线正缺记者和报道员，政治部抽调你去协助纪录片的拍摄，要到更前面去了，今晚就出发。,dialogue/beliefs
4,52、排练室，日，内,"在[52、排练室，日，内]中, 林丁丁的情绪状态如何？",惊悚、恶心、辜负和幻灭,她感到惊悚、恶心、辜负和幻灭。,character states
5,38、宿舍，夜，内,何小萍为什么写信给父亲？,因为看到希望，战友的爸爸都解放了，希望父亲也快回来。,何小萍画外音：爸爸，从前我都是受了欺负心里委屈了才给您写信，可今天不是，今天，我是看到了希望，我们团，好几个战友的爸爸都解放了，我想，我的爸爸应该也快等到这一天了吧,causal/relational queries
6,61、高原，日，外,"在[61、高原，日，外]中, 何小萍将被调往何处？",野战区医院,何小萍同志因为身体原因就要改行了，要到野战区医院锻炼,scene localization
7,63、帐篷，日，外,"在[63、帐篷，日，外]中, 医疗兵的情绪状态如何？",急匆匆，似乎在和时间赛跑,每个人都急匆匆的，似乎在和时间赛跑,character states
8,57、冰面，日，外,"在[57、冰面，日，外]中, 卓玛的情绪状态如何？",她感到痛苦,卓玛痛苦的捂着膝盖：我的膝盖。,character states
9,26、宿舍走廊，日，外,郝淑雯为什么威胁要搜查何小萍？,因为何小萍偷了林丁丁的军装照,林丁丁：你穿我军装的照片，都摆橱窗里了...郝淑雯：照片呢？是你自己拿出来还是我们搜,causal/relational queries
10,36、画面组合,刘峰为什么转行到舞美队？,在抗洪救灾中砸伤了腰，不能跳舞了,刘峰...在抗洪救灾中砸伤了腰，不能跳舞了，转行去了舞美队,causal/relational queries
11,37、排练场，日，内,刘峰为什么带回包裹？,因为萧穗子父亲平反，刘峰受托关照她。,你爸怕麻烦我跑路，自己提着箱子送到了京西宾馆，特地嘱咐我，说咱俩是战友，让我一定关照你。,causal/relational queries
