scene,question,answer,evidence,qa_type
4、INT. HOUSE - DAY,How is the housewife holding the vacuum and cigarette?,"One hand clutching the vacuum, the other stiffly holding a cigarette","one hand clutching the vacuum, the other stiffly holding a cigarette",detailed description
9、INT. KITCHEN - NIGHT,"In [9、INT. KITCHEN - NIGHT], What is the cook's emotional state when he sees something he doesn't like?",Surprised and alarmed,The freaky cook sees something he doesn't like. His eyes widen.,character states
1、INT. RESIDENTIAL HOTEL ROOM - NIGHT,What is depicted on the photograph inside the burning trumpet case?,"A photograph of a woman, with only her smile remaining as it burns",A PHOTOGRAPH of a woman taped to the inside of a trumpet case. The photo is on fire. Only her smile remains.,detailed description
20、INT. CAR - SAME,What does Danny say about paranoia?,"Just because you're paranoid, doesn't mean everyone's not out to slice your balls off and shove 'em down your throat.","DANNY: Well, you know what they say, just because you're paranoid, doesn't mean everyone's not out to slice your balls off and shove 'em down your throat.",dialogue/beliefs
20、INT. CAR - SAME,What does Tanner say to Danny after he mentions Crankville?,"Feeling the paranoia tonight, are we?","TANNER: Feeling the paranoia tonight, are we?",dialogue/beliefs
22、EXT. PARK - NIGHT,"In [22、EXT. PARK - NIGHT], What is Garcetti's emotional state when he confronts Danny?",Contemptuous and hostile,Garcetti looks at Danny with contempt.,character states
26、INT. RESIDENTIAL HOTEL ROOM - NIGHT,"In [26、INT. RESIDENTIAL HOTEL ROOM - NIGHT], What is inside the trumpet case?","A gleaming horn, a photo of a woman, a life insurance check, and a driver's license with Danny's name.",He slowly opens the trumpet case revealing a GLEAMING HORN inside. ... A CHECK from a LIFE INSURANCE COMPANY and a DRIVER'S LICENSE with Danny's picture and the name TOM VAN ALLEN.,objects/props
27、EXT. SALTON SEA - SUNSET (FLASHBACK),What does Danny say about why the song feels melancholy?,I think of what my life would be like without you.,DANNY/TOM You know how I make that song melancholy when I play it? I think of what my life would be like without you.,dialogue/beliefs
40、EXT. POOH-BEAR'S COMPOUND - DAY,What is the 'Grassy Knoll' in the context of the passage?,A location where a third shooter is positioned.,"A THIRD GUY aiming a pellet gun further down and to the right of ""Oswald"".",terminology/abbreviation/concept
50、INT. HALLWAY - DAY (FLASH FORWARD),"In [50、INT. HALLWAY - DAY (FLASH FORWARD)], What is Kujo's behavioral state during the interaction with the courier?",Threatening,Kujo points a dustbuster vacuum at the courier like it was a gun.,character states
43、INT. CINDER BLOCK BAR - NIGHT,"In [43、INT. CINDER BLOCK BAR - NIGHT], What is Danny's behavioral state while Kujo speaks?",Not listening and appears exhausted.,Kujo rambles on but Danny isn't listening. He looks exhausted.,character states
48、INT. HALLWAY - DAY (FLASH FORWARD),"In [48、INT. HALLWAY - DAY (FLASH FORWARD)], What is Creeper's behavioral state?","Asleep in the elevator, then wakes and assumes a karate stance.","Creeper still fast asleep inside the elevator. He wakes with a start, breaking down into a karate stance.",character states
34、INT. BARE APARTMENT - NIGHT,What does the kid say about the traceability of his weapons?,All guaranteed stolen and traceable only to their original owners.,"He is squeezed into a terry-cloth jumpsuit, his body festooned with gold jewelry, his hair all wet jerry-curl.",dialogue/beliefs
37、INT. RESIDENTIAL HOTEL ROOM - NIGHT,How does the dude speak after the loud smack?,"In hushed tones, contrite","The dude talking in hushed tones, contrite",dialogue/beliefs
32、INT. CINDER BLOCK BAR - SAME,What causes Jimmy's condition?,"His brain is in reverse mode, cutting off dopamine supply.",Your brain is in reverse mode ... cutting off your supply of dopamine.,causal/relational queries
