id,scene,question,answer,evidence,qa_type
1,34、INT. NURSING HOME - DAY,Why is Mary sitting expectantly on the edge of the bed?,"She is waiting for her son, Martin, as the nurse mentions his arrival.",Mary sits expectantly on the edge of the bed clutching her purse.,causal/relational queries
2,"12、INT. APARTMENT, CHICAGO - NIGHT","In [12、INT. APARTMENT, CHICAGO - NIGHT], What is Martin's emotional state when he enters the apartment?",Weary,He wearily drops his carry-on bag and briefcase,character states
3,"5、INT. HIRED CAR, NEW YORK - DAY","In [5、INT. HIRED CAR, NEW YORK - DAY], What is Martin's emotional state regarding his work?",He has lost his passion for work.,MARTIN: 'I've lost my passion for work.',character states
4,6、INT. CAR - MANHATTAN STREETS - LATER,What belief does the Driver express about control?,A small group controls the world,It's not so surprising that a small group of people control the whole world.,dialogue/beliefs
5,21、INT. CHURCH -,What does Martin do with the chalice?,"He removes it, squirts a clear liquid into the cup, swishes it out, and returns it to the cabinet.","MARTIN'S HANDS open the gilded doors to reveal the chalice. He removes it, squirts a clear liquid into the cup, and swishes it out. He returns the chalice to the cabinet.",detailed description
6,20、INT. DR. OATMAN'S OFFICE - DAY,What does Martin visualize during his session with Dr. Oatman?,"A crowded gymnasium where alumni draw guns and open fire, leading to a bloodbath.","CUT TO: MARTIN'S P.O.V. - FROM ABOVE Of a crowded gymnasium. The alumni below stops what they are doing and look up at Martin, DRAWING GUNS OF ALL SHAPES AND SIZES AND OPEN FIRE ON MARTIN. THE UNITED FORCE INSTANTLY DISINTEGRATES, AND ALL 400 PEOPLE TURN THEIR GUNS ON EACH OTHER. A BLOODBATH ENSUES.",detailed description
7,28、INT. DETROIT AIRPORT TERMINAL - EARLY MORNING,Why does Lardner dispute McCullers' claim about meeting the man in Lisbon?,Lardner states the man hasn't been to Portugal since '90 per the file.,LARDNER: 'He hasn't been in Portugal since '90. I know that from the file.',causal/relational queries
8,3、EXT. COUNTRY CLUB - DAY,What does Martin do with the laminated card?,"Fishes it out, looks at it, and tosses it onto the ground","He fishes out the laminated 'Personal Pan Power' card, looks at it, and tosses it onto the ground.",detailed description
9,28、INT. DETROIT AIRPORT TERMINAL - EARLY MORNING,What causes Lardner's sarcastic suggestion to McCullers about killing the man?,McCullers' persistent claims about knowing the man frustrate Lardner.,LARDNER: 'Why don't I just take the weekend off and let you kill him.',causal/relational queries
10,30、EXT. HIGHWAY-,What is the result of Martin driving down the roadway?,Headlong into his past.,Martin drives down the roadway... headlong into his past.,causal/relational queries
