scene,question,answer,evidence,qa_type
"50、INT. LUGGAGE STORE, EPPLEY AIRFIELD - MORNING",Why does Ryan emphasize the time spent checking in luggage?,To argue against checking in by highlighting the accumulated time loss.,"Ryan states 35 minutes per flight, 270 days a year equals 157 hours (seven days) lost.",causal/relational queries
9、INT. SMALL CONFERENCE ROOM - DAY,"In [9、INT. SMALL CONFERENCE ROOM - DAY], What emotional state does Steve display when Ryan gives him the packet?",Dismissive,"STEVE (DISMISSIVE) Oh, I'm sure it's going be really helpful.",character states
"62、INT. PUBLIC BATHROOM, ST. LOUIS HILTON - EVENING",Why does Natalie stop herself from checking on the woman in the stall?,She thinks she might have fired her.,Maybe I fired her.,causal/relational queries
"63、INT. RESTAURANT BAR, ST. LOUIS HILTON - EVENING","In [63、INT. RESTAURANT BAR, ST. LOUIS HILTON - EVENING], What is Natalie's emotional state when she returns to the table?",Visibly shaken,Natalie sits back down at the table a little visibly shaken.,character states
"47、INT. RYAN'S OFFICE, CTC - DAY","In [47、INT. RYAN'S OFFICE, CTC - DAY], What is Ryan's emotional state when Craig accuses him of being irrelevant?",Defensive and resistant,Ryan shoots a look. I'm not... I'm not a dinosaur.,character states
"52、INT. SECURITY, EPPLEY AIRFIELD- MORNING",Why does Natalie accuse Ryan of racism?,Because he makes stereotypical comments about the groups.,NATALIE: That's racist.,causal/relational queries
"25、INT. BROOKS BROTHERS, DALLAS FORT WORTH AIRPORT - DAY",Why does Ryan hesitate before answering his phone?,The caller's ID is unavailable.,checks the I.D.- UNAVAILABLE,causal/relational queries
9、INT. SMALL CONFERENCE ROOM - DAY,"In [9、INT. SMALL CONFERENCE ROOM - DAY], What emotional state does Steve show after Ryan's advice about building an empire?",Hopeful,"And just for a moment, Steve looks hopeful.",character states
2、INT. BOEING 757 - DAY,What line does the flight attendant repeat to Ryan?,Do you want the cancer?,Do you want the cancer?,dialogue/beliefs
14、INT. SECURITY - PHOENIX SKY HARBOR INTL AIRPORT - SAME,"In [14、INT. SECURITY - PHOENIX SKY HARBOR INTL AIRPORT - SAME], What does 'JUMP CUT TO' signify in the passage?",A film editing technique indicating a transition between scenes.,JUMP CUT TO:,terminology/abbreviation/concept
48、INT. RYAN'S APARTMENT - DAY,"In [48、INT. RYAN'S APARTMENT - DAY], What is Ryan's emotional state while packing?",Frustrated,A moment of silent frustration.,character states
"42、INT. ELEVATOR, RYAN'S APARTMENT BUILDING - DAY","In [42、INT. ELEVATOR, RYAN'S APARTMENT BUILDING - DAY], What is Ryan's reason for needing a permanent address?",The IRS requires a permanent address for employment to avoid being classified as a vagrant.,"RYAN (DEAD SERIOUS) I looked into it, but the IRS requires a permanent address for employment. Otherwise, they classify you as a vagrant.",character states
"53、INT. SECURITY, EPPLEY AIRFIELD MOMENTS LATER","In [53、INT. SECURITY, EPPLEY AIRFIELD MOMENTS LATER], What is Natalie's current task?",Trying to find the metal on her body that set off the machine,Natalie is trying to find the metal on her body that has set off the machine,character states
"58、INT. RECEPTION, BOTTLING COMPANY - DAY","In [58、INT. RECEPTION, BOTTLING COMPANY - DAY], What emotional state does Natalie exhibit upon entering the location?",She is trying to hide her realization that things are becoming real.,Natalie tries not to show: It's all becoming very real.,character states
"61、INT. LOBBY, ST. LOUIS HILTON - NIGHT",What does the business woman say about Ryan's actions?,I've been waiting ten minutes. He just waltzes in and gets to cut in line.,"BUSINESS WOMAN
I've been waiting ten minutes. He just
waltzes in and gets to cut in line.",dialogue/beliefs
7、INT. BREAK ROOM - DAY,What does Ryan say about his employment?,He works for another company that lends him out to Steve's boss.,RYAN (V.O.) And that's because I don't work here. I work for another company that lends me out to pussies like Steve's boss...,dialogue/beliefs
28、INT. BAR LOUNGE - HOUSTON HILTON - EVENING,"In [28、INT. BAR LOUNGE - HOUSTON HILTON - EVENING], What item does Alex place on the table after sifting through her purse?",A pair of car keys with a MAESTRO TAG,She sets a pair of car keys with a MAESTRO TAG on the table.,objects/props
"67、INT. CONFERENCE ROOM, WICHITA SECURITIES COMPANY - DAY",What does the Young Asian Guy claim about the place without him?,He says the place is totally fucked in the ass without him.,I am the one thing preventing this place from being totally fucked in the ass.,dialogue/beliefs
69、EXT. WICHITA SECURITIES COMPANY COURTYARD - DAY,What does Ryan believe about following up on threats?,Nothing good can come of that.,"RYAN: I mean, no, nothing good can come of that...",dialogue/beliefs
"27、INT. CONCOURSE, DALLAS FORT WORTH AIRPORT - DAY","In [27、INT. CONCOURSE, DALLAS FORT WORTH AIRPORT - DAY], What does Kara ask Ryan to photograph?",The cut-out in front of the Luxor Pyramid.,Can you get a photo of the cut-out in front of the Luxor Pyramid?,objects/props
8、INT. STEVE'S BOSS'S OFFICE - DAY,"In [8、INT. STEVE'S BOSS'S OFFICE - DAY], What is Steve's behavioral state?",Engaged in destructive actions,FLASH IMAGES: Steve wipes off his boss's desk. Steve shreds sensitive documents. Steve pours bleach into the communal coffee pot. Steve loads an assault rifle.,character states
"60、INT. WINDOWLESS CONFERENCE ROOM, BOTTLING COMPANY - DAY","In [60、INT. WINDOWLESS CONFERENCE ROOM, BOTTLING COMPANY - DAY], What is Natalie's behavioral state when handing out packets?",Begrudgingly handing packets,Natalie who we now see begrudgingly HANDING PACKETS,character states
69、EXT. WICHITA SECURITIES COMPANY COURTYARD - DAY,What does Ryan say about people's statements?,People say these things all the time. It comes with the trade.,RYAN: People say these things all the time. It comes with the trade.,dialogue/beliefs
7、INT. BREAK ROOM - DAY,Why does Ryan claim he isn't working at the current location?,Because he works for another company that lends him out to Steve's boss.,RYAN (V.O.) And that's because I don't work here. I work for another company that lends me out to pussies like Steve's boss...,dialogue/beliefs
"42、INT. ELEVATOR, RYAN'S APARTMENT BUILDING - DAY","In [42、INT. ELEVATOR, RYAN'S APARTMENT BUILDING - DAY], What is Ryan's emotional state when discussing his address?",Dead serious.,RYAN (DEAD SERIOUS) I looked into it...,character states
56、INT. HOTEL CONFERENCE ROOM - DAY,How does Ryan react to Alex's statement about being 'yourself only with a vagina'?,Ryan lights up and then recovers.,Ryan lights up... This woman fucking rocks. Then recovers.,detailed description
"11、INT. LOBBY, PHOENIX HILTON - DAY",What happens after Ryan hands his Hilton Honors Card to the checkout girl?,The checkout girl runs the card and the screen pops up with information that makes her blush.,She runs the card and the screen pops up with information that makes her blush.,temporal references
