id,scene,question,answer,evidence,qa_type
1,51、INT. TIE FIGHTER - DAY,What does Poe reveal about the droid's purpose?,It has a map leading to Luke Skywalker.,That droid's got a map that leads straight to Luke Skywalker!,dialogue/beliefs
2,9、EXT. RISE ADJACENT TO THE VILLAGE - NIGHT,"In [9、EXT. RISE ADJACENT TO THE VILLAGE - NIGHT], What is BB-8's emotional state after receiving the artifact?",Nervous and hesitant,"BEEP-WHINES nervously, hesitates, and rolls away",character states
3,62、EXT. NIIMA OUTPOST - TENT - DAY,"In [62、EXT. NIIMA OUTPOST - TENT - DAY], What is Rey's emotional state after the explosion?",rattled and truly afraid,"Rey is thrown HARD to the ground -- she is rattled, truly afraid.",character states
4,67、INT. MILLENNIUM FALCON - COCKPIT - DAY,"In [67、INT. MILLENNIUM FALCON - COCKPIT - DAY], What is Rey's emotional state as she attempts to motivate herself?",Experiencing self-doubt,Doesn't believe her quick words,character states
5,59、EXT. NIIMA OUTPOST - DAY,Why does Rey charge at Finn after recognizing BB-8?,Because BB-8 starts beeping crazily and she realizes he's the target,SEES FINN! BB-8 STARTS BEEPING like crazy. Then something insane happens: REY LOOKS AT FINN. REY (To BB-8) Who? Him? ... Rey begins CHARGING AT HIM,causal/relational queries
6,15、INT. TROOP TRANSPORT VEHICLE - NIGHT,"In [15、INT. TROOP TRANSPORT VEHICLE - NIGHT], What emotional state is FN-2187 in when he removes his helmet?",Terrified and desperate,"In this moment, terrified, desperate.",character states
7,68、EXT. NIIMA OUTPOST - SPACEPORT - DAY,"In [68、EXT. NIIMA OUTPOST - SPACEPORT - DAY], What is Unkar Plutt's emotional state when the Falcon crashes?",Screaming in anger,"Unkar Plutt runs out, SCREAMS",character states
8,12、EXT. OUTSKIRTS OF JAKKU VILLAGE - NIGHT,"In [12、EXT. OUTSKIRTS OF JAKKU VILLAGE - NIGHT], What does BB-8 express through his beeping?",Lonely and frightened,"HEAR HIM BEEPING to himself, lonely and frightened",dialogue/beliefs
9,2、EXT. JAKKU VILLAGE - NIGHT,"In [2、EXT. JAKKU VILLAGE - NIGHT], What is BB-8's emotional state during the scene?",Clearly worried,"BEEPS -- FAST, MORSE CODE-LIKE SOUNDS, clearly worried",character states
10,30、EXT. NIIMA OUTPOST - DAY,What does Rey say about her family?,They'll be back. One day.,For my family. They'll be back. One day.,dialogue/beliefs
