id,scene,question,answer,evidence,qa_type
1,49、INT. THE WORKSHOP AT THE BACK OF THE BARN - DAY,"In [49、INT. THE WORKSHOP AT THE BACK OF THE BARN - DAY], What emotional state does Barbara display during the argument?",Resentful and confrontational.,Her father in name only! Precocious little shit.,character states
2,9、INT/EXT. CHARLIE'S CADILLAC/WESTON HOUSE - DAY,What does Mattie Fae say about burning a man's books?,"You do, if the situation calls for it.","MATTIE FAE You do, if the situation calls for it.",dialogue/beliefs
3,13、INT. WESTON HOUSE - AFTERNOON,What is Ivy doing at the top of the stairs?,Watches her mother in her sister's arms.,"Ivy appears at the top of the stairs, watches her mother in her sister's arms.",detailed description
4,15、INT. THE BACK PORCH - LATE AFTERNOON,What is the purpose of the safety deposit box in Violet and Barbara's arrangement?,"It stores cash and jewelry, which are rolled into the estate during probate.","If something were to ever happen to one of us, the other one would go empty that box. The money and jewelry gets rolled into the estate, bank seals the box until probate is settled.",terminology/abbreviation/concept
5,12、INT/EXT. RENTAL CAR/WESTON HOUSE - AFTERNOON,How does the farmhouse appear to Barb?,"It peeks out through the trees, beckoning, threatening, ominous.","Barb looks down the road and across the field to where the farm house peeks out through the trees, beckoning, threatening, ominous.",detailed description
6,14、EXT. THE YARD - LATE AFTERNOON,Why does Jean recoil when Johnna mentions the pouch?,Because it contains her umbilical cord.,Johnna says 'My umbilical cord.' Jean recoils.,causal/relational queries
7,14、EXT. THE YARD - LATE AFTERNOON,"In [14、EXT. THE YARD - LATE AFTERNOON], What happens to a Cheyenne's soul if they lose their pouch?",Their soul belongs nowhere and wanders the Earth.,"If we lose it, our souls belong nowhere and when we die our souls walk the Earth looking for where we belong.",causal/relational queries
8,48、EXT. WESTON BACKYARD - AFTERNOON,"In [48、EXT. WESTON BACKYARD - AFTERNOON], What emotional state does Bill imply through his dialogue?",Feeling of failure or regret,I missed something.,character states
9,38、INT/EXT. CAR/FIRST BAPTIST CHURCH OF PAWHUSKA - DAY,"In [38、INT/EXT. CAR/FIRST BAPTIST CHURCH OF PAWHUSKA - DAY], What is Violet's behavioral state when she emerges into the sun?",Recoils slightly,Violet emerges into the blinding sun. Recoils slightly.,character states
10,42、INT. THE KITCHEN - AFTERNOON,"In [42、INT. THE KITCHEN - AFTERNOON], What is Karen's emotional state according to her dialogue?",Karen is happy and has been unhappy most of her adult life.,I'm happy. I've been unhappy most of my life.,character states
11,47、INT/EXT. GREYHOUND BUS/PARKING LOT - AFTERNOON,"In [47、INT/EXT. GREYHOUND BUS/PARKING LOT - AFTERNOON], What emotional state does Little Charles display when exiting the bus?",Reluctant and remorseful,"Steps reluctantly out into the heat. I'm sorry, Dad.",character states
12,7、INT. WESTON KITCHEN - DAY,"In [7、INT. WESTON KITCHEN - DAY], What is Johnna's behavioral state when she sees Ivy arrive?",Watching Ivy's arrival without moving towards her,Watches Ivy's arrival through the kitchen window. Makes no motion to go to her,character states
13,44、INT. VIOLET'S BEDROOM - DAY,"In [44、INT. VIOLET'S BEDROOM - DAY], What does Violet say about her own beauty?",I was beautiful. Not anymore.,VIOLET I was beautiful. Not anymore.,character states
14,39、INT. BEVERLY'S LINCOLN (MOVING) - AFTERNOON,"In [39、INT. BEVERLY'S LINCOLN (MOVING) - AFTERNOON], What emotional state does Karen describe after her reflection?",She feels she screwed up and needed to change.,"how hard I had screwed it up, where'd I go wrong",character states
15,54、INT. DINING ROOM - AFTERNOON,What does Charlie believe about parties?,It's not a party until someone spills something.,"CHARLIE: 'Let it go, Mattie Fae. It's not a party until someone spills something.'",dialogue/beliefs
16,5、INT. BARBARA'S BEDROOM - DAY,Why does Barbara sit up after Jean mentions Aunt Ivy?,To answer the phone call from Aunt Ivy.,New deal. She sits up. CLOSE ON: BARBARA... She gropes for the phone.,causal/relational queries
17,43、EXT. PAWHUSKA LIQUOR STORE PARKING LOT - AFTERNOON,"In [43、EXT. PAWHUSKA LIQUOR STORE PARKING LOT - AFTERNOON], What is Jean's emotional state when she calls Bill?",Anxious.,An anxious Jean calls after him.,character states
18,32、INT. RENTAL CAR (MOVING) - EARLY MORNING,"In [32、INT. RENTAL CAR (MOVING) - EARLY MORNING], Where are the emergency vehicles parked?",Around a brush-strewn cove,"The cruiser slows, pulls through a pipe gate and over a cattle-crossing, heads for a small collection of emergency vehicles parked around a brush-strewn cove.",scene localization
19,32、INT. RENTAL CAR (MOVING) - EARLY MORNING,"In [32、INT. RENTAL CAR (MOVING) - EARLY MORNING], Where does the Sheriff wait by a covered body?",At the water's edge on a cracked concrete boat ramp,"The sisters climb out, follow him to the water's edge. Jean waits a moment, then steps out of the car. Watches her father lead her mother down the small cracked concrete boat ramp to where the Sheriff waits by a covered body.",scene localization
